date,stateId,stateName,confidence,distance,close,volatilityMultiple,volumeMultiple,trendScore,resonanceCount,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,stretchHeat
2023-10-06,6,上侧趋势共振态,0.0908,2.3652,27945.1,0.7968,0.7116,5.152,4,2.3849,0.947,59.2917,1.8614,0.7429,50,9.2917
2023-10-07,6,上侧趋势共振态,0.2907,2.5101,27900,0.6296,0.6406,5.2371,4,2.2197,0.9065,58.626,1.637,0.6724,0,58.626
2023-10-08,6,上侧趋势共振态,0.1143,2.63,27447.3,0.9395,0.909,2.9029,4,0.5611,0.2302,47.5092,-0.0556,-0.023,0,52.4908
2023-10-09,8,过渡混合态,0.3073,2.4638,27407.5,0.7488,1.0671,1.391,2,0.4153,0.1737,46.5799,-0.2393,-0.1007,0,53.4201
2023-10-10,8,过渡混合态,0.2233,2.7853,26780.1,1.2439,1.4533,-0.8209,3,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,68.9796
2023-10-11,8,过渡混合态,0.2952,2.7222,26677.7,0.644,0.9799,-0.6686,2,-2.2585,-0.9522,28.0724,-2.9556,-1.2551,0,71.9276
2023-10-12,8,过渡混合态,0.2911,2.7139,26707.5,0.6873,0.7833,-0.9194,2,-2.1494,-0.928,28.4707,-2.8925,-1.2584,0,71.5293
2023-10-13,8,过渡混合态,0.1956,2.4611,26945,0.7253,0.5533,-0.5736,2,-1.2792,-0.564,34.4544,-2.0746,-0.9221,16.8049,48.7407
2023-10-14,8,过渡混合态,0.1145,3.3733,26895.4,0.3357,0.2559,-1.3392,2,-1.4609,-0.677,32.5964,-2.3089,-1.0793,8.9504,58.4532
2023-10-15,4,放量波动扩张态,0.0591,7.1034,28069.1,4.6362,3.3183,3.4596,4,-1.1016,-0.3824,37.4399,1.8738,0.6314,94.4265,56.9866
2023-10-16,5,上侧趋势共振态,0.1526,2.9641,28459.7,0.9298,1.3952,5.5077,4,0.2565,0.0895,45.1963,3.2077,1.0876,100,54.8037
2023-10-17,5,上侧趋势共振态,0.1037,2.8457,28247,1.0621,1.152,4.2103,4,-0.5142,-0.1787,40.7882,2.3617,0.7975,87.6343,46.8461
2023-10-18,5,上侧趋势共振态,0.1729,2.8757,28677.4,0.9008,0.9954,5.7758,4,0.2512,0.0886,45.1811,3.8381,1.307,100,54.8189
2023-10-19,4,放量波动扩张态,0.2972,3.4794,29554.7,2.0704,2.3706,9.1766,4,3.3181,1.0739,61.3781,6.9176,2.1636,100,61.3781
2023-10-20,5,上侧趋势共振态,0.102,3.1384,29930.9,0.7818,0.6656,10.4579,4,4.6332,1.5248,68.7888,8.1682,2.6003,100,68.7888
2023-10-21,5,上侧趋势共振态,0.0959,2.8291,29830.9,0.8964,0.9233,9.7534,4,4.2836,1.421,67.0823,7.6816,2.4678,96.5653,63.6476
2023-10-22,1,上侧趋势拉伸共振态,0.1335,3.6691,30878.3,1.4265,1.7436,12.856,4,7.3671,2.3764,82.7873,11.3148,3.5204,100,82.7873
2023-10-23,4,放量波动扩张态,0.4562,5.7462,33681.8,4.4428,4.9971,22.9375,4,7.7316,1.9932,76.4881,21.2104,4.8599,100,76.4881
2023-10-24,1,上侧趋势拉伸共振态,0.2651,3.4688,34843.6,1.3525,1.586,27.0436,4,11.4476,2.8711,90.9196,25.1537,5.6178,100,90.9196
2023-10-25,1,上侧趋势拉伸共振态,0.5067,2.5408,34050.4,1.0543,1.1836,24.2485,4,8.9106,2.2255,80.3066,22.0839,4.9205,89.8586,70.1652
2023-10-26,1,上侧趋势拉伸共振态,0.4482,2.8004,33999,0.4517,0.7151,22.7492,4,8.7462,2.2766,81.146,21.6775,5.0428,91.6379,72.7839
2023-10-27,1,上侧趋势拉伸共振态,0.5804,2.0685,34199.4,1.0051,0.6502,22.2989,4,9.3871,2.4424,83.8728,22.1591,5.1628,93.3824,77.2552
2023-10-28,1,上侧趋势拉伸共振态,0.5279,2.4806,34439.3,0.5434,0.3733,21.2965,4,10.1545,2.7349,88.68,22.7445,5.4974,98.249,86.929
2023-10-29,1,上侧趋势拉伸共振态,0.6089,2.1416,34660.4,0.6886,0.8007,22.2306,4,10.8617,2.9954,92.9625,23.2574,5.7689,100,92.9625
2023-10-30,1,上侧趋势拉伸共振态,0.5894,1.9693,34271.8,0.5963,0.7734,19.6922,4,9.6187,2.735,88.6819,21.6172,5.5403,96.7469,85.4289
