kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,40.62,64,-61.6828,-4.6899,5.01,29.69,70.31,0.0,39.06,43.75,56.25,0.2366,-0.8415
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,33.34,6,-25.3335,-1.755,88.09,33.33,66.67,0.0,33.33,66.67,33.33,0.2469,-3.978
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,51.62,62,-61.6614,-4.6122,6.27,24.19,75.81,0.0,40.32,43.55,56.45,0.5619,-0.9413
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,66.66,6,-25.3335,-1.755,88.09,16.67,83.33,0.0,0.0,83.33,16.67,0.6238,-10.9648
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,53.34,60,-61.6229,-4.5416,7.92,23.33,76.67,0.0,40.0,40.0,60.0,0.8131,-0.4522
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100.0,6,-25.3335,-1.755,88.09,0.0,100.0,0.0,0.0,100.0,0.0,0.9133,-18.2763
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,34.54,55,-61.5196,-4.2621,10.88,32.73,67.27,0.0,40.0,34.55,65.45,1.7848,-2.0632
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100.0,6,-25.3335,-1.755,88.09,0.0,100.0,0.0,0.0,100.0,0.0,1.5096,-38.1608
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,100.0,2,-52.1731,-2.5612,55.58,100.0,0.0,0.0,50.0,50.0,50.0,-0.3155,1.1179
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,16.0,50,-33.2304,-1.4733,63.72,42.0,58.0,4.0,40.0,42.0,58.0,0.0648,-0.3788
