component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1254,强,33.33,33.33,66.67,1.83,0,32.38,-0.4849,-1.433,0.9162,-0.1924,2026-05-30 20:00
波动状态,波动压缩,3,1252,中强,20.29,39.86,60.14,9.82,5.03,37.7,0.2064,-1.7818,0.9923,-0.1336,2026-05-30 12:00
波动状态,波动压缩,5,1250,中,11.2,44.4,55.6,17.12,15.04,40,1.5668,-1.3784,1.0116,-0.1217,2026-05-30 04:00
波动状态,波动压缩,10,1248,弱,4.65,52.32,47.68,26.76,22.92,42.47,5.1368,0.9914,1.0552,-0.084,2026-05-29 08:00
波动状态,常态波动,1,1389,中强,20.66,39.67,60.33,2.95,0,38.23,0.0292,-0.8207,0.9852,-0.1267,2026-05-30 00:00
波动状态,常态波动,3,1389,中强,15.62,42.19,57.81,10.44,4.03,38.59,0.5633,-1.5096,0.9949,-0.1197,2026-05-30 00:00
波动状态,常态波动,5,1389,中,11.59,44.2,55.8,16.77,13.75,37.58,1.41,-1.4085,0.9895,-0.1236,2026-05-30 00:00
波动状态,常态波动,10,1387,弱,6.42,46.79,53.21,25.52,25.81,37.56,2.7553,-1.3658,0.9793,-0.138,2026-05-28 20:00
波动状态,低波动启动,1,1538,弱,0.13,49.93,50.07,4.75,0,46.94,1.2694,-0.0098,1.1105,-0.0408,2026-05-29 12:00
波动状态,低波动启动,3,1538,弱,4.03,52.02,47.98,15.73,1.5,42.91,2.8448,0.3056,1.0586,-0.0814,2026-05-29 12:00
波动状态,低波动启动,5,1538,中,8.45,54.23,45.77,21.33,7.41,41.55,3.7309,0.9636,1.0372,-0.0865,2026-05-29 12:00
波动状态,低波动启动,10,1537,中强,15.03,57.51,42.49,34.09,16.59,37.93,7.0706,2.6849,1.0024,-0.1168,2026-05-28 16:00
波动状态,高波动扩张,1,1687,弱,0.18,49.91,50.09,5.87,0.89,44.81,0.7401,-0.011,1.0711,-0.0541,2026-05-16 04:00
波动状态,高波动扩张,3,1687,弱,7.77,46.12,53.88,14.46,7.94,39.06,1.3051,-0.8747,0.9951,-0.1217,2026-05-16 04:00
波动状态,高波动扩张,5,1687,中,11.32,44.34,55.66,17.61,17.43,38.17,1.2747,-1.6722,0.9736,-0.1373,2026-05-16 04:00
波动状态,高波动扩张,10,1687,中强,17.61,41.2,58.8,22.94,32.01,34.14,0.644,-3.4682,0.9328,-0.1759,2026-05-16 04:00
波动状态,高波动冷却,1,1898,强,41.83,29.08,70.92,1.37,0,25.71,-0.9399,-1.608,0.8481,-0.2502,2026-05-18 04:00
波动状态,高波动冷却,3,1898,强,41.83,29.08,70.92,6.32,9.64,30.3,-2.155,-3.7436,0.9002,-0.2004,2026-05-18 04:00
波动状态,高波动冷却,5,1898,强,39.52,30.24,69.76,10.8,26.77,31.45,-2.8631,-5.1785,0.9283,-0.1885,2026-05-18 04:00
波动状态,高波动冷却,10,1898,强,36.99,31.51,68.49,15.17,42.78,36.41,-4.2423,-7.3762,0.9724,-0.1449,2026-05-18 04:00
短ATR状态,短ATR降温,1,2614,强,34.74,32.63,67.37,1.72,0.04,29.65,-0.6147,-1.4112,0.8917,-0.2102,2026-05-30 20:00
短ATR状态,短ATR降温,3,2612,强,29.79,35.11,64.89,8.81,6.58,34.07,-0.6633,-2.7891,0.9559,-0.1647,2026-05-30 12:00
短ATR状态,短ATR降温,5,2610,强,26.05,36.97,63.03,14.18,20.15,35.86,-0.4033,-3.1692,0.9682,-0.1513,2026-05-30 04:00
短ATR状态,短ATR降温,10,2609,中,11.61,44.19,55.81,23.3,29.82,39.63,1.6975,-2.2885,1.0094,-0.113,2026-05-29 08:00
短ATR状态,短ATR升温,1,2023,弱,2.42,48.79,51.21,6.23,0.64,45.67,1.0599,-0.1234,1.0969,-0.0514,2026-05-28 00:00
