date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-31,0.1,波动状态,低波动启动,16.64,1,931,中,14.5,42.75,57.25,9.45,0.0,46.08,1.7001,-0.8637,1.1931,-0.0528
2026-05-31,0.1,波动状态,低波动启动,16.64,3,931,弱,4.19,47.91,52.09,20.52,7.52,41.57,4.3561,-0.5466,1.102,-0.1038
2026-05-31,0.1,波动状态,低波动启动,16.64,5,929,弱,2.26,48.87,51.13,26.16,17.98,41.01,7.0506,-0.3278,1.0847,-0.1212
2026-05-31,0.1,波动状态,低波动启动,16.64,10,927,弱,3.56,51.78,48.22,35.92,30.74,39.16,12.917,1.0803,1.0466,-0.1527
2026-05-31,0.1,短ATR状态,短ATR降温,100.0,1,1092,强,45.6,27.2,72.8,4.4,0.27,23.99,-0.8886,-2.386,0.8434,-0.2818
2026-05-31,0.1,短ATR状态,短ATR降温,100.0,3,1090,强,37.43,31.28,68.72,10.92,16.97,30.18,-1.2471,-4.4288,0.9461,-0.2294
2026-05-31,0.1,短ATR状态,短ATR降温,100.0,5,1090,强,35.41,32.29,67.71,14.04,32.75,31.83,-0.7321,-5.7561,0.9689,-0.2102
2026-05-31,0.1,短ATR状态,短ATR降温,100.0,10,1089,强,30.39,34.8,65.2,22.41,45.36,33.43,1.5621,-8.1004,0.9607,-0.2072
2026-05-31,0.1,波动超额状态,接近一倍ATR,11.71,1,628,强,31.53,34.24,65.76,4.94,0.32,35.19,-0.163,-2.021,0.9779,-0.188
2026-05-31,0.1,波动超额状态,接近一倍ATR,11.71,3,628,中强,21.66,39.17,60.83,14.97,12.9,35.35,0.8922,-2.719,1.0063,-0.1672
2026-05-31,0.1,波动超额状态,接近一倍ATR,11.71,5,628,中强,21.34,39.33,60.67,18.63,25.16,35.19,1.7531,-3.7713,1.0223,-0.1795
2026-05-31,0.1,波动超额状态,接近一倍ATR,11.71,10,627,中强,15.47,42.26,57.74,27.43,37.64,37.8,4.3915,-4.5323,1.0077,-0.1949
2026-05-31,0.1,趋势状态,强趋势下行,100.0,1,920,强,46.52,26.74,73.26,5.22,0.54,23.59,-0.862,-2.5842,0.8411,-0.2835
2026-05-31,0.1,趋势状态,强趋势下行,100.0,3,918,强,47.28,26.36,73.64,10.78,20.7,25.16,-1.9499,-5.2408,0.8658,-0.2735
2026-05-31,0.1,趋势状态,强趋势下行,100.0,5,916,强,45.85,27.07,72.93,13.21,40.72,27.18,-2.327,-7.3935,0.8892,-0.2494
2026-05-31,0.1,趋势状态,强趋势下行,100.0,10,911,强,45.55,27.22,72.78,16.9,53.9,28.21,-2.8088,-11.5793,0.9047,-0.2303
2026-05-31,0.1,量能状态,量能正常,83.58,1,810,强,28.89,35.56,64.44,5.19,0.74,36.42,0.1888,-1.6585,0.98,-0.1598
2026-05-31,0.1,量能状态,量能正常,83.58,3,810,中强,24.44,37.78,62.22,14.57,11.98,35.31,1.0184,-2.7294,0.9896,-0.1815
2026-05-31,0.1,量能状态,量能正常,83.58,5,809,强,28.06,35.97,64.03,18.42,26.21,33.62,1.6448,-4.2606,0.9915,-0.1914
2026-05-31,0.1,量能状态,量能正常,83.58,10,808,中强,17.08,41.46,58.54,26.49,39.11,34.41,4.2926,-4.594,0.9779,-0.2022
