component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,29,样本偏少,10.34,55.17,44.83,17.24,13.79,27.59,2.9585,1.1103,1.0243,-0.2012,2026-02-08
波动超额状态,接近一倍ATR,3,29,样本偏少,37.93,68.97,31.03,48.28,20.69,13.79,6.9505,9.718,0.8501,-0.364,2026-02-08
波动超额状态,接近一倍ATR,5,29,样本偏少,17.24,41.38,58.62,37.93,31.03,17.24,5.4573,-2.1851,1.0145,-0.2925,2026-02-08
波动超额状态,接近一倍ATR,10,29,样本偏少,17.24,41.38,58.62,37.93,37.93,41.38,5.1215,-5.0602,0.9559,-0.2207,2026-02-08
波动超额状态,振幅未满ATR,1,66,样本偏少,24.24,37.88,62.12,12.12,19.7,15.15,-1.6379,-2.5106,0.7275,-0.3572,2026-05-17
波动超额状态,振幅未满ATR,3,64,样本偏少,34.38,32.81,67.19,18.75,39.06,25.0,-3.8548,-6.1174,0.9175,-0.2878,2026-05-03
波动超额状态,振幅未满ATR,5,62,样本偏少,29.03,35.48,64.52,25.81,51.61,27.42,-6.0547,-11.9082,0.9391,-0.3226,2026-04-19
波动超额状态,振幅未满ATR,10,57,样本偏少,19.3,40.35,59.65,29.82,42.11,24.56,-3.8182,-4.0967,1.0063,-0.2534,2026-03-15
波动超额状态,振幅已超ATR,1,31,样本偏少,3.23,51.61,48.39,35.48,6.45,64.52,4.9775,0.6237,1.6515,0.2767,2025-10-05
波动超额状态,振幅已超ATR,3,31,样本偏少,16.13,58.06,41.94,45.16,12.9,51.61,12.5865,2.9141,1.3718,0.0445,2025-10-05
波动超额状态,振幅已超ATR,5,31,样本偏少,41.94,70.97,29.03,64.52,9.68,41.94,25.9822,27.0957,1.1646,-0.0914,2025-10-05
波动超额状态,振幅已超ATR,10,31,样本偏少,61.29,80.65,19.35,80.65,16.13,25.81,45.3441,37.4794,1.0219,-0.1547,2025-10-05
波动状态,波动压缩,1,3,样本偏少,100.0,0.0,100.0,0.0,33.33,33.33,-7.8803,-6.5383,1.0417,-0.2333,2025-08-31
波动状态,波动压缩,3,3,样本偏少,33.33,33.33,66.67,0.0,66.67,33.33,-12.1519,-13.9649,2.0598,-0.021,2025-08-31
波动状态,波动压缩,5,3,样本偏少,33.33,66.67,33.33,33.33,33.33,100.0,6.1542,5.2849,3.3227,2.2526,2025-08-31
波动状态,波动压缩,10,3,样本偏少,100.0,100.0,0.0,100.0,0.0,33.33,47.7386,45.322,1.3432,-0.0938,2025-08-31
波动状态,常态波动,1,38,样本偏少,15.79,57.89,42.11,21.05,13.16,18.42,3.1842,2.4409,0.873,-0.2462,2026-05-17
波动状态,常态波动,3,36,样本偏少,33.33,66.67,33.33,44.44,13.89,22.22,9.3165,6.1727,0.8692,-0.2772,2026-05-03
波动状态,常态波动,5,34,样本偏少,0.0,50.0,50.0,47.06,29.41,20.59,8.5496,4.3704,0.9376,-0.1851,2025-11-02
波动状态,常态波动,10,34,样本偏少,17.65,58.82,41.18,50.0,23.53,32.35,14.6864,8.9103,0.8869,-0.2359,2025-11-02
波动状态,低波动启动,1,32,样本偏少,6.25,53.13,46.88,37.5,6.25,71.88,5.8529,0.867,1.7922,0.507,2025-09-07
波动状态,低波动启动,3,32,样本偏少,12.5,56.25,43.75,43.75,18.75,59.38,11.1831,2.3365,1.6131,0.3033,2025-09-07
波动状态,低波动启动,5,32,样本偏少,31.25,65.63,34.38,56.25,15.63,53.13,20.9639,16.925,1.4563,0.3033,2025-09-07
波动状态,低波动启动,10,32,样本偏少,43.75,71.88,28.13,71.88,12.5,37.5,45.3778,47.0926,1.1995,-0.0639,2025-09-07
波动状态,高波动扩张,1,14,样本偏少,14.29,42.86,57.14,7.14,14.29,14.29,-0.9325,-1.8838,0.7563,-0.202,2026-02-08
波动状态,高波动扩张,3,14,样本偏少,0.0,50.0,50.0,28.57,21.43,7.14,-0.6182,-1.0056,0.7017,-0.3572,2026-02-08
波动状态,高波动扩张,5,14,样本偏少,14.29,42.86,57.14,35.71,21.43,7.14,3.9379,-1.8591,0.6412,-0.3981,2026-02-08
波动状态,高波动扩张,10,14,样本偏少,28.57,35.71,64.29,35.71,64.29,28.57,-11.9373,-20.9173,0.9576,-0.4245,2026-02-08
波动状态,高波动冷却,1,39,样本偏少,38.46,30.77,69.23,7.69,23.08,12.82,-3.5794,-2.865,0.6328,-0.4537,2026-04-19
波动状态,高波动冷却,3,39,样本偏少,53.85,23.08,76.92,15.38,48.72,17.95,-7.7719,-9.2828,0.6918,-0.445,2026-04-19
波动状态,高波动冷却,5,39,样本偏少,48.72,25.64,74.36,17.95,64.1,17.95,-11.4565,-16.2238,0.675,-0.445,2026-04-19
波动状态,高波动冷却,10,34,样本偏少,47.06,26.47,73.53,14.71,55.88,17.65,-17.3813,-19.911,0.9054,-0.3139,2026-03-15
短ATR状态,短ATR降温,1,45,样本偏少,42.22,28.89,71.11,6.67,28.89,20.0,-4.0934,-3.8679,0.7835,-0.4525,2026-05-17
短ATR状态,短ATR降温,3,43,样本偏少,48.84,25.58,74.42,11.63,46.51,27.91,-8.3103,-8.8151,0.8779,-0.4046,2026-05-03
短ATR状态,短ATR降温,5,41,样本偏少,60.98,19.51,80.49,12.2,63.41,31.71,-11.4291,-14.7346,0.982,-0.2711,2026-04-19
短ATR状态,短ATR降温,10,36,样本偏少,38.89,30.56,69.44,22.22,61.11,25.0,-13.5402,-21.8065,1.0136,-0.315,2026-03-15
短ATR状态,短ATR升温,1,36,样本偏少,0.0,50.0,50.0,27.78,8.33,55.56,4.0897,0.6453,1.5193,0.2544,2025-10-19
短ATR状态,短ATR升温,3,36,样本偏少,33.33,66.67,33.33,50.0,8.33,38.89,14.9005,10.9759,1.1843,-0.0639,2025-10-19
短ATR状态,短ATR升温,5,36,样本偏少,44.44,72.22,27.78,69.44,5.56,30.56,26.3918,24.559,1.1095,-0.1226,2025-10-19
短ATR状态,短ATR升温,10,36,样本偏少,61.11,80.56,19.44,80.56,2.78,27.78,46.5439,39.2559,0.9529,-0.1583,2025-10-19
短ATR状态,短ATR中性,1,45,样本偏少,15.56,57.78,42.22,24.44,6.67,20.0,3.7549,1.1103,0.8659,-0.2137,2025-11-09
短ATR状态,短ATR中性,3,45,样本偏少,6.67,53.33,46.67,37.78,26.67,22.22,3.688,1.5213,1.0113,-0.2483,2025-11-09
短ATR状态,短ATR中性,5,45,样本偏少,2.22,48.89,51.11,37.78,35.56,24.44,2.3735,-0.8577,0.9676,-0.2925,2025-11-09
短ATR状态,短ATR中性,10,45,样本偏少,11.11,44.44,55.56,35.56,37.78,33.33,3.2982,-4.0967,1.0214,-0.2207,2025-11-09
量能状态,放量,1,24,样本偏少,16.67,58.33,41.67,33.33,4.17,70.83,6.3929,1.8257,1.8555,0.682,2025-10-05
量能状态,放量,3,24,样本偏少,25.0,62.5,37.5,41.67,12.5,66.67,14.3493,2.638,1.6946,0.4626,2025-10-05
量能状态,放量,5,24,样本偏少,41.67,70.83,29.17,66.67,16.67,45.83,26.2993,31.6176,1.2541,-0.071,2025-10-05
量能状态,放量,10,24,样本偏少,75.0,87.5,12.5,87.5,4.17,20.83,51.1002,47.0926,0.9068,-0.1532,2025-10-05
量能状态,量能正常,1,40,样本偏少,20.0,40.0,60.0,22.5,17.5,27.5,0.9234,-3.1079,1.0087,-0.1737,2026-05-10
量能状态,量能正常,3,39,样本偏少,2.56,51.28,48.72,35.9,23.08,20.51,4.097,0.4653,0.9399,-0.2333,2026-05-03
量能状态,量能正常,5,37,样本偏少,2.7,48.65,51.35,40.54,35.14,24.32,6.5064,-0.8577,1.0791,-0.2534,2026-04-12
量能状态,量能正常,10,36,样本偏少,11.11,55.56,44.44,52.78,30.56,36.11,17.4007,10.4437,1.0928,-0.303,2026-03-15
量能状态,缩量,1,62,样本偏少,12.9,43.55,56.45,11.29,17.74,16.13,-0.9413,-0.9354,0.7103,-0.3646,2026-05-17
量能状态,缩量,3,61,样本偏少,21.31,39.34,60.66,26.23,37.7,19.67,-2.6087,-4.6391,0.7962,-0.3469,2026-04-19
量能状态,缩量,5,61,样本偏少,31.15,34.43,65.57,26.23,44.26,24.59,-4.6492,-8.3186,0.8807,-0.3496,2026-04-19
量能状态,缩量,10,57,样本偏少,33.33,33.33,66.67,22.81,49.12,28.07,-9.0574,-8.7817,0.9764,-0.2276,2026-02-22
趋势状态,强趋势上行,1,53,样本偏少,1.89,50.94,49.06,30.19,9.43,50.94,4.6611,0.6237,1.4394,0.1063,2025-09-28
趋势状态,强趋势上行,3,53,样本偏少,20.75,60.38,39.62,43.4,18.87,43.4,10.2489,1.7588,1.3955,-0.0636,2025-09-28
