date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,0.1,波动状态,波动压缩,60.07,1,717,强,39.19,30.4,69.6,3.91,0,29.71,-0.4918,-1.8681,0.9078,-0.2438
2026-05-30 16:00,0.1,波动状态,波动压缩,60.07,3,716,中强,18.44,40.78,59.22,9.64,9.5,38.55,-0.2302,-2.0547,0.9714,-0.1507
2026-05-30 16:00,0.1,波动状态,波动压缩,60.07,5,715,中强,16.92,41.54,58.46,17.76,16.64,41.68,1.3872,-1.966,1.0569,-0.1053
2026-05-30 16:00,0.1,波动状态,波动压缩,60.07,10,714,弱,3.08,48.46,51.54,29.27,26.33,41.18,5.3363,-0.2861,1.0463,-0.1172
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,100,1,1425,强,37.26,31.37,68.63,2.32,0,30.04,-0.7652,-1.7217,0.8762,-0.2358
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,100,3,1424,强,31.6,34.2,65.8,8.64,12.22,34.97,-1.3601,-2.9889,0.9376,-0.1878
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,100,5,1424,强,30.06,34.97,65.03,14.75,23.38,37.85,-1.0525,-3.8533,0.979,-0.1413
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,100,10,1423,中强,19.18,40.41,59.59,24.53,36.68,39.28,0.8719,-4.7811,1.0155,-0.1314
2026-05-30 16:00,0.1,余动能状态,余动能不足,37.8,1,1695,强,43.24,28.38,71.62,2.3,0,27.55,-0.9471,-1.9216,0.8627,-0.2585
2026-05-30 16:00,0.1,余动能状态,余动能不足,37.8,3,1694,强,35.06,32.47,67.53,7.38,13.64,32.17,-1.8503,-3.6808,0.9051,-0.2139
2026-05-30 16:00,0.1,余动能状态,余动能不足,37.8,5,1693,强,33.61,33.2,66.8,12.52,26.64,35.5,-1.8174,-4.4369,0.9645,-0.1715
2026-05-30 16:00,0.1,余动能状态,余动能不足,37.8,10,1692,强,29.55,35.22,64.78,20.98,39.42,36.82,-1.1323,-5.8081,0.9793,-0.151
2026-05-30 16:00,0.1,趋势状态,趋势不明,78.12,1,676,强,37.57,31.21,68.79,2.51,0.3,26.18,-0.7624,-1.8149,0.8676,-0.2585
2026-05-30 16:00,0.1,趋势状态,趋势不明,78.12,3,674,强,39.17,30.42,69.58,8.16,11.42,33.38,-1.2579,-3.3263,0.9282,-0.1749
2026-05-30 16:00,0.1,趋势状态,趋势不明,78.12,5,674,强,37.69,31.16,68.84,13.65,24.04,34.87,-1.2158,-4.0861,0.9737,-0.1749
2026-05-30 16:00,0.1,趋势状态,趋势不明,78.12,10,674,强,28.19,35.91,64.09,22.11,40.95,37.69,0.2269,-6.1653,0.9912,-0.1529
2026-05-30 16:00,0.1,量能状态,缩量,26.96,1,1719,强,42.64,28.68,71.32,2.33,0.12,26.82,-0.9762,-1.9177,0.8534,-0.269
2026-05-30 16:00,0.1,量能状态,缩量,26.96,3,1718,强,35.16,32.42,67.58,8.09,13.62,31.84,-1.7093,-3.665,0.9106,-0.2104
2026-05-30 16:00,0.1,量能状态,缩量,26.96,5,1717,强,34.07,32.96,67.04,13.1,26.91,35.99,-1.675,-4.4848,0.9654,-0.1704
2026-05-30 16:00,0.1,量能状态,缩量,26.96,10,1715,强,28.51,35.74,64.26,21.57,40.87,35.57,-1.1674,-6.0711,0.972,-0.1616
