date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,1.2,波动状态,波动压缩,9.92,1,530,强,28.3,35.85,64.15,2.64,0,31.13,-0.3166,-1.0112,0.923,-0.1629
2026-05-29,1.2,波动状态,波动压缩,9.92,3,530,中强,16.98,41.51,58.49,12.26,5.66,38.68,0.518,-2.1098,1.0059,-0.1244
2026-05-29,1.2,波动状态,波动压缩,9.92,5,529,中强,21.36,39.32,60.68,16.45,16.45,35.92,0.6305,-2.748,0.9597,-0.1319
2026-05-29,1.2,波动状态,波动压缩,9.92,10,528,中,9.85,45.08,54.92,26.7,33.9,39.02,2.3936,-1.8275,0.9873,-0.1139
2026-05-29,1.2,短ATR状态,短ATR中性,91.71,1,611,弱,6.71,46.64,53.36,4.75,2.29,35.35,0.2481,-0.408,0.9598,-0.1538
2026-05-29,1.2,短ATR状态,短ATR中性,91.71,3,610,中,9.84,45.08,54.92,14.92,11.8,34.59,1.2561,-1.0422,0.9822,-0.1668
2026-05-29,1.2,短ATR状态,短ATR中性,91.71,5,609,中,12.32,43.84,56.16,21.84,20.36,35.96,1.7237,-1.7194,0.9718,-0.1529
2026-05-29,1.2,短ATR状态,短ATR中性,91.71,10,608,弱,0.66,49.67,50.33,30.26,30.43,35.2,4.1726,-0.1177,0.9773,-0.1564
2026-05-29,1.2,余动能状态,余动能不足,22.92,1,834,强,35.73,32.13,67.87,2.28,0.6,22.9,-0.9288,-1.5366,0.8456,-0.2363
2026-05-29,1.2,余动能状态,余动能不足,22.92,3,833,强,33.01,33.49,66.51,11.16,13.33,30.13,-1.0076,-3.3478,0.9235,-0.1991
2026-05-29,1.2,余动能状态,余动能不足,22.92,5,832,强,37.02,31.49,68.51,14.3,28.37,28.97,-1.8147,-5.0271,0.8968,-0.1967
2026-05-29,1.2,余动能状态,余动能不足,22.92,10,832,强,29.09,35.46,64.54,21.15,44.23,32.57,-2.3296,-7.1357,0.9354,-0.1743
2026-05-29,1.2,趋势状态,强趋势下行,100,1,908,中,13.22,43.39,56.61,5.29,1.76,23.9,0.1841,-0.8759,0.8452,-0.2454
2026-05-29,1.2,趋势状态,强趋势下行,100,3,906,强,32.45,33.77,66.23,11.26,16.67,25.72,-1.0692,-3.3884,0.8562,-0.2356
2026-05-29,1.2,趋势状态,强趋势下行,100,5,906,强,39.29,30.35,69.65,14.68,31.68,27.92,-2.1019,-5.6313,0.8749,-0.2206
2026-05-29,1.2,趋势状态,强趋势下行,100,10,904,强,36.95,31.53,68.47,18.36,51,29.31,-4.3454,-10.3754,0.9035,-0.2047
2026-05-29,1.2,量能状态,缩量,16.21,1,774,强,29.97,35.01,64.99,2.84,1.42,21.96,-0.9146,-1.4399,0.8353,-0.25
2026-05-29,1.2,量能状态,缩量,16.21,3,774,强,33.33,33.33,66.67,11.11,15.37,27,-1.2934,-3.5374,0.8894,-0.2162
2026-05-29,1.2,量能状态,缩量,16.21,5,774,强,35.92,32.04,67.96,13.18,29.72,28.68,-2.2852,-4.9901,0.8832,-0.2001
2026-05-29,1.2,量能状态,缩量,16.21,10,773,强,28.59,35.71,64.29,20.7,45.15,31.95,-2.6956,-7.0145,0.9135,-0.1932
