kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,52.94,68,-69.6104,-9.062,0,23.53,76.47,0,38.24,52.94,47.06,0.3187,-1.7149
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,51.52,66,-69.2081,-8.9977,0,24.24,75.76,0,36.36,50,50,0.6222,-4.8298
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,50,64,-68.8511,-8.9754,0,25,75,0,29.69,43.75,56.25,1.1793,-8.5117
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,62.72,59,-68.2866,-8.8466,0.05,18.64,81.36,0,22.03,49.15,50.85,2.0441,-17.329
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,6.66,15,-46.9001,-2.6495,8.63,53.33,46.67,0,46.67,60,40,-0.001,1.7906
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,18.92,37,-27.4812,-1.3318,27.47,40.54,59.46,2.7,37.84,54.05,45.95,0.0894,-2.0132
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,28.58,14,-0.6609,-0.0294,47.49,35.71,64.29,35.71,64.29,50,50,0.1472,-3.3252
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,100,2,9.3668,0.3727,53.45,100,0,100,100,0,100,-0.2658,-11.2151
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,33.34,15,-46.9001,-2.6495,8.63,66.67,33.33,0,66.67,26.67,73.33,-0.5035,4.1695
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,8.58,35,-27.6,-1.3318,27.45,45.71,54.29,8.57,31.43,57.14,42.86,0.1758,-6.068
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,28.58,14,-0.6609,-0.0294,47.49,35.71,64.29,21.43,50,50,50,0.1959,-9.1527
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,0,2,9.3668,0.3727,53.45,50,50,100,100,100,0,0.1319,-20.3971
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,60,15,-46.9001,-2.6495,8.63,80,20,0,46.67,13.33,86.67,-0.8149,3.8018
