date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,1.26,波动状态,高波动冷却,13.27,1,37,样本偏少,18.92,40.54,59.46,8.11,8.11,8.11,-1.5769,-2.1461,0.5663,-0.4496
2026-05-17,1.26,波动状态,高波动冷却,13.27,3,36,样本偏少,22.22,38.89,61.11,19.44,44.44,2.78,-4.0421,-6.9312,0.5834,-0.4418
2026-05-17,1.26,波动状态,高波动冷却,13.27,5,34,样本偏少,41.18,29.41,70.59,17.65,47.06,8.82,-4.6324,-8.5045,0.5974,-0.439
2026-05-17,1.26,波动状态,高波动冷却,13.27,10,29,样本偏少,24.14,37.93,62.07,17.24,51.72,3.45,-7.7204,-10.461,0.5796,-0.4465
2026-05-17,1.26,短ATR状态,短ATR降温,100,1,55,样本偏少,1.82,50.91,49.09,10.91,14.55,9.09,-0.5064,0.5429,0.6775,-0.4019
2026-05-17,1.26,短ATR状态,短ATR降温,100,3,53,样本偏少,9.43,45.28,54.72,22.64,39.62,9.43,-0.3426,-1.183,0.69,-0.4005
2026-05-17,1.26,短ATR状态,短ATR降温,100,5,51,样本偏少,29.41,35.29,64.71,21.57,49.02,11.76,-0.7298,-8.5265,0.7153,-0.3682
2026-05-17,1.26,短ATR状态,短ATR降温,100,10,46,样本偏少,4.35,47.83,52.17,28.26,41.3,10.87,3.4443,-2.2328,0.7137,-0.3599
2026-05-17,1.26,余动能状态,余动能不足,44.45,1,53,样本偏少,5.66,52.83,47.17,11.32,7.55,9.43,0.0921,0.6786,0.6737,-0.4229
2026-05-17,1.26,余动能状态,余动能不足,44.45,3,51,样本偏少,5.88,47.06,52.94,27.45,35.29,5.88,0.6849,-1.0215,0.6172,-0.4315
2026-05-17,1.26,余动能状态,余动能不足,44.45,5,49,样本偏少,18.37,40.82,59.18,26.53,38.78,12.24,0.9514,-4.3921,0.7062,-0.4137
2026-05-17,1.26,余动能状态,余动能不足,44.45,10,44,样本偏少,0,50,50,31.82,36.36,9.09,3.8222,0.725,0.6411,-0.4012
2026-05-17,1.26,趋势状态,强趋势下行,100,1,57,样本偏少,5.26,52.63,47.37,17.54,12.28,5.26,0.6468,0.7791,0.6004,-0.4341
2026-05-17,1.26,趋势状态,强趋势下行,100,3,55,样本偏少,5.45,47.27,52.73,23.64,36.36,9.09,-1.7425,-3.8791,0.6263,-0.4229
2026-05-17,1.26,趋势状态,强趋势下行,100,5,53,样本偏少,20.75,39.62,60.38,22.64,39.62,7.55,-1.8748,-4.3921,0.6567,-0.4315
2026-05-17,1.26,趋势状态,强趋势下行,100,10,48,样本偏少,12.5,43.75,56.25,20.83,43.75,12.5,-3.1616,-4.7537,0.7029,-0.3933
2026-05-17,1.26,量能状态,缩量,29.58,1,45,样本偏少,2.22,51.11,48.89,13.33,6.67,6.67,0.4873,0.5429,0.5878,-0.4469
2026-05-17,1.26,量能状态,缩量,29.58,3,43,样本偏少,6.98,46.51,53.49,20.93,37.21,4.65,-2.0525,-3.8791,0.5914,-0.4465
2026-05-17,1.26,量能状态,缩量,29.58,5,41,样本偏少,26.83,36.59,63.41,17.07,41.46,9.76,-3.8386,-8.307,0.6798,-0.4371
2026-05-17,1.26,量能状态,缩量,29.58,10,37,样本偏少,24.32,37.84,62.16,18.92,51.35,5.41,-7.1286,-10.461,0.6259,-0.3848
