component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,2180,中强,23.76,38.12,61.88,4.45,0.09,39.72,0.2064,-1.142,1.0031,-0.1016,2026-06-01 16:00
波动超额状态,接近一倍ATR,3,2179,中,14.18,42.91,57.09,11.52,6.42,37.13,0.8475,-1.4366,0.9924,-0.1261,2026-06-01 00:00
波动超额状态,接近一倍ATR,5,2177,中,13.37,43.32,56.68,17.5,17.13,36.56,1.2912,-1.6281,0.9791,-0.1276,2026-05-31 08:00
波动超额状态,接近一倍ATR,10,2175,中,10.99,44.51,55.49,26.34,30.8,38.21,2.5673,-2.276,0.9933,-0.1199,2026-05-29 16:00
波动超额状态,振幅未满ATR,1,2511,强,40.58,29.71,70.29,2.39,0.08,27.64,-0.7622,-1.9067,0.875,-0.2107,2026-05-31 00:00
波动超额状态,振幅未满ATR,3,2511,强,33.81,33.09,66.91,7.81,10.75,32.26,-1.4119,-3.2709,0.9166,-0.1773,2026-05-31 00:00
波动超额状态,振幅未满ATR,5,2511,强,31.18,34.41,65.59,11.95,22.62,36.28,-1.3103,-3.8335,0.971,-0.1447,2026-05-31 00:00
波动超额状态,振幅未满ATR,10,2508,强,26.48,36.76,63.24,20.1,36.24,36.76,-0.8745,-5.4021,0.9688,-0.1326,2026-05-29 00:00
波动超额状态,振幅已超ATR,1,1406,中,8.25,45.87,54.13,7.54,0.0,50.92,1.697,-0.3984,1.1554,0.0132,2026-06-01 08:00
波动超额状态,振幅已超ATR,3,1405,弱,1.49,50.75,49.25,19.79,3.63,46.76,3.5603,0.2553,1.098,-0.0356,2026-05-29 08:00
波动超额状态,振幅已超ATR,5,1405,弱,4.77,52.38,47.62,25.34,12.46,40.5,4.5661,0.7281,1.0219,-0.091,2026-05-29 08:00
波动超额状态,振幅已超ATR,10,1405,弱,2.92,51.46,48.54,33.1,23.7,37.08,6.4624,0.5818,1.0039,-0.125,2026-05-29 08:00
波动状态,波动压缩,1,1802,强,33.52,33.24,66.76,2.72,0.0,31.91,-0.3418,-1.5337,0.9256,-0.1626,2026-05-31 00:00
波动状态,波动压缩,3,1802,中强,21.86,39.07,60.93,9.93,6.38,36.02,-0.0993,-1.9468,0.9702,-0.1489,2026-05-31 00:00
波动状态,波动压缩,5,1802,中强,17.31,41.34,58.66,14.71,14.87,39.68,0.7498,-1.7836,1.0191,-0.1066,2026-05-31 00:00
波动状态,波动压缩,10,1799,中,8.06,45.97,54.03,25.63,25.63,40.3,3.2341,-1.2229,1.016,-0.1014,2026-05-26 00:00
波动状态,常态波动,1,1005,强,32.54,33.73,66.27,3.48,0.0,35.62,-0.208,-1.5698,0.9541,-0.1317,2026-05-31 08:00
波动状态,常态波动,3,1005,强,25.77,37.11,62.89,9.35,6.17,34.73,-0.0037,-2.4744,0.9543,-0.16,2026-05-31 08:00
波动状态,常态波动,5,1005,中强,23.58,38.21,61.79,14.43,18.71,35.12,0.2424,-2.7965,0.9447,-0.1634,2026-05-31 08:00
波动状态,常态波动,10,1003,中强,23.23,38.38,61.62,20.54,35.29,38.68,1.0184,-4.6606,0.9812,-0.1066,2026-05-29 00:00
波动状态,低波动启动,1,1882,中,11.9,44.05,55.95,5.63,0.0,46.55,1.2268,-0.5541,1.0989,-0.0389,2026-06-01 16:00
波动状态,低波动启动,3,1880,弱,0.0,50.0,50.0,15.9,2.71,43.56,2.7636,0.002,1.0677,-0.0624,2026-06-01 00:00
波动状态,低波动启动,5,1878,弱,4.47,52.24,47.76,23.11,11.29,40.36,4.0084,0.7036,1.0328,-0.0957,2026-05-29 16:00
波动状态,低波动启动,10,1878,弱,7.35,53.67,46.33,33.76,20.39,39.51,6.7709,1.2307,1.0308,-0.1116,2026-05-29 16:00
波动状态,高波动扩张,1,618,中强,17.8,41.1,58.9,8.09,0.32,48.22,0.8145,-1.0387,1.1033,-0.0201,2026-03-06 08:00
波动状态,高波动扩张,3,618,中强,16.18,41.91,58.09,17.64,12.3,39.64,1.6409,-2.0413,1.0167,-0.0975,2026-03-06 08:00
波动状态,高波动扩张,5,618,中强,19.74,40.13,59.87,21.04,24.76,36.25,1.3058,-2.8472,0.9573,-0.1125,2026-03-06 08:00
波动状态,高波动扩张,10,618,中强,23.3,38.35,61.65,24.76,41.42,32.52,-0.0795,-6.5687,0.9223,-0.1706,2026-03-06 08:00
波动状态,高波动冷却,1,790,强,49.11,25.44,74.56,2.91,0.25,21.39,-1.3484,-2.5036,0.7997,-0.2714,2026-03-08 00:00
波动状态,高波动冷却,3,790,强,48.61,25.7,74.3,5.57,19.87,27.09,-3.4472,-5.3016,0.8402,-0.2344,2026-03-08 00:00
波动状态,高波动冷却,5,790,强,53.16,23.42,76.58,7.97,37.34,28.61,-5.0551,-7.8736,0.871,-0.2199,2026-03-08 00:00
波动状态,高波动冷却,10,790,强,60.51,19.75,80.25,11.14,57.97,27.59,-8.9059,-13.0003,0.8648,-0.2169,2026-03-08 00:00
短ATR状态,短ATR降温,1,2203,强,37.63,31.18,68.82,2.81,0.09,28.55,-0.6143,-1.8828,0.8856,-0.2125,2026-05-31 16:00
短ATR状态,短ATR降温,3,2203,强,31.09,34.45,65.55,8.13,10.53,33.0,-1.149,-2.9687,0.935,-0.1665,2026-05-31 16:00
短ATR状态,短ATR降温,5,2202,强,29.16,35.42,64.58,11.94,20.75,35.47,-1.1985,-3.654,0.9603,-0.1456,2026-05-31 08:00
短ATR状态,短ATR降温,10,2198,强,27.12,36.44,63.56,20.02,34.39,37.72,-1.0093,-5.2033,0.9773,-0.123,2026-05-21 00:00
短ATR状态,短ATR升温,1,1639,中,10.19,44.91,55.09,6.83,0.06,50.09,1.3157,-0.5226,1.1355,0.0026,2026-05-28 00:00
短ATR状态,短ATR升温,3,1639,弱,0.31,49.85,50.15,17.69,4.82,44.6,3.0139,-0.0227,1.0662,-0.0541,2026-05-28 00:00
短ATR状态,短ATR升温,5,1639,弱,3.36,51.68,48.32,23.73,13.97,41.31,3.8417,0.4688,1.0235,-0.0834,2026-05-28 00:00
短ATR状态,短ATR升温,10,1639,弱,0.55,49.73,50.27,30.08,26.72,36.97,5.1284,-0.043,0.9948,-0.1276,2026-05-28 00:00
短ATR状态,短ATR中性,1,2255,强,29.14,35.43,64.57,3.95,0.04,36.63,0.0527,-1.3277,0.974,-0.1332,2026-06-01 16:00
短ATR状态,短ATR中性,3,2253,中强,19.84,40.08,59.92,11.36,6.66,36.31,0.3973,-2.0685,0.9762,-0.1411,2026-06-01 00:00
短ATR状态,短ATR中性,5,2252,中强,18.65,40.67,59.33,17.1,19.09,36.32,1.0118,-2.3175,0.9827,-0.136,2026-05-30 00:00
短ATR状态,短ATR中性,10,2251,中,11.42,44.29,55.71,27.05,31.9,37.27,2.7915,-2.6512,0.9872,-0.1266,2026-05-29 16:00
量能状态,放量,1,973,弱,3.39,48.3,51.7,8.02,0.0,52.83,2.0261,-0.1325,1.2001,0.0307,2026-06-01 08:00
量能状态,放量,3,972,弱,5.56,52.78,47.22,21.4,2.47,46.81,3.9713,0.6157,1.0928,-0.0355,2026-05-28 00:00
量能状态,放量,5,972,中,8.44,54.22,45.78,27.37,11.21,41.05,5.0025,1.4343,1.0259,-0.0917,2026-05-28 00:00
量能状态,放量,10,972,中,10.49,55.25,44.75,35.19,21.6,37.45,7.3332,2.1275,1.0107,-0.1214,2026-05-28 00:00
量能状态,量能正常,1,2623,中强,22.53,38.73,61.27,4.8,0.04,39.88,0.3021,-1.1033,1.0121,-0.1006,2026-06-01 00:00
量能状态,量能正常,3,2623,中,11.86,44.07,55.93,12.01,5.64,39.46,0.9715,-1.1805,1.0139,-0.1022,2026-06-01 00:00
量能状态,量能正常,5,2621,中,10.42,44.79,55.21,17.82,16.44,37.39,1.7495,-1.2731,0.9926,-0.1203,2026-05-31 08:00
量能状态,量能正常,10,2620,中,11.37,44.31,55.69,27.1,29.54,38.02,3.0201,-2.0741,0.9911,-0.1235,2026-05-29 08:00
量能状态,缩量,1,2501,强,41.14,29.43,70.57,2.36,0.12,28.63,-0.7365,-1.9102,0.874,-0.2121,2026-06-01 16:00
量能状态,缩量,3,2500,强,35.2,32.4,67.6,8.08,11.56,31.44,-1.2419,-3.5503,0.914,-0.1866,2026-05-31 00:00
