kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,4.34,23,-50.5502,-12.51,66.45,47.83,52.17,0,43.48,47.83,52.17,0.0858,-1.1317
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,4.76,21,-50.46,-12.5053,70.08,52.38,47.62,0,23.81,61.9,38.1,-0.0684,-4.4795
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,15.78,19,-50.46,-12.5053,70.08,42.11,57.89,0,5.26,78.95,21.05,0.1278,-7.7493
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,57.14,14,-49.9264,-12.3761,82.11,21.43,78.57,0,0,85.71,14.29,0.3877,-14.3064
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,0,2,-21.6942,-2.9266,14.44,50,50,0,50,50,50,-0.004,0.5869
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,28.58,14,-12.8328,-1.7957,32.45,35.71,64.29,7.14,42.86,42.86,57.14,0.065,-1.0934
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100,2,0.413,0.0544,61.91,0,100,50,50,100,0,0.6075,0.7079
中值,middle,短期拉伸/回归,中值上侧极端,1,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,100,1,12.218,1.6976,88.08,100,0,0,100,100,0,-0.3734,-0.2888
中值,middle,短期拉伸/回归,中值上侧偏离,1,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,50,4,7.6508,1.0536,77.83,25,75,25,50,25,75,0.4278,-3.2557
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,57.14,14,-12.8328,-1.7957,32.45,21.43,78.57,0,21.43,57.14,42.86,0.4469,-4.6133
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100,2,0.413,0.0544,61.91,0,100,50,50,50,50,1.249,1.7889
中值,middle,短期拉伸/回归,中值上侧极端,3,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,100,1,12.218,1.6976,88.08,100,0,100,100,100,0,-1.2158,-12.6093
中值,middle,短期拉伸/回归,中值上侧偏离,3,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,0,4,7.6508,1.0536,77.83,50,50,25,75,75,25,-0.2245,-5.1128
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,100,12,-11.6733,-1.7114,33.8,0,100,0,0,75,25,0.5299,-6.3167
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100,2,0.413,0.0544,61.91,0,100,50,50,50,50,0.6918,-4.604
中值,middle,短期拉伸/回归,中值上侧极端,5,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,100,1,12.218,1.6976,88.08,100,0,100,100,100,0,-0.7884,-15.9079
中值,middle,短期拉伸/回归,中值上侧偏离,5,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,50,4,7.6508,1.0536,77.83,75,25,75,100,100,0,-0.1927,-11.5799
中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,100,7,-10.6479,-1.3986,38.77,0,100,0,0,71.43,28.57,1.0118,-11.9654
中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100,2,0.413,0.0544,61.91,0,100,100,100,100,0,1.4754,-10.6513
中值,middle,短期拉伸/回归,中值上侧极端,10,短期过热,回落倾向强,适合观察追多降温/多头止盈，不直接等于做空信号,强趋势里极端可以延续，必须看波动和量能,样本偏少,100,1,12.218,1.6976,88.08,100,0,100,100,100,0,-0.1912,-18.8949
中值,middle,短期拉伸/回归,中值上侧偏离,10,短期上侧偏离,回落倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,100,4,7.6508,1.0536,77.83,0,100,100,100,100,0,0.7914,-19.0834
