date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-31 00:00,0.09,波动状态,低波动启动,51.71,1,353,中,11.05,55.52,44.48,4.25,0,51.84,1.2807,0.5072,1.1212,0.0247
2026-05-31 00:00,0.09,波动状态,低波动启动,51.71,3,353,中,11.61,55.81,44.19,13.6,1.42,43.91,2.0875,0.9748,1.0165,-0.0794
2026-05-31 00:00,0.09,波动状态,低波动启动,51.71,5,353,中,11.61,55.81,44.19,22.66,5.38,43.06,2.7333,1.2392,1.0124,-0.0842
2026-05-31 00:00,0.09,波动状态,低波动启动,51.71,10,353,中强,18.41,59.21,40.79,36.83,15.86,38.53,4.8133,3.4506,0.9883,-0.1362
2026-05-31 00:00,0.09,短ATR状态,短ATR降温,87.63,1,475,强,32.21,33.89,66.11,2.53,0,29.05,-0.4297,-1.286,0.9077,-0.2069
2026-05-31 00:00,0.09,短ATR状态,短ATR降温,87.63,3,473,中强,16.28,41.86,58.14,12.26,7.19,35.31,-0.1534,-2.3737,0.969,-0.1452
2026-05-31 00:00,0.09,短ATR状态,短ATR降温,87.63,5,471,中强,18.47,40.76,59.24,15.92,13.8,34.39,-0.2564,-2.4288,0.9527,-0.1576
2026-05-31 00:00,0.09,短ATR状态,短ATR降温,87.63,10,471,弱,1.06,50.53,49.47,23.35,23.35,38,1.3332,0.0268,1.0035,-0.1166
2026-05-31 00:00,0.09,余动能状态,动能已超ATR,29.63,1,304,中强,21.05,60.53,39.47,4.61,0,51.32,1.5275,1.0863,1.1312,0.019
2026-05-31 00:00,0.09,余动能状态,动能已超ATR,29.63,3,304,弱,1.32,50.66,49.34,11.84,2.3,38.82,1.1251,0.1009,0.9678,-0.1357
2026-05-31 00:00,0.09,余动能状态,动能已超ATR,29.63,5,304,弱,1.97,50.99,49.01,18.75,10.2,40.13,1.4375,0.1146,0.9895,-0.1135
2026-05-31 00:00,0.09,余动能状态,动能已超ATR,29.63,10,303,弱,2.97,51.49,48.51,29.7,20.79,35.31,2.4213,0.8427,0.9421,-0.1593
2026-05-31 00:00,0.09,趋势状态,趋势不明,95.36,1,166,中强,20.48,39.76,60.24,3.01,0,37.35,-0.0483,-0.8405,0.9761,-0.1431
2026-05-31 00:00,0.09,趋势状态,趋势不明,95.36,3,166,弱,1.2,50.6,49.4,10.84,4.22,45.18,0.5167,0.1898,1.0251,-0.0574
2026-05-31 00:00,0.09,趋势状态,趋势不明,95.36,5,166,弱,3.61,51.81,48.19,17.47,6.63,44.58,1.6556,0.1974,1.0293,-0.0421
2026-05-31 00:00,0.09,趋势状态,趋势不明,95.36,10,166,弱,2.41,51.2,48.8,26.51,20.48,39.16,2.8371,0.591,1.0009,-0.1094
2026-05-31 00:00,0.09,量能状态,放量,21.03,1,238,中强,15.97,57.98,42.02,5.04,0,54.2,1.4121,0.8075,1.1531,0.0626
2026-05-31 00:00,0.09,量能状态,放量,21.03,3,238,中,13.45,56.72,43.28,13.03,2.52,39.92,2.0799,1.0966,0.9896,-0.0824
2026-05-31 00:00,0.09,量能状态,放量,21.03,5,238,中,8.4,54.2,45.8,19.75,8.4,36.13,1.8668,0.7863,0.9722,-0.1203
2026-05-31 00:00,0.09,量能状态,放量,21.03,10,237,弱,3.8,51.9,48.1,27.85,20.68,33.33,2.2348,0.8306,0.9225,-0.1593
