kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中强,19.22,609,-31.5944,-8.004,36.71,40.39,59.61,0,48.77,42.53,57.47,0.1153,0.0997
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,1.52,262,-8.2898,-1.1609,67.19,49.24,50.76,3.82,52.67,43.51,56.49,0.0043,0.3232
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,51.86,108,-0.5162,-0.0645,74.94,24.07,75.93,33.33,46.3,42.59,57.41,0.1426,0.2923
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.92,303,49.0393,3.2662,88.9,54.46,45.54,0.33,57.1,43.56,56.44,-0.0542,-0.0739
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,8.1,148,9.876,1.1694,77.93,45.95,54.05,8.78,48.65,50,50,0.0756,-0.0295
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,10.04,607,-31.5782,-7.9939,36.32,44.98,55.02,0,49.92,36.9,63.1,0.171,0.3208
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.64,262,-8.2898,-1.1609,67.19,53.82,46.18,9.16,54.2,38.55,61.45,-0.0642,0.4049
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,70.38,108,-0.5162,-0.0645,74.94,14.81,85.19,42.59,50,37.96,62.04,0.3042,1.4706
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,17.5,303,49.0393,3.2662,88.9,58.75,41.25,1.32,59.41,51.49,48.51,-0.1947,-0.1945
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,中,14.86,148,9.876,1.1694,77.93,42.57,57.43,16.22,50,50.68,49.32,0.1411,0.3855
