date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,5.44,波动状态,低波动启动,46.41,1,488,中,12.7,43.65,56.35,6.97,0.0,53.89,1.1507,-0.7117,1.1252,0.039
2026-06-01,5.44,波动状态,低波动启动,46.41,3,488,弱,5.33,52.66,47.34,19.88,6.56,47.34,3.1045,0.6403,1.0665,-0.0382
2026-06-01,5.44,波动状态,低波动启动,46.41,5,487,中强,18.69,59.34,40.66,26.28,12.73,46.0,5.402,2.797,1.071,-0.0414
2026-06-01,5.44,波动状态,低波动启动,46.41,10,484,中强,20.66,60.33,39.67,36.98,18.6,41.32,8.724,4.4896,1.0152,-0.0852
2026-06-01,5.44,短ATR状态,短ATR中性,96.31,1,502,中强,21.91,39.04,60.96,5.78,0.4,36.85,0.3675,-1.5446,0.9777,-0.1213
2026-06-01,5.44,短ATR状态,短ATR中性,96.31,3,500,中强,16.4,41.8,58.2,16.0,11.4,38.4,1.5304,-1.7101,1.0044,-0.1271
2026-06-01,5.44,短ATR状态,短ATR中性,96.31,5,498,中,13.65,43.17,56.83,17.87,21.29,36.55,1.8001,-2.1514,0.9658,-0.137
2026-06-01,5.44,短ATR状态,短ATR中性,96.31,10,493,中,9.53,45.23,54.77,25.15,30.63,35.7,1.7464,-1.6493,0.9765,-0.1242
2026-06-01,5.44,波动超额状态,振幅已超ATR,22.75,1,332,弱,0.6,49.7,50.3,8.73,0.9,58.13,1.8852,-0.018,1.2108,0.0686
2026-06-01,5.44,波动超额状态,振幅已超ATR,22.75,3,332,中,11.45,55.72,44.28,20.78,5.42,43.98,3.0804,1.6679,1.0576,-0.0642
2026-06-01,5.44,波动超额状态,振幅已超ATR,22.75,5,331,中强,21.45,60.73,39.27,28.1,12.08,45.62,5.7067,3.4887,1.0793,-0.0467
2026-06-01,5.44,波动超额状态,振幅已超ATR,22.75,10,330,中强,23.64,61.82,38.18,40.91,18.18,38.48,8.0118,6.4896,1.0061,-0.1097
2026-06-01,5.44,趋势状态,强趋势下行,100.0,1,623,强,42.54,28.73,71.27,5.14,0.0,25.68,-0.4944,-2.4058,0.863,-0.2441
2026-06-01,5.44,趋势状态,强趋势下行,100.0,3,621,强,45.25,27.38,72.62,9.18,21.58,27.54,-2.146,-4.7918,0.85,-0.2451
2026-06-01,5.44,趋势状态,强趋势下行,100.0,5,619,强,45.72,27.14,72.86,10.18,37.8,29.4,-3.7214,-7.4204,0.8859,-0.2201
2026-06-01,5.44,趋势状态,强趋势下行,100.0,10,617,强,43.92,28.04,71.96,13.94,50.08,32.9,-4.9931,-10.1108,0.9284,-0.1881
2026-06-01,5.44,量能状态,缩量,25.63,1,673,强,39.97,30.01,69.99,4.9,0.3,24.81,-0.7557,-2.5392,0.842,-0.232
2026-06-01,5.44,量能状态,缩量,25.63,3,672,强,37.8,31.1,68.9,9.67,19.49,29.61,-1.8437,-3.8474,0.909,-0.1937
2026-06-01,5.44,量能状态,缩量,25.63,5,671,强,33.83,33.08,66.92,11.77,31.45,32.79,-2.7242,-5.1557,0.9233,-0.1857
2026-06-01,5.44,量能状态,缩量,25.63,10,667,强,26.54,36.73,63.27,17.24,43.33,36.13,-3.2596,-7.2717,0.9695,-0.1674
