date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-24,5.82,波动状态,常态波动,89.33,1,2,样本偏少,100.0,100.0,0.0,50.0,0.0,50.0,7.839,7.839,0.8309,-0.1691
2026-05-24,5.82,波动状态,常态波动,89.33,3,1,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,14.4518,14.4518,0.58,-0.42
2026-05-24,5.82,波动状态,常态波动,89.33,5,0,,,,,,,,,,,
2026-05-24,5.82,波动状态,常态波动,89.33,10,0,,,,,,,,,,,
2026-05-24,5.82,短ATR状态,短ATR降温,100.0,1,5,样本偏少,20.0,40.0,60.0,20.0,20.0,20.0,-1.2559,-1.4277,0.6156,-0.42
2026-05-24,5.82,短ATR状态,短ATR降温,100.0,3,3,样本偏少,33.33,33.33,66.67,33.33,33.33,33.33,-0.8119,-6.8388,0.6917,-0.42
2026-05-24,5.82,短ATR状态,短ATR降温,100.0,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42
2026-05-24,5.82,短ATR状态,短ATR降温,100.0,10,0,,,,,,,,,,,
2026-05-24,5.82,波动超额状态,振幅未满ATR,35.0,1,4,样本偏少,0.0,50.0,50.0,25.0,25.0,25.0,-1.2129,-0.6329,0.6662,-0.358
2026-05-24,5.82,波动超额状态,振幅未满ATR,35.0,3,3,样本偏少,33.33,33.33,66.67,33.33,33.33,33.33,-0.8119,-6.8388,0.6917,-0.42
2026-05-24,5.82,波动超额状态,振幅未满ATR,35.0,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42
2026-05-24,5.82,波动超额状态,振幅未满ATR,35.0,10,0,,,,,,,,,,,
2026-05-24,5.82,趋势状态,强趋势下行,100.0,1,4,样本偏少,50.0,25.0,75.0,0.0,25.0,0.0,-4.5999,-3.1258,0.4991,-0.5033
2026-05-24,5.82,趋势状态,强趋势下行,100.0,3,2,样本偏少,100.0,0.0,100.0,0.0,50.0,50.0,-8.4437,-8.4437,0.7476,-0.2524
2026-05-24,5.82,趋势状态,强趋势下行,100.0,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42
2026-05-24,5.82,趋势状态,强趋势下行,100.0,10,0,,,,,,,,,,,
2026-05-24,5.82,量能状态,放量,10.22,1,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-1.4277,-1.4277,0.4134,-0.5866
2026-05-24,5.82,量能状态,放量,10.22,3,0,,,,,,,,,,,
2026-05-24,5.82,量能状态,放量,10.22,5,0,,,,,,,,,,,
2026-05-24,5.82,量能状态,放量,10.22,10,0,,,,,,,,,,,
