component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1566,强,34.1,32.95,67.05,2.55,0,32.12,-0.4229,-1.2758,0.9239,-0.1802,2026-05-30 16:00
波动状态,波动压缩,3,1565,强,25.5,37.25,62.75,9.9,4.73,34.63,-0.2435,-2.475,0.9655,-0.1611,2026-05-30 12:00
波动状态,波动压缩,5,1563,中,14.27,42.87,57.13,16.95,17.21,38.58,0.6783,-2.0278,1.0062,-0.1255,2026-05-29 20:00
波动状态,波动压缩,10,1562,弱,1.92,50.96,49.04,27.34,23.82,41.42,3.3735,0.3496,1.0411,-0.0998,2026-05-28 08:00
波动状态,常态波动,1,1289,中强,21.49,39.26,60.74,2.48,0,35.69,-0.094,-0.8378,0.9616,-0.1496,2026-05-30 20:00
波动状态,常态波动,3,1288,中,10.25,44.88,55.12,12.89,5.05,40.45,0.9263,-0.9869,1.0199,-0.105,2026-05-30 04:00
波动状态,常态波动,5,1288,中,11.34,44.33,55.67,19.02,13.82,37.03,1.8019,-1.434,0.9892,-0.1316,2026-05-30 04:00
波动状态,常态波动,10,1286,弱,5.13,47.43,52.57,26.21,25.35,36.47,3.4645,-0.7869,0.9766,-0.1448,2026-05-29 08:00
波动状态,低波动启动,1,1710,弱,0.7,50.35,49.65,5.38,0,47.08,1.2915,0.0403,1.1138,-0.0349,2026-05-30 00:00
波动状态,低波动启动,3,1710,弱,7.72,53.86,46.14,16.37,1.81,43.16,3.0507,0.5941,1.0663,-0.0703,2026-05-30 00:00
波动状态,低波动启动,5,1710,中,9.47,54.74,45.26,23.98,8.54,41.4,4.1722,1.4623,1.0383,-0.092,2026-05-30 00:00
波动状态,低波动启动,10,1708,中,14.99,57.49,42.51,35.25,18.21,38.06,6.7033,2.7826,1.006,-0.1171,2026-05-28 16:00
波动状态,高波动扩张,1,1459,弱,1.17,49.42,50.58,5.83,0.82,43.59,0.8137,-0.0632,1.0734,-0.0707,2026-05-15 12:00
波动状态,高波动扩张,3,1459,中,11.99,44,56,12.54,7.68,38.25,0.9844,-1.1955,0.9992,-0.1167,2026-05-15 12:00
波动状态,高波动扩张,5,1459,中强,15.83,42.08,57.92,15.83,17.96,35.64,0.646,-2.0397,0.9635,-0.1443,2026-05-15 12:00
波动状态,高波动扩张,10,1459,中强,19.81,40.1,59.9,21.52,32.97,32.01,-0.0912,-4.0388,0.9246,-0.1885,2026-05-15 12:00
波动状态,高波动冷却,1,1742,强,42.37,28.82,71.18,1.49,0,26.29,-0.9757,-1.6663,0.8473,-0.2439,2026-05-16 16:00
波动状态,高波动冷却,3,1742,强,42.71,28.65,71.35,6.08,8.61,28.82,-2.2549,-3.9324,0.8755,-0.2308,2026-05-16 16:00
波动状态,高波动冷却,5,1742,强,41.45,29.28,70.72,9.47,27.67,31.69,-2.8842,-5.1272,0.9185,-0.196,2026-05-16 16:00
波动状态,高波动冷却,10,1742,强,39.49,30.25,69.75,14.29,45.52,35.94,-4.1688,-8.5012,0.9616,-0.1391,2026-05-16 16:00
短ATR状态,短ATR降温,1,2683,强,35.3,32.35,67.65,2.31,0,29.93,-0.6246,-1.4062,0.8914,-0.2128,2026-05-30 20:00
短ATR状态,短ATR降温,3,2682,强,28.34,35.83,64.17,9.32,6.6,34.79,-0.7937,-2.8411,0.9533,-0.162,2026-05-27 08:00
短ATR状态,短ATR降温,5,2682,中强,23.19,38.4,61.6,14.91,21.25,36.99,-0.4802,-3.3179,0.9798,-0.1419,2026-05-27 08:00
短ATR状态,短ATR降温,10,2682,中,11.93,44.03,55.97,22.93,30.65,38.78,1.1266,-2.338,1.0001,-0.1149,2026-05-27 08:00
