component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,720,强,40.28,29.86,70.14,2.78,0,27.78,-0.7769,-1.6986,0.8727,-0.2483,2026-05-26
波动状态,波动压缩,3,720,中强,24.17,37.92,62.08,11.67,10.69,32.92,-0.2034,-3.0949,0.9724,-0.1879,2026-05-26
波动状态,波动压缩,5,719,中强,24.34,37.83,62.17,16.27,24.34,36.44,0.355,-3.1308,0.9776,-0.1696,2026-05-24
波动状态,波动压缩,10,716,中强,15.36,42.32,57.68,25.84,33.66,38.41,2.7471,-2.9756,1.012,-0.135,2026-05-19
波动状态,常态波动,1,540,中强,15.93,42.04,57.96,2.22,0,28.15,-0.4322,-1.0159,0.8984,-0.2101,2026-03-24
波动状态,常态波动,3,540,强,32.22,33.89,66.11,11.67,14.44,30.19,-0.8441,-3.4976,0.921,-0.1914,2026-03-24
波动状态,常态波动,5,540,强,31.85,34.07,65.93,15,27.96,34.07,-1.372,-5.2857,0.9554,-0.18,2026-03-24
波动状态,常态波动,10,540,强,30,35,65,22.04,41.85,32.96,-1.8066,-6.7393,0.949,-0.1953,2026-03-24
波动状态,低波动启动,1,857,中,12.02,56.01,43.99,9.22,1.28,52.63,1.9054,0.5768,1.1813,0.041,2026-05-28
波动状态,低波动启动,3,855,中,8.3,54.15,45.85,21.52,4.68,47.13,4.2098,0.921,1.1038,-0.0351,2026-05-25
波动状态,低波动启动,5,854,中强,16.63,58.31,41.69,29.86,10.89,42.97,6.6983,2.3749,1.0878,-0.096,2026-05-22
波动状态,低波动启动,10,852,中强,21.6,60.8,39.2,40.96,20.31,38.85,10.973,5.6209,1.034,-0.1459,2026-05-18
波动状态,高波动扩张,1,308,弱,1.3,50.65,49.35,20.13,8.12,45.78,1.7673,0.3609,1.1613,-0.049,2026-02-28
波动状态,高波动扩张,3,308,弱,7.14,46.43,53.57,22.4,19.16,34.09,2.247,-0.7678,1.0129,-0.1787,2026-02-28
波动状态,高波动扩张,5,308,中,14.29,42.86,57.14,25.65,27.92,28.9,2.8714,-3.084,0.9522,-0.196,2026-02-28
波动状态,高波动扩张,10,308,中强,23.38,38.31,61.69,26.95,43.83,29.55,1.6593,-6.9048,0.9113,-0.2196,2026-02-28
波动状态,高波动冷却,1,404,强,52.48,23.76,76.24,0.74,1.24,12.62,-2.1321,-2.5726,0.7192,-0.3451,2026-03-06
波动状态,高波动冷却,3,404,强,59.9,20.05,79.95,6.93,30.2,21.53,-4.4887,-6.995,0.7916,-0.3066,2026-03-06
波动状态,高波动冷却,5,404,强,61.39,19.31,80.69,9.9,52.97,22.77,-6.9458,-10.7224,0.8162,-0.2852,2026-03-06
波动状态,高波动冷却,10,404,强,57.92,21.04,78.96,14.11,63.61,28.96,-9.7447,-15.8907,0.9081,-0.2415,2026-03-06
短ATR状态,短ATR降温,1,1249,强,37.55,31.22,68.78,2.8,0.48,25.38,-0.9449,-1.7271,0.8455,-0.2663,2026-05-03
短ATR状态,短ATR降温,3,1249,强,37.87,31.06,68.94,10.49,16.17,30.74,-1.6419,-4.2929,0.9121,-0.2196,2026-05-03
短ATR状态,短ATR降温,5,1249,强,35.95,32.03,67.97,14.33,31.39,34.83,-1.8713,-5.5635,0.9513,-0.1879,2026-05-03
短ATR状态,短ATR降温,10,1249,强,26.82,36.59,63.41,22.42,41.71,35.31,-0.5439,-6.3789,0.9815,-0.1778,2026-05-03
短ATR状态,短ATR升温,1,700,中,13.14,56.57,43.43,14.14,3.57,53.14,2.3428,0.8357,1.251,0.0461,2026-05-27
短ATR状态,短ATR升温,3,699,中,13.02,56.51,43.49,26.32,8.15,44.78,4.71,1.4371,1.1334,-0.0506,2026-05-22
短ATR状态,短ATR升温,5,699,中强,17.31,58.66,41.34,33.19,15.02,39.48,6.4922,2.8264,1.0572,-0.116,2026-05-22
短ATR状态,短ATR升温,10,697,中,11.33,55.67,44.33,39.17,25.82,34.72,8.9605,3.5116,0.9923,-0.163,2026-05-17
短ATR状态,短ATR中性,1,880,中,11.82,44.09,55.91,4.77,1.14,34.77,0.0719,-0.7236,0.9572,-0.1768,2026-05-28
短ATR状态,短ATR中性,3,879,中强,18.09,40.96,59.04,12.86,13.31,33.9,0.7216,-1.9349,0.9573,-0.2024,2026-05-26
短ATR状态,短ATR中性,5,877,中强,19.27,40.36,59.64,18.36,25.31,32.27,1.2681,-3.0715,0.9619,-0.2023,2026-05-24
短ATR状态,短ATR中性,10,874,中强,15.79,42.11,57.89,27.46,37.87,35.35,1.5429,-3.7067,0.9703,-0.1807,2026-05-19
量能状态,放量,1,475,中强,20.42,60.21,39.79,17.68,3.79,65.05,3.1431,1.6517,1.4057,0.1846,2026-05-10
量能状态,放量,3,475,强,28.84,64.42,35.58,30.11,5.26,54.32,6.4025,3.0309,1.2154,0.0466,2026-05-10
量能状态,放量,5,475,强,37.26,68.63,31.37,39.16,8,45.05,9.68,5.1034,1.141,-0.0464,2026-05-10
量能状态,放量,10,475,强,36,68,32,47.16,16.42,36,13.4164,8.7667,0.9996,-0.163,2026-05-10
量能状态,量能正常,1,1119,中强,15.28,42.36,57.64,5.27,1.25,36.73,0.1354,-0.8973,0.9673,-0.1585,2026-05-28
量能状态,量能正常,3,1117,中强,20.68,39.66,60.34,14.32,11.37,35.54,0.6853,-2.131,0.98,-0.1731,2026-05-21
