date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,7.72,波动状态,低波动启动,63.65,1,873,弱,5.61,47.19,52.81,8.93,0.0,53.61,1.8876,-0.358,1.2037,0.0477
2026-06-01,7.72,波动状态,低波动启动,63.65,3,873,中,9.05,54.52,45.48,22.22,5.84,47.19,4.4387,1.0301,1.1107,-0.0367
2026-06-01,7.72,波动状态,低波动启动,63.65,5,872,中强,17.2,58.6,41.4,32.11,13.88,43.12,7.2575,2.9382,1.0941,-0.0914
2026-06-01,7.72,波动状态,低波动启动,63.65,10,870,中强,21.38,60.69,39.31,42.99,21.61,39.54,11.8554,6.2936,1.0405,-0.142
2026-06-01,7.72,短ATR状态,短ATR中性,95.87,1,881,强,27.81,36.1,63.9,6.02,0.57,34.73,0.2235,-1.5892,0.9567,-0.177
2026-06-01,7.72,短ATR状态,短ATR中性,95.87,3,881,中强,23.04,38.48,61.52,12.94,13.73,33.94,0.6377,-2.2217,0.9575,-0.2024
2026-06-01,7.72,短ATR状态,短ATR中性,95.87,5,879,中强,18.32,40.84,59.16,19.57,27.19,32.2,1.3883,-2.7607,0.9612,-0.2024
2026-06-01,7.72,短ATR状态,短ATR中性,95.87,10,875,中强,15.66,42.17,57.83,28.0,38.29,35.31,1.6271,-3.9783,0.9698,-0.1808
2026-06-01,7.72,波动超额状态,振幅已超ATR,29.21,1,667,弱,1.35,50.67,49.33,11.84,0.45,59.37,2.5034,0.0327,1.3105,0.1265
2026-06-01,7.72,波动超额状态,振幅已超ATR,29.21,3,667,中,12.44,56.22,43.78,25.64,7.2,48.88,5.49,1.6314,1.1506,-0.01
2026-06-01,7.72,波动超额状态,振幅已超ATR,29.21,5,667,中强,17.84,58.92,41.08,34.63,16.04,40.33,8.1975,3.5582,1.0646,-0.1065
2026-06-01,7.72,波动超额状态,振幅已超ATR,29.21,10,666,中强,18.32,59.16,40.84,43.54,24.62,36.64,12.0096,6.1567,1.0011,-0.1609
2026-06-01,7.72,趋势状态,强趋势下行,100.0,1,1213,强,44.27,27.86,72.14,6.27,0.49,24.57,-0.6662,-2.5186,0.8529,-0.2773
2026-06-01,7.72,趋势状态,强趋势下行,100.0,3,1211,强,42.36,28.82,71.18,11.23,21.88,25.76,-1.7958,-5.2328,0.873,-0.2659
2026-06-01,7.72,趋势状态,强趋势下行,100.0,5,1209,强,41.77,29.11,70.89,13.98,40.03,28.29,-2.5155,-7.3505,0.8967,-0.2471
2026-06-01,7.72,趋势状态,强趋势下行,100.0,10,1207,强,38.03,30.99,69.01,19.14,49.46,31.23,-3.4573,-9.7682,0.9346,-0.219
2026-06-01,7.72,量能状态,放量,21.04,1,475,弱,7.79,53.89,46.11,13.89,0.21,65.05,3.1718,0.3537,1.4057,0.1846
2026-06-01,7.72,量能状态,放量,21.04,3,475,强,28.0,64.0,36.0,29.26,4.84,54.32,7.2682,3.2998,1.2154,0.0466
2026-06-01,7.72,量能状态,放量,21.04,5,475,强,33.89,66.95,33.05,41.68,8.21,45.05,10.876,6.2929,1.141,-0.0464
2026-06-01,7.72,量能状态,放量,21.04,10,475,强,35.16,67.58,32.42,50.95,19.37,36.0,15.2517,10.7421,0.9996,-0.163
