component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,44,样本偏少,22.73,38.64,61.36,0,0,11.36,-1.3086,-1.3475,0.716,-0.3537,2026-04-26
波动状态,波动压缩,3,44,样本偏少,40.91,29.55,70.45,15.91,34.09,22.73,-3.2373,-4.9512,0.9018,-0.2411,2026-04-26
波动状态,波动压缩,5,42,样本偏少,19.05,40.48,59.52,28.57,35.71,26.19,-0.7013,-6.1687,0.8616,-0.3902,2026-04-12
波动状态,波动压缩,10,40,样本偏少,45,27.5,72.5,17.5,47.5,25,-4.821,-9.4489,0.8743,-0.254,2026-01-04
波动状态,常态波动,1,51,样本偏少,1.96,49.02,50.98,9.8,7.84,17.65,-0.3962,-0.3101,0.7535,-0.3297,2026-03-29
波动状态,常态波动,3,51,样本偏少,13.73,43.14,56.86,19.61,23.53,13.73,1.7486,-1.5443,0.6933,-0.3713,2026-03-29
波动状态,常态波动,5,51,样本偏少,9.8,45.1,54.9,21.57,29.41,15.69,1.7725,-2.9888,0.7331,-0.3161,2026-03-29
波动状态,常态波动,10,50,样本偏少,16,42,58,28,42,22,1.2089,-4.7569,0.7547,-0.3453,2026-02-22
波动状态,低波动启动,1,84,样本偏少,16.67,58.33,41.67,27.38,14.29,44.05,2.5004,2.0616,1.1197,-0.1197,2026-05-10
波动状态,低波动启动,3,82,样本偏少,26.83,63.41,36.59,31.71,18.29,36.59,6.0261,5.0018,1.0228,-0.1618,2026-01-25
波动状态,低波动启动,5,82,样本偏少,19.51,59.76,40.24,43.9,18.29,30.49,7.2452,6.9474,1.0072,-0.1815,2026-01-25
波动状态,低波动启动,10,82,样本偏少,34.15,67.07,32.93,53.66,23.17,30.49,14.3238,12.6937,0.9862,-0.2299,2026-01-25
波动状态,高波动扩张,1,6,样本偏少,0,50,50,33.33,50,33.33,-1.6297,-3.4777,1.0792,-0.2131,2026-02-01
波动状态,高波动扩张,3,6,样本偏少,0,50,50,16.67,50,16.67,-17.3728,-16.9372,0.7542,-0.3224,2026-02-01
波动状态,高波动扩张,5,6,样本偏少,0,50,50,33.33,50,33.33,-11.837,-14.5545,0.8435,-0.2459,2026-02-01
波动状态,高波动扩张,10,6,样本偏少,66.67,16.67,83.33,0,83.33,50,-24.7292,-21.4154,0.9374,-0.003,2026-02-01
波动状态,高波动冷却,1,29,样本偏少,44.83,27.59,72.41,6.9,6.9,6.9,-1.4238,-2.0084,0.5671,-0.4223,2026-03-22
波动状态,高波动冷却,3,29,样本偏少,37.93,31.03,68.97,10.34,34.48,20.69,-4.9776,-5.3714,0.7543,-0.355,2026-03-22
波动状态,高波动冷却,5,29,样本偏少,44.83,27.59,72.41,6.9,51.72,24.14,-12.0521,-11.1774,0.7633,-0.4011,2026-03-22
波动状态,高波动冷却,10,27,样本偏少,62.96,18.52,81.48,3.7,74.07,14.81,-23.923,-28.8998,0.7862,-0.3123,2026-03-08
短ATR状态,短ATR降温,1,129,中,13.18,43.41,56.59,10.85,8.53,15.5,-0.5745,-1.1074,0.7443,-0.3674,2026-05-10
短ATR状态,短ATR降温,3,127,中强,24.41,37.8,62.2,17.32,32.28,20.47,-1.7981,-5.3,0.7968,-0.3238,2026-04-26
短ATR状态,短ATR降温,5,125,强,34.4,32.8,67.2,20.8,43.2,24,-4.3363,-7.3493,0.83,-0.2832,2026-04-12
短ATR状态,短ATR降温,10,120,强,50,25,75,16.67,60,28.33,-8.7571,-13.2364,0.9054,-0.2505,2026-03-08
短ATR状态,短ATR升温,1,35,样本偏少,8.57,45.71,54.29,25.71,11.43,42.86,2.1719,-0.6095,1.2114,-0.1166,2025-10-12
