component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1597,强,36.63,31.68,68.32,2.57,0,31.25,-0.571,-1.5712,0.9053,-0.2174,2026-05-30 20:00
波动状态,波动压缩,3,1595,中强,22.13,38.93,61.07,9.91,6.9,36.05,-0.3147,-2.2464,0.974,-0.1591,2026-05-30 12:00
波动状态,波动压缩,5,1593,中,14.88,42.56,57.44,17.39,17.7,37.16,0.5511,-2.0871,0.9949,-0.1378,2026-05-29 20:00
波动状态,波动压缩,10,1592,弱,2.64,48.68,51.32,29.15,24.62,42.02,3.6753,-0.7377,1.0784,-0.093,2026-05-28 08:00
波动状态,常态波动,1,1512,强,27.78,36.11,63.89,2.71,0,34.26,-0.1936,-1.1265,0.9524,-0.1721,2026-05-30 04:00
波动状态,常态波动,3,1512,中强,19.44,40.28,59.72,11.77,5.56,37.76,0.5824,-1.5989,1.0125,-0.1292,2026-05-30 04:00
波动状态,常态波动,5,1512,中强,15.08,42.46,57.54,18.58,15.81,36.77,1.0921,-1.7904,0.9969,-0.1474,2026-05-30 04:00
波动状态,常态波动,10,1511,中,11.85,44.08,55.92,24.75,29.38,36.66,2.1666,-2.3957,0.9887,-0.1361,2026-05-29 08:00
波动状态,低波动启动,1,1904,弱,3.36,48.32,51.68,6.41,0,45.48,1.2712,-0.1334,1.118,-0.0464,2026-05-30 00:00
波动状态,低波动启动,3,1904,弱,3.57,51.79,48.21,16.91,2.15,41.18,2.8345,0.3835,1.0605,-0.0912,2026-05-30 00:00
波动状态,低波动启动,5,1904,中,8.61,54.31,45.69,23.42,10.77,41.96,4.2492,0.9629,1.0522,-0.0886,2026-05-30 00:00
波动状态,低波动启动,10,1901,中,12.57,56.29,43.71,35.03,19.52,36.98,7.2789,2.7015,0.9778,-0.1414,2026-05-28 16:00
波动状态,高波动扩张,1,1271,弱,0.55,50.28,49.72,7,0.16,43.9,1.2319,0.0082,1.0992,-0.0775,2026-05-23 20:00
波动状态,高波动扩张,3,1271,中,11.41,44.3,55.7,15.11,8.03,36.51,1.7356,-1.0986,0.9904,-0.1418,2026-05-23 20:00
波动状态,高波动扩张,5,1271,中,14.4,42.8,57.2,18.57,19.98,31.79,1.6506,-2.0866,0.9394,-0.1887,2026-05-23 20:00
波动状态,高波动扩张,10,1271,中强,19.91,40.05,59.95,23.05,37.92,28.72,0.3333,-4.6482,0.8963,-0.2294,2026-05-23 20:00
波动状态,高波动冷却,1,1482,强,51.01,24.49,75.51,1.08,0,23.68,-1.2658,-2.0495,0.8234,-0.2716,2026-05-24 16:00
波动状态,高波动冷却,3,1482,强,48.99,25.51,74.49,6.14,13.56,26.79,-2.8581,-4.5491,0.855,-0.253,2026-05-24 16:00
波动状态,高波动冷却,5,1482,强,45.48,27.26,72.74,9.65,33.4,29.62,-3.9272,-6.5048,0.9029,-0.2233,2026-05-24 16:00
波动状态,高波动冷却,10,1482,强,42.65,28.68,71.32,15.25,49.87,33.6,-5.3362,-9.9479,0.9549,-0.1784,2026-05-24 16:00
短ATR状态,短ATR降温,1,2770,强,38.92,30.54,69.46,2.53,0,28.95,-0.6332,-1.6442,0.8932,-0.2286,2026-05-30 20:00
短ATR状态,短ATR降温,3,2768,强,30.06,34.97,65.03,9.5,8.49,33.67,-0.9378,-2.9378,0.948,-0.1894,2026-05-30 12:00
短ATR状态,短ATR降温,5,2766,强,25.16,37.42,62.58,15.73,22.6,34.24,-0.7183,-3.4866,0.9739,-0.1652,2026-05-29 08:00
短ATR状态,短ATR降温,10,2766,中,12.87,43.56,56.44,25.16,32.25,37.6,1.17,-2.9078,1.0087,-0.1288,2026-05-29 08:00
短ATR状态,短ATR升温,1,2014,弱,2.88,48.56,51.44,6.45,0.1,45.03,1.1518,-0.1745,1.1021,-0.0547,2026-05-29 16:00
短ATR状态,短ATR升温,3,2014,弱,4.37,47.82,52.18,15.54,5.16,39.23,2.3341,-0.3939,1.03,-0.1154,2026-05-29 16:00
短ATR状态,短ATR升温,5,2014,弱,0.79,49.6,50.4,21.15,14.65,39.13,3.1484,-0.1134,1.0087,-0.1189,2026-05-29 16:00
短ATR状态,短ATR升温,10,2012,弱,4.37,47.81,52.19,28.28,27.68,33.5,3.6915,-1.097,0.9482,-0.1835,2026-05-28 16:00
短ATR状态,短ATR中性,1,2982,中强,22.87,38.56,61.44,3.66,0,36.32,0.114,-0.967,0.9852,-0.1454,2026-05-30 04:00
短ATR状态,短ATR中性,3,2982,中强,17.77,41.11,58.89,12.24,6.67,35.85,0.5502,-1.7773,0.983,-0.1527,2026-05-30 04:00
短ATR状态,短ATR中性,5,2982,中,14.96,42.52,57.48,17.51,18.61,35.38,0.8529,-2.1834,0.9732,-0.1648,2026-05-30 04:00
短ATR状态,短ATR中性,10,2979,中,14.2,42.9,57.1,25.44,32.86,36.09,1.616,-2.8543,0.9823,-0.1545,2026-05-29 04:00
量能状态,放量,1,1434,弱,6.97,53.49,46.51,8.23,0.07,51.32,1.924,0.3145,1.1831,0.0112,2026-05-29 12:00
量能状态,放量,3,1434,弱,6.14,53.07,46.93,19.18,2.86,42.61,3.9868,0.7419,1.0826,-0.0772,2026-05-29 12:00
量能状态,放量,5,1434,弱,7.39,53.7,46.3,23.71,11.3,38.84,5.1013,0.8427,1.0172,-0.1154,2026-05-29 12:00
量能状态,放量,10,1433,中,8.44,54.22,45.78,32.94,23.73,33.64,6.2031,1.629,0.9517,-0.1884,2026-05-28 16:00
量能状态,量能正常,1,2557,中强,15.84,42.08,57.92,4.26,0.04,37.9,0.3924,-0.6561,1.0138,-0.1248,2026-05-30 00:00
