date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,2026.9,波动状态,波动压缩,61.42,1,844,强,32.94,33.53,66.47,3.55,0,32.7,-0.4052,-1.2397,0.9227,-0.2129
2026-05-29,2026.9,波动状态,波动压缩,61.42,3,844,中强,22.99,38.51,61.49,14.22,7.94,39.69,0.6915,-2.0636,1.0241,-0.1109
2026-05-29,2026.9,波动状态,波动压缩,61.42,5,842,中,14.96,42.52,57.48,18.05,19.24,42.04,1.7435,-2.0309,1.027,-0.1115
2026-05-29,2026.9,波动状态,波动压缩,61.42,10,840,弱,5.71,47.14,52.86,30.48,30.95,42.86,4.9844,-1.4621,1.0384,-0.0891
2026-05-29,2026.9,短ATR状态,短ATR降温,62.65,1,1052,强,36.12,31.94,68.06,3.33,0.48,28.42,-0.8743,-1.698,0.8809,-0.247
2026-05-29,2026.9,短ATR状态,短ATR降温,62.65,3,1052,强,38.21,30.89,69.11,10.74,15.59,32.6,-1.4618,-4.1861,0.9245,-0.2015
2026-05-29,2026.9,短ATR状态,短ATR降温,62.65,5,1051,强,37.77,31.11,68.89,13.7,31.11,34.16,-1.7696,-5.9461,0.9438,-0.1881
2026-05-29,2026.9,短ATR状态,短ATR降温,62.65,10,1049,强,30.22,34.89,65.11,22.59,43.66,38.7,-0.3652,-7.3138,1.01,-0.1278
2026-05-29,2026.9,余动能状态,余动能不足,34.61,1,1257,强,36.2,31.9,68.1,2.47,0.16,27.53,-0.8605,-1.5184,0.8698,-0.2438
2026-05-29,2026.9,余动能状态,余动能不足,34.61,3,1257,强,34.92,32.54,67.46,11.61,13.92,33.02,-0.9802,-3.6763,0.9442,-0.174
2026-05-29,2026.9,余动能状态,余动能不足,34.61,5,1256,强,31.85,34.08,65.92,14.25,28.82,36.7,-1.1186,-5.138,0.9677,-0.1466
2026-05-29,2026.9,余动能状态,余动能不足,34.61,10,1254,强,28.71,35.65,64.35,23.29,43.3,37.16,-0.2173,-6.7781,0.9771,-0.1371
2026-05-29,2026.9,趋势状态,强趋势下行,100,1,1055,中,9.76,45.12,54.88,8.63,1.42,28.63,0.7934,-0.5091,0.9107,-0.2022
2026-05-29,2026.9,趋势状态,强趋势下行,100,3,1053,中强,24.41,37.8,62.2,14.06,17,28.21,0.0605,-3.6476,0.8856,-0.2127
2026-05-29,2026.9,趋势状态,强趋势下行,100,5,1051,强,32.06,33.97,66.03,16.75,33.87,29.69,-0.476,-5.9752,0.9012,-0.2051
2026-05-29,2026.9,趋势状态,强趋势下行,100,10,1046,强,34.61,32.7,67.3,20.08,50.57,29.16,-2.0956,-10.0555,0.8989,-0.2019
2026-05-29,2026.9,量能状态,缩量,48.55,1,1057,强,36.23,31.88,68.12,2.18,0.47,28,-1.0568,-1.7543,0.857,-0.2473
2026-05-29,2026.9,量能状态,缩量,48.55,3,1056,强,32.39,33.81,66.19,11.08,15.06,32.95,-1.4319,-3.7731,0.9391,-0.1721
2026-05-29,2026.9,量能状态,缩量,48.55,5,1054,强,30.93,34.54,65.46,13.95,30.27,36.43,-1.5733,-5.0639,0.9669,-0.1539
2026-05-29,2026.9,量能状态,缩量,48.55,10,1052,强,30.99,34.51,65.49,21.77,45.25,37.36,-1.5653,-7.4564,0.9758,-0.1414
