component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,51,样本偏少,5.88,47.06,52.94,0,0,27.45,-0.0795,-0.2876,0.9382,-0.1668,2026-05-10
波动状态,波动压缩,3,49,样本偏少,18.37,40.82,59.18,22.45,16.33,32.65,0.2639,-2.4896,0.962,-0.206,2026-04-26
波动状态,波动压缩,5,47,样本偏少,36.17,31.91,68.09,25.53,34.04,31.91,-0.2646,-4.0508,0.9623,-0.1731,2026-01-04
波动状态,波动压缩,10,47,样本偏少,31.91,34.04,65.96,25.53,51.06,40.43,4.4661,-10.0354,1.0396,-0.0546,2026-01-04
波动状态,常态波动,1,43,样本偏少,11.63,44.19,55.81,13.95,9.3,30.23,-0.1325,-2.194,0.8478,-0.2174,2026-04-12
波动状态,常态波动,3,43,样本偏少,2.33,48.84,51.16,27.91,20.93,30.23,2.8093,-0.3519,0.8478,-0.2599,2026-04-12
波动状态,常态波动,5,43,样本偏少,6.98,46.51,53.49,34.88,32.56,30.23,4.0735,-0.9621,0.8715,-0.2328,2026-04-12
波动状态,常态波动,10,40,样本偏少,5,47.5,52.5,40,37.5,40,14.1132,-0.8953,0.9053,-0.1334,2026-01-11
波动状态,低波动启动,1,77,样本偏少,9.09,54.55,45.45,29.87,12.99,58.44,2.6449,2.1595,1.176,0.1398,2026-01-25
波动状态,低波动启动,3,77,样本偏少,14.29,57.14,42.86,32.47,15.58,51.95,5.1022,2.5669,1.1333,0.0237,2026-01-25
波动状态,低波动启动,5,77,样本偏少,19.48,59.74,40.26,49.35,22.08,51.95,8.5606,8.0738,1.1295,0.0195,2026-01-25
波动状态,低波动启动,10,77,样本偏少,29.87,64.94,35.06,50.65,19.48,42.86,13.4457,11.0646,1.0602,-0.1027,2026-01-25
波动状态,高波动扩张,1,7,样本偏少,14.29,57.14,42.86,28.57,42.86,14.29,1.0718,4.8849,0.7552,-0.2422,2026-02-01
波动状态,高波动扩张,3,7,样本偏少,42.86,71.43,28.57,28.57,28.57,0,2.8931,4.82,0.6048,-0.4464,2026-02-01
波动状态,高波动扩张,5,7,样本偏少,14.29,42.86,57.14,28.57,28.57,28.57,-2.8638,-0.7299,0.8725,-0.1388,2026-02-01
波动状态,高波动扩张,10,7,样本偏少,100,0,100,0,100,28.57,-24.5693,-22.039,0.8912,-0.2466,2026-02-01
波动状态,高波动冷却,1,38,样本偏少,31.58,34.21,65.79,2.63,7.89,10.53,-3.1398,-2.8626,0.7066,-0.3283,2026-03-29
波动状态,高波动冷却,3,38,样本偏少,57.89,21.05,78.95,10.53,60.53,21.05,-7.3761,-11.5953,0.8012,-0.2444,2026-03-29
波动状态,高波动冷却,5,38,样本偏少,47.37,26.32,73.68,13.16,60.53,18.42,-8.4283,-14.079,0.7509,-0.3341,2026-03-29
波动状态,高波动冷却,10,36,样本偏少,61.11,19.44,80.56,11.11,77.78,16.67,-19.778,-27.3233,0.7527,-0.2998,2026-03-08
短ATR状态,短ATR降温,1,100,样本偏少,16,42,58,8,11,21,-1.189,-1.3458,0.8151,-0.2537,2026-05-10
短ATR状态,短ATR降温,3,98,样本偏少,36.73,31.63,68.37,16.33,35.71,25.51,-2.165,-6.7284,0.8501,-0.2354,2026-04-26
短ATR状态,短ATR降温,5,96,样本偏少,41.67,29.17,70.83,20.83,46.88,25,-2.9542,-7.9194,0.8224,-0.2325,2026-04-12
短ATR状态,短ATR降温,10,91,样本偏少,58.24,20.88,79.12,14.29,62.64,28.57,-5.3371,-14.5959,0.8709,-0.2196,2026-03-08
短ATR状态,短ATR升温,1,67,样本偏少,7.46,53.73,46.27,23.88,7.46,62.69,1.9809,2.1455,1.2102,0.1475,2025-11-16
短ATR状态,短ATR升温,3,67,样本偏少,31.34,65.67,34.33,35.82,11.94,58.21,6.2238,5.1289,1.1948,0.1344,2025-11-16
短ATR状态,短ATR升温,5,67,样本偏少,37.31,68.66,31.34,61.19,14.93,46.27,12.1052,12.7685,1.1272,-0.0217,2025-11-16
短ATR状态,短ATR升温,10,67,样本偏少,58.21,79.1,20.9,62.69,10.45,46.27,22.1048,18.1319,1.0904,-0.0652,2025-11-16
短ATR状态,短ATR中性,1,49,样本偏少,2.04,48.98,51.02,16.33,8.16,28.57,1.3936,-0.6433,0.9059,-0.1947,2026-02-08
短ATR状态,短ATR中性,3,49,样本偏少,6.12,46.94,53.06,28.57,22.45,26.53,1.26,-0.3536,0.8606,-0.218,2026-02-08
短ATR状态,短ATR中性,5,49,样本偏少,18.37,40.82,59.18,22.45,34.69,44.9,-0.9362,-4.0508,1.0171,-0.0692,2026-02-08
短ATR状态,短ATR中性,10,49,样本偏少,18.37,40.82,59.18,32.65,51.02,38.78,-1.42,-13.9575,0.9742,-0.1388,2026-02-08
