date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01 16:00,2006.56,波动状态,低波动启动,74.52,1,2703,中,11.21,44.4,55.6,5.73,0.0,46.8,1.0393,-0.5348,1.1046,-0.0358
2026-06-01 16:00,2006.56,波动状态,低波动启动,74.52,3,2701,弱,0.63,50.31,49.69,16.25,3.04,44.28,2.7467,0.0997,1.0769,-0.0583
2026-06-01 16:00,2006.56,波动状态,低波动启动,74.52,5,2701,弱,0.19,49.91,50.09,22.73,13.18,39.32,3.7681,-0.0157,1.0193,-0.115
2026-06-01 16:00,2006.56,波动状态,低波动启动,74.52,10,2700,弱,2.15,51.07,48.93,31.81,23.85,40.3,6.7191,0.4343,1.0283,-0.1018
2026-06-01 16:00,2006.56,短ATR状态,短ATR中性,96.31,1,3390,强,31.39,34.31,65.69,3.98,0.03,35.49,-0.1666,-1.4878,0.962,-0.1539
2026-06-01 16:00,2006.56,短ATR状态,短ATR中性,96.31,3,3389,中强,24.7,37.65,62.35,11.39,7.76,36.41,0.0042,-2.2833,0.9748,-0.1459
2026-06-01 16:00,2006.56,短ATR状态,短ATR中性,96.31,5,3389,中强,23.22,38.39,61.61,16.61,21.1,36.94,0.4463,-3.0989,0.9923,-0.1401
2026-06-01 16:00,2006.56,短ATR状态,短ATR中性,96.31,10,3387,中强,21.17,39.42,60.58,23.29,36.4,36.11,1.5924,-4.6586,0.9732,-0.1416
2026-06-01 16:00,2006.56,波动超额状态,振幅已超ATR,29.14,1,2146,中,8.39,45.81,54.19,7.27,0.05,50.23,1.46,-0.4113,1.1445,0.001
2026-06-01 16:00,2006.56,波动超额状态,振幅已超ATR,29.14,3,2145,弱,1.63,50.82,49.18,18.14,3.59,46.11,3.4827,0.1761,1.0839,-0.041
2026-06-01 16:00,2006.56,波动超额状态,振幅已超ATR,29.14,5,2145,弱,0.33,50.16,49.84,23.92,14.17,38.46,4.0831,0.014,1.0014,-0.1196
2026-06-01 16:00,2006.56,波动超额状态,振幅已超ATR,29.14,10,2145,弱,1.26,49.37,50.63,31.24,27.13,37.34,5.4776,-0.3641,0.9891,-0.1394
2026-06-01 16:00,2006.56,趋势状态,弱趋势下行,60.11,1,828,强,43.96,28.02,71.98,3.5,0.0,29.71,-0.6449,-1.9908,0.8926,-0.2277
2026-06-01 16:00,2006.56,趋势状态,弱趋势下行,60.11,3,828,强,40.58,29.71,70.29,10.51,11.47,33.94,-0.647,-3.3309,0.9537,-0.1832
2026-06-01 16:00,2006.56,趋势状态,弱趋势下行,60.11,5,826,强,32.93,33.54,66.46,14.16,28.21,31.96,-0.9117,-4.983,0.9248,-0.1865
2026-06-01 16:00,2006.56,趋势状态,弱趋势下行,60.11,10,823,强,28.8,35.6,64.4,22.24,39.61,36.82,-0.6114,-6.8301,0.9989,-0.1571
2026-06-01 16:00,2006.56,量能状态,量能正常,99.46,1,3920,强,26.17,36.91,63.09,4.67,0.03,39.06,0.2266,-1.2593,1.0101,-0.1156
2026-06-01 16:00,2006.56,量能状态,量能正常,99.46,3,3919,中强,19.47,40.27,59.73,12.58,5.66,37.56,0.6951,-1.942,1.0025,-0.1318
2026-06-01 16:00,2006.56,量能状态,量能正常,99.46,5,3919,中强,18.65,40.67,59.33,18.12,19.7,35.32,1.177,-2.4942,0.9801,-0.1516
2026-06-01 16:00,2006.56,量能状态,量能正常,99.46,10,3919,中强,16.05,41.97,58.03,24.57,33.45,36.69,2.3219,-3.508,0.9903,-0.1422
