date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,0.26,波动状态,低波动启动,49.82,1,198,弱,2.02,51.01,48.99,8.59,0.0,55.05,1.6117,0.0376,1.1735,0.0746
2026-06-01,0.26,波动状态,低波动启动,49.82,3,196,中,11.22,55.61,44.39,21.43,5.1,50.0,3.8657,0.8967,1.1101,-0.0035
2026-06-01,0.26,波动状态,低波动启动,49.82,5,194,中,12.37,56.19,43.81,29.38,7.73,46.91,6.4798,1.9527,1.0391,-0.0364
2026-06-01,0.26,波动状态,低波动启动,49.82,10,189,强,29.1,64.55,35.45,41.8,13.76,45.5,12.8594,7.681,1.0845,-0.0422
2026-06-01,0.26,短ATR状态,短ATR升温,100.0,1,145,弱,7.59,53.79,46.21,11.72,0.0,55.86,2.5171,0.5382,1.1895,0.0429
2026-06-01,0.26,短ATR状态,短ATR升温,100.0,3,143,中强,17.48,58.74,41.26,24.48,6.99,48.25,5.1976,1.9936,1.0597,-0.023
2026-06-01,0.26,短ATR状态,短ATR升温,100.0,5,141,中强,16.31,58.16,41.84,28.37,6.38,42.55,6.7634,2.6908,1.0013,-0.0793
2026-06-01,0.26,短ATR状态,短ATR升温,100.0,10,136,中强,22.06,61.03,38.97,38.24,16.91,44.85,8.021,6.4359,1.0083,-0.0612
2026-06-01,0.26,波动超额状态,振幅已超ATR,34.03,1,162,弱,2.47,48.77,51.23,12.35,0.62,54.94,1.9133,-0.0842,1.1939,0.0596
2026-06-01,0.26,波动超额状态,振幅已超ATR,34.03,3,161,中,9.32,54.66,45.34,23.6,9.32,49.69,3.9158,1.1122,1.0752,-0.0071
2026-06-01,0.26,波动超额状态,振幅已超ATR,34.03,5,159,中,11.95,55.97,44.03,32.7,11.32,43.4,6.7781,2.8575,1.0174,-0.0779
2026-06-01,0.26,波动超额状态,振幅已超ATR,34.03,10,155,中强,17.42,58.71,41.29,40.65,17.42,40.65,12.5151,6.5156,1.0158,-0.0784
2026-06-01,0.26,趋势状态,强趋势上行,100.0,1,185,中,9.19,54.59,45.41,9.73,0.0,59.46,1.7291,0.7551,1.1847,0.1204
2026-06-01,0.26,趋势状态,强趋势上行,100.0,3,183,中强,22.4,61.2,38.8,23.5,3.28,51.91,4.4419,2.2811,1.1041,0.026
2026-06-01,0.26,趋势状态,强趋势上行,100.0,5,181,强,25.97,62.98,37.02,33.7,6.63,46.96,6.1241,4.4449,1.0683,-0.0264
2026-06-01,0.26,趋势状态,强趋势上行,100.0,10,177,强,29.94,64.97,35.03,42.37,12.43,36.16,7.6985,7.7126,0.9514,-0.1141
2026-06-01,0.26,量能状态,放量,60.93,1,104,样本偏少,9.62,54.81,45.19,14.42,0.0,62.5,3.3094,1.2111,1.2667,0.1265
2026-06-01,0.26,量能状态,放量,60.93,3,102,样本偏少,29.41,64.71,35.29,32.35,3.92,49.02,7.4378,5.3984,1.0914,-0.0205
2026-06-01,0.26,量能状态,放量,60.93,5,101,样本偏少,34.65,67.33,32.67,41.58,2.97,48.51,10.2035,6.4224,1.0424,-0.0215
2026-06-01,0.26,量能状态,放量,60.93,10,98,样本偏少,28.57,64.29,35.71,51.02,12.24,41.84,11.4325,10.438,0.9906,-0.095
