component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1376,强,30.81,34.59,65.41,1.6,0,32.85,-0.4144,-1.1406,0.9183,-0.1774,2026-05-25 08:00
波动状态,波动压缩,3,1376,中,14.83,42.59,57.41,9.67,3.56,38.88,0.1322,-1.4198,1.0009,-0.099,2026-05-25 08:00
波动状态,波动压缩,5,1376,中,9.3,45.35,54.65,17.73,12.79,39.83,1.2489,-1.165,1.0166,-0.1031,2026-05-25 08:00
波动状态,波动压缩,10,1376,中,8.43,54.22,45.78,28.63,19.19,45.2,4.5211,1.1055,1.0668,-0.0543,2026-05-25 08:00
波动状态,常态波动,1,818,中,11.74,44.13,55.87,2.08,0,35.45,-0.0549,-0.5391,0.9517,-0.1506,2026-05-27 20:00
波动状态,常态波动,3,818,中强,17.36,41.32,58.68,7.21,4.77,39.36,-0.2809,-1.4957,0.9697,-0.1111,2026-05-27 20:00
波动状态,常态波动,5,818,中强,22,39,61,12.47,13.2,40.46,-0.2299,-2.1201,0.9768,-0.1116,2026-05-27 20:00
波动状态,常态波动,10,818,中强,20.05,39.98,60.02,20.78,30.07,39.36,0.1857,-3.2385,0.9766,-0.1213,2026-05-27 20:00
波动状态,低波动启动,1,1444,弱,6.09,53.05,46.95,4.78,0,49.38,1.1883,0.309,1.1194,-0.0075,2026-05-26 00:00
波动状态,低波动启动,3,1444,中,8.31,54.16,45.84,15.17,2.08,43.77,2.8205,0.719,1.053,-0.0741,2026-05-26 00:00
波动状态,低波动启动,5,1444,中,8.03,54.02,45.98,21.95,7.89,43.35,3.8548,1.0775,1.0391,-0.0612,2026-05-26 00:00
波动状态,低波动启动,10,1444,中强,17.31,58.66,41.34,31.93,15.72,39.68,7.103,2.8004,1.0039,-0.1003,2026-05-26 00:00
波动状态,高波动扩张,1,722,弱,0.83,50.42,49.58,5.96,2.22,49.45,0.6566,0.034,1.1021,-0.0199,2026-05-30 12:00
波动状态,高波动扩张,3,722,弱,5.54,47.23,52.77,14.13,8.59,42.8,1.3971,-0.6027,1.0311,-0.083,2026-05-30 12:00
波动状态,高波动扩张,5,720,中,10.28,44.86,55.14,18.89,18.75,36.67,1.5971,-1.5374,0.9784,-0.1423,2026-05-30 04:00
波动状态,高波动扩张,10,716,中强,19.27,40.36,59.64,21.93,34.64,33.1,-0.1412,-3.6441,0.8965,-0.1915,2026-05-29 08:00
波动状态,高波动冷却,1,920,强,37.39,31.3,68.7,0.87,0,25.76,-1.0111,-1.5273,0.8318,-0.2563,2026-05-30 20:00
波动状态,高波动冷却,3,918,强,48.58,25.71,74.29,3.81,11,27.23,-2.866,-3.952,0.8519,-0.2323,2026-05-30 00:00
波动状态,高波动冷却,5,918,强,51.2,24.4,75.6,5.88,26.14,30.28,-4.2753,-5.5758,0.8841,-0.2162,2026-05-30 00:00
波动状态,高波动冷却,10,917,强,58.12,20.94,79.06,8.94,51.47,31.52,-7.4872,-10.2854,0.9235,-0.1935,2026-05-28 20:00
短ATR状态,短ATR降温,1,1819,强,32.49,33.75,66.25,1.54,0,29.14,-0.6189,-1.2753,0.8832,-0.2099,2026-05-21 04:00
短ATR状态,短ATR降温,3,1819,强,27.32,36.34,63.66,7.59,6.21,35.18,-0.9736,-2.4019,0.9531,-0.1495,2026-05-21 04:00
短ATR状态,短ATR降温,5,1819,强,25.89,37.05,62.95,12.31,17.59,35.13,-1.0831,-3.153,0.9615,-0.1478,2026-05-21 04:00
