date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 12:00,0.26,波动状态,高波动扩张,85.29,1,727,中,10.32,44.84,55.16,4.81,0.0,49.52,0.7857,-0.5359,1.101,-0.0197
2026-06-02 12:00,0.26,波动状态,高波动扩张,85.29,3,726,弱,6.89,46.56,53.44,12.67,4.41,43.25,1.5091,-0.6564,1.0315,-0.0794
2026-06-02 12:00,0.26,波动状态,高波动扩张,85.29,5,725,中,11.45,44.28,55.72,17.24,16.41,37.66,1.6891,-1.3685,0.9852,-0.1393
2026-06-02 12:00,0.26,波动状态,高波动扩张,85.29,10,721,中强,17.61,41.19,58.81,22.47,34.95,33.98,0.5373,-3.3386,0.9066,-0.181
2026-06-02 12:00,0.26,短ATR状态,短ATR升温,100.0,1,1424,弱,1.69,49.16,50.84,5.62,0.0,51.4,1.3574,-0.1047,1.1381,0.0137
2026-06-02 12:00,0.26,短ATR状态,短ATR升温,100.0,3,1423,弱,5.97,52.99,47.01,16.51,2.39,45.68,3.0146,0.6653,1.06,-0.0455
2026-06-02 12:00,0.26,短ATR状态,短ATR升温,100.0,5,1421,弱,7.81,53.91,46.09,22.59,9.85,43.77,4.2554,0.9657,1.0322,-0.0706
2026-06-02 12:00,0.26,短ATR状态,短ATR升温,100.0,10,1416,弱,6.78,53.39,46.61,30.58,22.6,39.55,5.9577,1.3255,0.9845,-0.1038
2026-06-02 12:00,0.26,波动超额状态,振幅已超ATR,43.64,1,1318,弱,4.4,52.2,47.8,5.46,0.0,54.86,1.4987,0.1669,1.1716,0.0546
2026-06-02 12:00,0.26,波动超额状态,振幅已超ATR,43.64,3,1318,中,9.1,54.55,45.45,17.07,1.97,44.99,2.9785,0.8264,1.0495,-0.0657
2026-06-02 12:00,0.26,波动超额状态,振幅已超ATR,43.64,5,1318,中,9.86,54.93,45.07,22.23,9.18,42.19,3.9117,1.1604,1.0282,-0.0767
2026-06-02 12:00,0.26,波动超额状态,振幅已超ATR,43.64,10,1315,弱,7.83,53.92,46.08,30.8,21.75,37.49,5.7939,1.2546,0.9714,-0.1376
2026-06-02 12:00,0.26,趋势状态,趋势不明,80.87,1,743,强,26.51,36.74,63.26,1.88,0.0,34.05,-0.2502,-0.9962,0.9375,-0.1573
2026-06-02 12:00,0.26,趋势状态,趋势不明,80.87,3,743,中强,21.4,39.3,60.7,6.59,2.69,35.26,-0.5145,-1.7233,0.9649,-0.1457
2026-06-02 12:00,0.26,趋势状态,趋势不明,80.87,5,743,中强,22.48,38.76,61.24,12.65,13.73,34.99,-0.7336,-2.5458,0.9585,-0.1457
2026-06-02 12:00,0.26,趋势状态,趋势不明,80.87,10,743,中,10.36,44.82,55.18,20.86,25.84,39.43,0.7479,-1.7899,1.0248,-0.0938
2026-06-02 12:00,0.26,量能状态,量能正常,60.96,1,2309,中强,21.78,39.11,60.89,3.03,0.0,39.45,0.0939,-0.9194,0.9924,-0.1006
2026-06-02 12:00,0.26,量能状态,量能正常,60.96,3,2308,中,13.0,43.5,56.5,11.09,2.95,40.99,0.687,-1.0107,1.008,-0.0975
2026-06-02 12:00,0.26,量能状态,量能正常,60.96,5,2307,中,14.09,42.96,57.04,15.73,12.44,38.32,1.1208,-1.711,0.9872,-0.1198
2026-06-02 12:00,0.26,量能状态,量能正常,60.96,10,2303,中,8.73,45.64,54.36,24.27,27.18,37.56,1.9504,-1.6476,0.9622,-0.1331
