component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,4,样本偏少,50.0,25.0,75.0,25.0,25.0,0.0,-0.8368,-3.0626,0.5957,-0.4268,2026-05-10
波动超额状态,接近一倍ATR,3,3,样本偏少,33.33,33.33,66.67,0.0,33.33,0.0,-1.6893,-2.6285,0.5694,-0.4155,2025-11-16
波动超额状态,接近一倍ATR,5,3,样本偏少,33.33,33.33,66.67,0.0,33.33,0.0,-4.8016,-4.602,0.5515,-0.4322,2025-11-16
波动超额状态,接近一倍ATR,10,3,样本偏少,33.33,66.67,33.33,33.33,33.33,33.33,9.5228,6.308,1.561,-0.2479,2025-11-16
波动超额状态,振幅未满ATR,1,46,样本偏少,30.43,34.78,65.22,8.7,21.74,6.52,-0.6543,-2.0872,0.6982,-0.4289,2026-05-17
波动超额状态,振幅未满ATR,3,45,样本偏少,11.11,44.44,55.56,22.22,33.33,8.89,1.0379,-3.0873,0.7442,-0.4046,2026-04-26
波动超额状态,振幅未满ATR,5,44,样本偏少,27.27,36.36,63.64,34.09,43.18,6.82,1.2533,-7.8683,0.7288,-0.403,2026-04-19
波动超额状态,振幅未满ATR,10,39,样本偏少,2.56,51.28,48.72,35.9,41.03,7.69,8.3196,1.4547,0.6825,-0.4322,2026-03-15
波动超额状态,振幅已超ATR,1,4,样本偏少,100.0,100.0,0.0,75.0,0.0,25.0,22.5026,19.7392,0.9959,-0.071,2026-05-03
波动超额状态,振幅已超ATR,3,4,样本偏少,50.0,75.0,25.0,75.0,0.0,0.0,24.0586,18.3977,0.5058,-0.5023,2026-05-03
波动超额状态,振幅已超ATR,5,3,样本偏少,100.0,100.0,0.0,66.67,0.0,33.33,39.4765,26.1067,0.7869,-0.502,2025-11-09
波动超额状态,振幅已超ATR,10,3,样本偏少,100.0,100.0,0.0,66.67,0.0,0.0,21.7945,30.5244,0.5133,-0.489,2025-11-09
波动状态,波动压缩,1,4,样本偏少,50.0,25.0,75.0,0.0,25.0,0.0,-2.9465,-3.9109,0.6378,-0.3609,2025-09-14
波动状态,波动压缩,3,4,样本偏少,0.0,50.0,50.0,25.0,25.0,25.0,12.3569,-0.9406,1.3891,-0.1873,2025-09-14
波动状态,波动压缩,5,4,样本偏少,50.0,75.0,25.0,75.0,25.0,25.0,43.3759,57.6693,1.2397,-0.3467,2025-09-14
波动状态,波动压缩,10,4,样本偏少,50.0,75.0,25.0,75.0,25.0,25.0,62.024,82.8736,0.8151,-0.2348,2025-09-14
波动状态,常态波动,1,21,样本偏少,14.29,42.86,57.14,19.05,23.81,14.29,2.2519,-0.7793,0.9074,-0.3742,2026-05-17
波动状态,常态波动,3,20,样本偏少,20.0,60.0,40.0,25.0,25.0,10.0,4.024,3.7157,0.8366,-0.3706,2026-04-26
波动状态,常态波动,5,19,样本偏少,15.79,42.11,57.89,36.84,26.32,5.26,3.0393,-4.6201,0.8042,-0.3742,2026-04-12
波动状态,常态波动,10,18,样本偏少,0.0,50.0,50.0,38.89,44.44,5.56,8.5403,-1.0694,0.6274,-0.4237,2026-02-22
波动状态,低波动启动,1,8,样本偏少,0.0,50.0,50.0,37.5,25.0,12.5,7.1877,2.2917,0.8248,-0.2319,2026-05-10
波动状态,低波动启动,3,7,样本偏少,14.29,57.14,42.86,42.86,28.57,0.0,18.1794,8.2208,0.5739,-0.3742,2026-05-03
波动状态,低波动启动,5,6,样本偏少,33.33,66.67,33.33,50.0,33.33,0.0,19.3017,7.5466,0.6361,-0.3861,2025-11-02
