date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,0.95,波动状态,常态波动,77.66,1,21,样本偏少,4.76,52.38,47.62,23.81,23.81,14.29,1.3498,1.7838,0.9198,-0.3742
2026-05-17,0.95,波动状态,常态波动,77.66,3,21,样本偏少,14.29,57.14,42.86,38.1,33.33,9.52,4.9662,3.7331,0.841,-0.2899
2026-05-17,0.95,波动状态,常态波动,77.66,5,20,样本偏少,10,55,45,35,40,10,5.3681,4.8088,0.9267,-0.3617
2026-05-17,0.95,波动状态,常态波动,77.66,10,19,样本偏少,5.26,47.37,52.63,36.84,42.11,5.26,4.8585,-0.194,0.6025,-0.4322
2026-05-17,0.95,短ATR状态,短ATR降温,100,1,46,样本偏少,4.35,47.83,52.17,15.22,15.22,6.52,-0.0814,-0.8616,0.7231,-0.4101
2026-05-17,0.95,短ATR状态,短ATR降温,100,3,44,样本偏少,13.64,43.18,56.82,20.45,36.36,6.82,-0.4882,-3.5401,0.6818,-0.403
2026-05-17,0.95,短ATR状态,短ATR降温,100,5,42,样本偏少,19.05,40.48,59.52,28.57,45.24,7.14,2.2808,-7.3009,0.7306,-0.4101
2026-05-17,0.95,短ATR状态,短ATR降温,100,10,37,样本偏少,2.7,48.65,51.35,35.14,40.54,10.81,7.9232,-0.194,0.7676,-0.4319
2026-05-17,0.95,余动能状态,余动能不足,42.05,1,45,样本偏少,6.67,46.67,53.33,11.11,13.33,6.67,-0.3269,-1.3525,0.6987,-0.4319
2026-05-17,0.95,余动能状态,余动能不足,42.05,3,45,样本偏少,6.67,46.67,53.33,24.44,35.56,8.89,0.4516,-2.0274,0.7442,-0.4046
2026-05-17,0.95,余动能状态,余动能不足,42.05,5,43,样本偏少,25.58,37.21,62.79,27.91,46.51,6.98,1.7715,-8.5711,0.7301,-0.4046
2026-05-17,0.95,余动能状态,余动能不足,42.05,10,38,样本偏少,0,50,50,42.11,39.47,7.89,8.9032,0.4688,0.6828,-0.4324
2026-05-17,0.95,趋势状态,弱趋势混合,75,1,2,样本偏少,100,0,100,0,100,0,-16.9905,-16.9905,0.8977,-0.1023
2026-05-17,0.95,趋势状态,弱趋势混合,75,3,1,样本偏少,100,100,0,0,0,0,7.2464,7.2464,0.6508,-0.3492
2026-05-17,0.95,趋势状态,弱趋势混合,75,5,1,样本偏少,100,0,100,0,0,0,-9.9374,-9.9374,0.5845,-0.4155
2026-05-17,0.95,趋势状态,弱趋势混合,75,10,1,样本偏少,100,0,100,0,100,0,-15.3688,-15.3688,0.7153,-0.2847
2026-05-17,0.95,量能状态,缩量,17.33,1,32,样本偏少,12.5,43.75,56.25,15.63,9.38,6.25,-0.1222,-1.7399,0.6355,-0.4878
2026-05-17,0.95,量能状态,缩量,17.33,3,32,样本偏少,31.25,34.38,65.63,18.75,37.5,3.13,-3.0128,-5.2552,0.5662,-0.4967
2026-05-17,0.95,量能状态,缩量,17.33,5,30,样本偏少,40,30,70,20,56.67,6.67,-4.0027,-10.9444,0.689,-0.4324
2026-05-17,0.95,量能状态,缩量,17.33,10,26,样本偏少,23.08,38.46,61.54,26.92,46.15,7.69,-5.6686,-7.5708,0.6557,-0.4374
