component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1247,强,30.07,34.96,65.04,2.89,0,33.36,-0.2515,-1.3541,0.9419,-0.1852,2026-05-25 08:00
波动状态,波动压缩,3,1247,中强,19.81,40.1,59.9,12.11,4.89,39.45,0.5025,-1.8936,1.021,-0.1247,2026-05-25 08:00
波动状态,波动压缩,5,1247,弱,7.78,46.11,53.89,20.29,13.95,40.02,2.304,-1.1295,1.0461,-0.1184,2026-05-25 08:00
波动状态,波动压缩,10,1247,中,9.86,54.93,45.07,31.28,20.53,43.3,6.3359,1.717,1.0616,-0.0769,2026-05-25 08:00
波动状态,常态波动,1,1639,强,27.39,36.3,63.7,2.93,0,35.39,-0.0706,-1.0734,0.9706,-0.1556,2026-05-30 20:00
波动状态,常态波动,3,1638,中强,19.29,40.35,59.65,10.32,4.7,37.06,0.4711,-1.6,0.9903,-0.1397,2026-05-26 20:00
波动状态,常态波动,5,1638,中强,16,42,58,15.69,15.2,37.36,1.0171,-2.1536,0.9847,-0.1432,2026-05-26 20:00
波动状态,常态波动,10,1638,中,10.87,44.57,55.43,24.42,26.37,37.55,2.8612,-1.8041,0.9986,-0.1368,2026-05-26 20:00
波动状态,低波动启动,1,1643,弱,0.43,50.21,49.79,5.84,0,47.23,1.235,0.0174,1.1141,-0.0269,2026-05-27 00:00
波动状态,低波动启动,3,1643,弱,2.37,51.19,48.81,17.16,1.7,42.6,3.2356,0.2437,1.0629,-0.0828,2026-05-27 00:00
波动状态,低波动启动,5,1643,弱,5.42,52.71,47.29,23.43,9.49,41.87,4.6313,0.5572,1.0377,-0.0884,2026-05-27 00:00
波动状态,低波动启动,10,1643,中,13.57,56.79,43.21,33.84,17.95,37.67,8.1109,2.8247,1.0108,-0.1334,2026-05-27 00:00
波动状态,高波动扩张,1,1477,弱,2.51,51.25,48.75,6.57,0.68,43.67,1.1102,0.1781,1.0799,-0.0705,2026-05-30 00:00
波动状态,高波动扩张,3,1477,中,12.8,43.6,56.4,15.3,8.4,35.27,1.4549,-1.654,0.9864,-0.155,2026-05-30 00:00
波动状态,高波动扩张,5,1477,中,13.74,43.13,56.87,20.65,20.24,36.09,1.5652,-2.1018,0.9846,-0.1547,2026-05-30 00:00
波动状态,高波动扩张,10,1474,中强,17.1,41.45,58.55,24.69,37.11,30.12,0.9793,-4.2667,0.9066,-0.2079,2026-05-28 16:00
波动状态,高波动冷却,1,1760,强,47.05,26.48,73.52,1.02,0,23.13,-1.2277,-1.9131,0.8208,-0.2687,2026-05-30 16:00
波动状态,高波动冷却,3,1759,强,45.31,27.35,72.65,6.03,11.94,28.6,-2.573,-4.447,0.8725,-0.2368,2026-05-30 12:00
波动状态,高波动冷却,5,1757,强,47.18,26.41,73.59,9.85,31.42,27.89,-3.7066,-6.4253,0.8851,-0.2393,2026-05-30 04:00
波动状态,高波动冷却,10,1755,强,45.98,27.01,72.99,14.64,49.74,34.42,-5.6446,-9.9345,0.9527,-0.1733,2026-05-29 08:00
短ATR状态,短ATR降温,1,2804,强,36.66,31.67,68.33,2.25,0,29.39,-0.6249,-1.5821,0.8938,-0.2245,2026-05-30 20:00
短ATR状态,短ATR降温,3,2803,强,30.93,34.53,65.47,9.13,7.53,34.46,-0.963,-3.1424,0.9528,-0.1779,2026-05-26 00:00
短ATR状态,短ATR降温,5,2803,强,27.51,36.25,63.75,14.38,21.8,33.46,-0.8161,-3.8593,0.9518,-0.1847,2026-05-26 00:00
短ATR状态,短ATR降温,10,2803,中强,16.59,41.71,58.29,22.9,32.93,36.5,0.4454,-3.528,0.9865,-0.1493,2026-05-26 00:00
短ATR状态,短ATR升温,1,1968,弱,0.61,50.3,49.7,6.55,0.51,45.27,1.288,0.0385,1.1064,-0.0447,2026-05-30 04:00
短ATR状态,短ATR升温,3,1968,弱,6.61,46.7,53.3,16.01,5.03,39.89,2.4747,-0.6104,1.0183,-0.1078,2026-05-30 04:00
短ATR状态,短ATR升温,5,1968,弱,1.73,49.14,50.86,21.95,13.72,39.53,3.534,-0.2924,1.0174,-0.1075,2026-05-30 04:00
短ATR状态,短ATR升温,10,1964,弱,0.92,49.54,50.46,29.94,26.63,35.95,5.3025,-0.1472,0.9827,-0.1536,2026-05-28 16:00
短ATR状态,短ATR中性,1,2994,中强,19.77,40.11,59.89,3.44,0,37.04,0.099,-0.9522,0.986,-0.1431,2026-05-30 16:00
短ATR状态,短ATR中性,3,2993,中强,17.14,41.43,58.57,12.13,6.35,35.82,0.7238,-1.7877,0.9885,-0.1508,2026-05-30 12:00
短ATR状态,短ATR中性,5,2991,中强,16.62,41.69,58.31,17.99,18.36,36.98,1.0967,-2.1054,0.9902,-0.1467,2026-05-29 20:00
短ATR状态,短ATR中性,10,2990,中,13.65,43.18,56.82,24.65,32.01,36.56,1.9359,-3.0518,0.9811,-0.1482,2026-05-29 08:00
量能状态,放量,1,1325,中,14.87,57.43,42.57,9.06,0.68,54.19,2.2587,0.8095,1.2131,0.048,2026-05-28 04:00
量能状态,放量,3,1325,中,10.79,55.4,44.6,20.75,2.49,43.85,4.6396,1.2554,1.0907,-0.0597,2026-05-28 04:00
量能状态,放量,5,1325,中,10.34,55.17,44.83,25.51,10.26,39.02,5.5449,1.1573,1.0107,-0.1116,2026-05-28 04:00
量能状态,放量,10,1325,中强,15.02,57.51,42.49,35.17,20.38,35.47,7.7631,3.0227,0.9739,-0.1604,2026-05-28 04:00
量能状态,量能正常,1,2929,中,13.28,43.36,56.64,3.79,0,39.23,0.4268,-0.6006,1.0158,-0.1122,2026-05-30 00:00
量能状态,量能正常,3,2929,中,9.94,45.03,54.97,13.21,4.4,39.74,1.3469,-0.9494,1.0204,-0.1173,2026-05-30 00:00
量能状态,量能正常,5,2929,中,8.64,45.68,54.32,19.67,14.37,38.24,2.211,-1.2364,0.9996,-0.1383,2026-05-30 00:00
量能状态,量能正常,10,2927,弱,6.05,46.98,53.02,27.06,26.65,35.12,4.4027,-1.2867,0.9734,-0.1578,2026-05-28 12:00
量能状态,缩量,1,3512,强,40.32,29.84,70.16,1.82,0.03,27.25,-0.9009,-1.7481,0.8692,-0.2364,2026-05-30 20:00
量能状态,缩量,3,3510,强,38.8,30.6,69.4,7.75,9.63,30.71,-1.6397,-3.7202,0.9115,-0.2049,2026-05-30 12:00
量能状态,缩量,5,3508,强,33.81,33.1,66.9,13.08,24.89,33.78,-1.6749,-4.4597,0.9592,-0.1738,2026-05-30 04:00
量能状态,缩量,10,3505,强,26.05,36.98,63.02,20.23,38.6,37.77,-1.6324,-5.8599,0.9954,-0.1379,2026-05-29 08:00
趋势状态,强趋势上行,1,1919,中,12.77,43.62,56.38,3.8,0.42,46.48,0.2529,-0.6703,1.0873,-0.0367,2026-05-27 16:00
趋势状态,强趋势上行,3,1919,弱,0.78,49.61,50.39,14.43,3.02,45.34,1.9193,-0.1073,1.0669,-0.0471,2026-05-27 16:00
趋势状态,强趋势上行,5,1919,中,9.12,54.56,45.44,22.67,9.85,45.86,3.5317,0.9748,1.0743,-0.0463,2026-05-27 16:00
趋势状态,强趋势上行,10,1919,中,14.75,57.37,42.63,33.98,16.57,42.47,6.7291,2.8101,1.0237,-0.0872,2026-05-27 16:00
趋势状态,强趋势下行,1,2163,中强,15.3,42.35,57.65,5.13,0.09,33.06,0.6529,-0.7594,0.9556,-0.1803,2026-05-29 20:00
趋势状态,强趋势下行,3,2163,强,26.31,36.85,63.15,12.16,10.36,30.93,0.5173,-3.0088,0.9239,-0.2143,2026-05-29 20:00
趋势状态,强趋势下行,5,2163,强,29.45,35.28,64.72,16.32,25.8,30.19,0.1587,-4.4382,0.9183,-0.2173,2026-05-29 20:00
趋势状态,强趋势下行,10,2162,强,33.3,33.35,66.65,18.69,43.39,29.65,-1.0965,-7.7256,0.911,-0.2124,2026-05-29 08:00
趋势状态,趋势不明,1,1572,强,31.42,34.29,65.71,2.54,0,31.36,-0.3776,-1.3784,0.9274,-0.1915,2026-05-30 20:00
趋势状态,趋势不明,3,1571,强,30.49,34.75,65.25,9.93,6.17,34.69,-0.4282,-2.9112,0.9706,-0.1733,2026-05-30 12:00
趋势状态,趋势不明,5,1569,中强,22.5,38.75,61.25,16.25,20.71,35.12,0.3499,-3.2548,0.9948,-0.1513,2026-05-30 04:00
趋势状态,趋势不明,10,1567,中,9.76,45.12,54.88,24.44,30.76,36.12,1.9176,-2.4365,0.9987,-0.1527,2026-05-28 00:00
趋势状态,弱趋势混合,1,438,强,38.36,30.82,69.18,1.6,0,29.68,-0.914,-1.8601,0.8781,-0.2452,2026-05-23 12:00
趋势状态,弱趋势混合,3,438,强,35.16,32.42,67.58,7.76,8.68,30.82,-1.7394,-3.4718,0.921,-0.1794,2026-05-23 12:00
趋势状态,弱趋势混合,5,438,强,34.7,32.65,67.35,12.56,23.97,31.51,-2.2477,-4.1472,0.923,-0.1788,2026-05-23 12:00
趋势状态,弱趋势混合,10,438,强,37.9,31.05,68.95,17.12,39.73,29.91,-3.9995,-7.2004,0.9318,-0.2013,2026-05-23 12:00
趋势状态,弱趋势上行,1,796,中强,17.09,41.46,58.54,4.52,0,40.33,0.4358,-0.8351,1.0423,-0.1016,2026-05-30 16:00
趋势状态,弱趋势上行,3,795,中,8.68,45.66,54.34,12.7,3.14,39.87,1.4624,-0.7493,1.0276,-0.0997,2026-05-27 20:00
趋势状态,弱趋势上行,5,795,中,9.43,45.28,54.72,17.99,10.69,37.99,1.8472,-1.0151,0.9869,-0.1383,2026-05-27 20:00
趋势状态,弱趋势上行,10,795,弱,3.4,51.7,48.3,31.45,21.64,43.02,4.6838,0.8416,1.061,-0.0647,2026-05-27 20:00
趋势状态,弱趋势下行,1,878,强,26.65,36.67,63.33,3.19,0,31.09,-0.1958,-1.1733,0.9224,-0.1859,2026-05-29 16:00
趋势状态,弱趋势下行,3,878,强,25.51,37.24,62.76,11.73,6.61,32.69,-0.2196,-2.5086,0.9595,-0.1819,2026-05-29 16:00
趋势状态,弱趋势下行,5,878,强,29.61,35.19,64.81,15.03,19.13,33.94,-0.2346,-3.7104,0.9504,-0.185,2026-05-29 16:00
趋势状态,弱趋势下行,10,876,中强,18.49,40.75,59.25,23.17,36.42,37.33,2.2053,-4.2952,1.0022,-0.1379,2026-05-28 04:00
余动能状态,动能已超ATR,1,1783,中,13.4,56.7,43.3,7.74,0.56,50.7,1.8327,0.6991,1.159,0.0046,2026-05-30 00:00
余动能状态,动能已超ATR,3,1783,弱,1.96,50.98,49.02,17.84,4.32,39.93,3.1652,0.2285,1.0344,-0.1083,2026-05-30 00:00
余动能状态,动能已超ATR,5,1783,弱,1.51,50.76,49.24,23.05,12.68,39.99,4.1678,0.1784,1.029,-0.1037,2026-05-30 00:00
余动能状态,动能已超ATR,10,1781,弱,1.63,50.81,49.19,29.76,24.87,34.48,5.418,0.3224,0.9671,-0.168,2026-05-28 16:00
余动能状态,接近正常动能,1,2532,中强,18.64,40.68,59.32,3.79,0,37.76,0.2158,-0.8308,1.005,-0.1375,2026-05-30 20:00
余动能状态,接近正常动能,3,2531,中,14.82,42.59,57.41,12.64,5.25,37.69,0.9526,-1.4886,0.9984,-0.1365,2026-05-30 04:00
余动能状态,接近正常动能,5,2531,中,13.16,43.42,56.58,19.04,16.48,38.05,1.4146,-1.7906,0.9905,-0.1375,2026-05-30 04:00
余动能状态,接近正常动能,10,2529,弱,7.87,46.07,53.93,27.16,29.26,34.6,3.2336,-1.707,0.9635,-0.1617,2026-05-29 08:00
余动能状态,余动能不足,1,3451,强,39.84,30.08,69.92,1.77,0,27.93,-0.7927,-1.6609,0.8764,-0.2298,2026-05-30 16:00
余动能状态,余动能不足,3,3450,强,33.91,33.04,66.96,8.58,8.41,33.54,-1.0775,-3.1963,0.9455,-0.18,2026-05-30 12:00
余动能状态,余动能不足,5,3448,强,28.89,35.56,64.44,13.92,22.82,33.24,-0.8886,-3.9649,0.9542,-0.1847,2026-05-29 20:00
余动能状态,余动能不足,10,3447,中强,20.92,39.54,60.46,21.76,35.39,38.67,-0.1091,-4.6523,1.0065,-0.1302,2026-05-29 04:00
