date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 12:00,0.89,波动状态,高波动扩张,70.78,1,1586,中强,19.67,40.16,59.84,6.43,0.0,43.38,0.719,-1.0017,1.07,-0.0765
2026-06-02 12:00,0.89,波动状态,高波动扩张,70.78,3,1585,中强,16.97,41.51,58.49,15.96,7.63,36.4,1.2249,-1.9437,0.9988,-0.153
2026-06-02 12:00,0.89,波动状态,高波动扩张,70.78,5,1585,中强,21.89,39.05,60.95,21.32,23.79,33.38,1.3923,-3.4683,0.9561,-0.1712
2026-06-02 12:00,0.89,波动状态,高波动扩张,70.78,10,1582,强,29.33,35.34,64.66,22.63,43.17,28.45,0.1351,-7.0106,0.8996,-0.2283
2026-06-02 12:00,0.89,短ATR状态,短ATR升温,90.54,1,2956,中,11.3,44.35,55.65,7.27,0.0,47.26,1.4749,-0.4903,1.1347,-0.0299
2026-06-02 12:00,0.89,短ATR状态,短ATR升温,90.54,3,2955,弱,2.13,48.93,51.07,18.21,4.5,41.32,3.1291,-0.1826,1.047,-0.0888
2026-06-02 12:00,0.89,短ATR状态,短ATR升温,90.54,5,2953,弱,0.98,49.51,50.49,25.13,13.68,39.65,4.5339,-0.1141,1.027,-0.1038
2026-06-02 12:00,0.89,短ATR状态,短ATR升温,90.54,10,2952,弱,1.69,49.15,50.85,31.33,28.42,34.86,6.4226,-0.3446,0.9728,-0.1679
2026-06-02 12:00,0.89,波动超额状态,振幅已超ATR,83.22,1,2706,弱,3.03,48.48,51.52,7.65,0.0,51.18,1.7709,-0.1434,1.1818,0.0107
2026-06-02 12:00,0.89,波动超额状态,振幅已超ATR,83.22,3,2706,弱,1.55,50.78,49.22,19.44,3.1,42.02,3.7369,0.1808,1.071,-0.083
2026-06-02 12:00,0.89,波动超额状态,振幅已超ATR,83.22,5,2706,弱,2.81,51.4,48.6,26.39,12.6,40.02,5.305,0.4614,1.0443,-0.0996
2026-06-02 12:00,0.89,波动超额状态,振幅已超ATR,83.22,10,2704,弱,1.04,50.52,49.48,32.47,26.74,33.91,7.0158,0.2787,0.9678,-0.1729
2026-06-02 12:00,0.89,趋势状态,强趋势下行,100.0,1,3557,强,38.32,30.84,69.16,4.98,0.0,32.13,0.0431,-1.8301,0.9489,-0.1891
2026-06-02 12:00,0.89,趋势状态,强趋势下行,100.0,3,3555,强,34.63,32.69,67.31,11.53,10.83,30.8,-0.1015,-3.7525,0.9255,-0.2084
2026-06-02 12:00,0.89,趋势状态,强趋势下行,100.0,5,3555,强,34.68,32.66,67.34,15.86,28.35,30.04,-0.3974,-5.2297,0.9177,-0.2134
2026-06-02 12:00,0.89,趋势状态,强趋势下行,100.0,10,3552,强,37.39,31.31,68.69,18.3,46.17,29.79,-1.4897,-8.546,0.9102,-0.2112
2026-06-02 12:00,0.89,量能状态,放量,100.0,1,1946,弱,4.11,52.06,47.94,8.38,0.0,55.19,2.288,0.2504,1.2402,0.063
2026-06-02 12:00,0.89,量能状态,放量,100.0,3,1946,中,13.16,56.58,43.42,23.43,2.31,47.28,5.476,1.5695,1.1386,-0.0304
2026-06-02 12:00,0.89,量能状态,放量,100.0,5,1946,中强,15.52,57.76,42.24,30.37,10.74,40.8,7.181,2.3089,1.043,-0.0909
2026-06-02 12:00,0.89,量能状态,放量,100.0,10,1944,中强,15.84,57.92,42.08,37.76,21.66,35.13,9.9559,3.4596,0.9781,-0.1616
