component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,211,中强,24.17,37.91,62.09,2.37,0,27.49,-0.5612,-0.9942,0.8756,-0.212,2026-05-28
波动状态,波动压缩,3,210,强,26.67,36.67,63.33,10.48,8.57,34.29,-0.843,-2.573,0.9691,-0.1725,2026-05-26
波动状态,波动压缩,5,208,中强,23.08,38.46,61.54,16.35,25,35.58,-0.8549,-3.1221,1.0094,-0.1308,2026-05-24
波动状态,波动压缩,10,205,中,12.2,43.9,56.1,27.8,29.76,41.46,2.0102,-2.0417,1.0761,-0.0975,2026-05-19
波动状态,常态波动,1,218,中,8.26,45.87,54.13,5.96,0,31.65,0.2513,-0.4621,0.9439,-0.1869,2026-03-08
波动状态,常态波动,3,218,中,11.93,44.04,55.96,16.97,13.76,31.19,0.3445,-1.9694,0.9309,-0.1779,2026-03-08
波动状态,常态波动,5,218,弱,6.42,46.79,53.21,20.64,22.02,30.73,0.3626,-0.6503,0.9176,-0.2042,2026-03-08
波动状态,常态波动,10,218,中,13.76,43.12,56.88,23.85,28.9,27.06,0.0235,-2.5362,0.8831,-0.2163,2026-03-08
波动状态,低波动启动,1,292,中强,15.07,57.53,42.47,13.01,4.45,51.03,2.1763,1.9245,1.2152,0.0037,2026-05-27
波动状态,低波动启动,3,291,中,11.34,55.67,44.33,24.74,6.19,47.08,4.7124,1.896,1.166,-0.0414,2026-05-23
波动状态,低波动启动,5,291,中强,16.15,58.08,41.92,32.99,9.62,46.05,7.2785,3.0775,1.1584,-0.0768,2026-05-23
波动状态,低波动启动,10,289,强,34.26,67.13,32.87,46.02,13.84,43.6,12.6167,7.4087,1.1356,-0.0847,2026-05-17
波动状态,高波动扩张,1,127,弱,5.51,47.24,52.76,17.32,22.83,40.16,-0.1944,-1.2952,1.0706,-0.1241,2026-02-05
波动状态,高波动扩张,3,127,中强,18.11,40.94,59.06,18.11,26.77,27.56,0.1604,-2.1291,0.9695,-0.198,2026-02-05
波动状态,高波动扩张,5,127,中强,21.26,39.37,60.63,19.69,30.71,25.98,-0.2597,-3.0199,0.8912,-0.2322,2026-02-05
波动状态,高波动扩张,10,127,强,29.13,35.43,64.57,19.69,41.73,22.83,-2.2305,-7.0515,0.8282,-0.2726,2026-02-05
波动状态,高波动冷却,1,180,强,34.44,32.78,67.22,1.11,1.11,15,-1.4095,-1.95,0.737,-0.3544,2026-02-07
波动状态,高波动冷却,3,180,强,46.67,26.67,73.33,9.44,26.11,22.22,-3.0302,-4.9249,0.7917,-0.3028,2026-02-07
波动状态,高波动冷却,5,180,强,44.44,27.78,72.22,13.89,43.33,24.44,-4.4297,-8.0438,0.8323,-0.2936,2026-02-07
波动状态,高波动冷却,10,180,强,38.89,30.56,69.44,12.22,53.89,28.33,-7.9332,-12.3602,0.8868,-0.2366,2026-02-07
短ATR状态,短ATR降温,1,468,强,26.07,36.97,63.03,3.63,0.85,24.36,-0.8055,-1.48,0.8442,-0.2765,2026-05-28
短ATR状态,短ATR降温,3,467,强,36.19,31.91,68.09,11.13,18.63,28.69,-2.1067,-4.0314,0.8846,-0.2458,2026-05-26
短ATR状态,短ATR降温,5,465,强,26.02,36.99,63.01,15.91,33.33,32.47,-2.3416,-4.4449,0.9367,-0.2053,2026-05-24
短ATR状态,短ATR降温,10,462,强,25.97,37.01,62.99,22.29,38.53,32.9,-2.0607,-4.6794,0.9455,-0.2053,2026-05-05
短ATR状态,短ATR升温,1,236,弱,5.08,52.54,47.46,15.25,10.59,53.39,1.7958,1.2799,1.2948,0.0293,2026-05-15
短ATR状态,短ATR升温,3,236,中强,19.49,59.75,40.25,30.08,10.59,46.19,5.6589,2.7231,1.213,-0.0524,2026-05-15
短ATR状态,短ATR升温,5,236,强,28.81,64.41,35.59,36.44,11.44,42.37,8.7512,4.9482,1.1735,-0.08,2026-05-15
短ATR状态,短ATR升温,10,236,强,34.75,67.37,32.63,44.92,17.37,37.29,13.2414,7.3859,1.06,-0.1109,2026-05-15
短ATR状态,短ATR中性,1,324,弱,4.94,52.47,47.53,8.33,4.63,35.19,0.7611,0.3203,0.967,-0.1427,2026-05-27
短ATR状态,短ATR中性,3,323,中,10.22,44.89,55.11,14.86,10.84,33.75,1.2156,-1.3369,0.966,-0.1632,2026-05-23
短ATR状态,短ATR中性,5,323,中强,21.36,39.32,60.68,20.12,19.5,31.27,0.658,-3.0641,0.9214,-0.2035,2026-05-23
短ATR状态,短ATR中性,10,321,弱,7.79,46.11,53.89,24.92,29.6,34.27,0.5584,-2.502,0.9941,-0.1703,2026-05-19
量能状态,放量,1,181,弱,3.87,48.07,51.93,13.26,15.47,64.64,0.5056,-0.4021,1.4155,0.2046,2026-05-07
