date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0,波动状态,波动压缩,78.94,1,211,中强,24.17,37.91,62.09,2.37,0,27.49,-0.5612,-0.9942,0.8756,-0.212
2026-05-29,0,波动状态,波动压缩,78.94,3,210,强,26.67,36.67,63.33,10.48,8.57,34.29,-0.843,-2.573,0.9691,-0.1725
2026-05-29,0,波动状态,波动压缩,78.94,5,208,中强,23.08,38.46,61.54,16.35,25,35.58,-0.8549,-3.1221,1.0094,-0.1308
2026-05-29,0,波动状态,波动压缩,78.94,10,205,中,12.2,43.9,56.1,27.8,29.76,41.46,2.0102,-2.0417,1.0761,-0.0975
2026-05-29,0,短ATR状态,短ATR降温,100,1,468,强,26.07,36.97,63.03,3.63,0.85,24.36,-0.8055,-1.48,0.8442,-0.2765
2026-05-29,0,短ATR状态,短ATR降温,100,3,467,强,36.19,31.91,68.09,11.13,18.63,28.69,-2.1067,-4.0314,0.8846,-0.2458
2026-05-29,0,短ATR状态,短ATR降温,100,5,465,强,26.02,36.99,63.01,15.91,33.33,32.47,-2.3416,-4.4449,0.9367,-0.2053
2026-05-29,0,短ATR状态,短ATR降温,100,10,462,强,25.97,37.01,62.99,22.29,38.53,32.9,-2.0607,-4.6794,0.9455,-0.2053
2026-05-29,0,余动能状态,余动能不足,46.16,1,483,强,26.71,36.65,63.35,2.28,0.41,22.15,-0.85,-1.34,0.8201,-0.2858
2026-05-29,0,余动能状态,余动能不足,46.16,3,482,强,36.51,31.74,68.26,10.58,16.6,28.01,-1.7915,-3.7508,0.8854,-0.2465
2026-05-29,0,余动能状态,余动能不足,46.16,5,480,强,29.17,35.42,64.58,15.63,32.5,30.42,-2.1603,-4.8557,0.9195,-0.2102
2026-05-29,0,余动能状态,余动能不足,46.16,10,477,强,26.21,36.9,63.1,20.13,39.62,32.49,-2.5505,-5.0241,0.9552,-0.2053
2026-05-29,0,趋势状态,强趋势下行,100,1,492,中强,15.45,42.28,57.72,7.11,1.83,21.75,0.0434,-1.0408,0.7982,-0.3119
2026-05-29,0,趋势状态,强趋势下行,100,3,490,强,37.96,31.02,68.98,11.63,19.39,22.24,-1.7684,-4.4178,0.8219,-0.2956
2026-05-29,0,趋势状态,强趋势下行,100,5,488,强,34.43,32.79,67.21,13.93,37.5,24.18,-3.5068,-6.0757,0.845,-0.2854
2026-05-29,0,趋势状态,强趋势下行,100,10,483,强,42.03,28.99,71.01,16.36,48.24,30.64,-6.0898,-9.6014,0.9082,-0.2406
2026-05-29,0,量能状态,缩量,38.62,1,552,中强,16.3,41.85,58.15,5.07,0.91,21.56,-0.1358,-0.9073,0.8273,-0.2691
2026-05-29,0,量能状态,缩量,38.62,3,550,强,27.27,36.36,63.64,12.55,15.82,26.55,-1.0993,-3.4287,0.8795,-0.2307
2026-05-29,0,量能状态,缩量,38.62,5,548,强,25.91,37.04,62.96,16.42,29.2,29.93,-1.7206,-4.0684,0.9164,-0.2102
2026-05-29,0,量能状态,缩量,38.62,10,543,中强,23.39,38.31,61.69,20.26,37.38,32.04,-2.8425,-4.8807,0.9434,-0.2108
