component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,2295,中强,24.71,37.65,62.35,3.49,0.0,36.47,0.1171,-1.1289,0.9958,-0.1424,2026-06-02 04:00
波动超额状态,接近一倍ATR,3,2294,中强,15.26,42.37,57.63,12.16,5.36,36.79,0.674,-1.4666,1.0023,-0.1371,2026-06-01 12:00
波动超额状态,接近一倍ATR,5,2294,中,13.69,43.16,56.84,17.65,15.87,36.05,1.3151,-1.6172,0.9921,-0.1424,2026-06-01 12:00
波动超额状态,接近一倍ATR,10,2292,中,9.69,45.16,54.84,27.49,28.88,35.25,3.0979,-2.0705,0.9861,-0.1638,2026-05-31 20:00
波动超额状态,振幅未满ATR,1,3335,强,43.39,28.31,71.69,2.73,0.06,26.81,-0.7935,-1.9457,0.8625,-0.2475,2026-06-02 08:00
波动超额状态,振幅未满ATR,3,3334,强,36.95,31.52,68.48,9.0,9.24,31.61,-1.2635,-3.5848,0.9361,-0.2063,2026-06-01 20:00
波动超额状态,振幅未满ATR,5,3333,强,30.45,34.77,65.23,13.62,25.2,33.45,-1.2115,-4.3982,0.959,-0.1857,2026-05-31 16:00
波动超额状态,振幅未满ATR,10,3333,强,25.17,37.41,62.59,20.79,37.65,36.51,-0.5892,-5.4365,0.9916,-0.1493,2026-05-31 16:00
波动超额状态,振幅已超ATR,1,1723,弱,2.38,51.19,48.81,8.3,0.17,52.29,1.975,0.1573,1.2115,0.037,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,1723,弱,7.25,53.63,46.37,20.66,3.83,42.48,3.7862,0.864,1.0596,-0.084,2026-06-02 00:00
波动超额状态,振幅已超ATR,5,1722,弱,6.74,53.37,46.63,27.0,12.66,39.84,4.6904,0.9272,1.0288,-0.1028,2026-06-01 16:00
波动超额状态,振幅已超ATR,10,1719,弱,2.27,51.13,48.87,33.04,25.42,34.96,6.0272,0.4882,0.9738,-0.1644,2026-05-31 04:00
波动状态,波动压缩,1,1712,强,41.0,29.5,70.5,3.04,0.0,28.5,-0.5482,-1.6915,0.8935,-0.2326,2026-06-02 08:00
波动状态,波动压缩,3,1711,强,29.05,35.48,64.52,10.99,6.2,34.19,-0.184,-2.8709,0.9826,-0.1832,2026-06-01 20:00
波动状态,波动压缩,5,1710,中强,20.35,39.82,60.18,17.43,19.3,37.08,0.5781,-2.8207,1.0026,-0.1607,2026-05-31 16:00
波动状态,波动压缩,10,1710,弱,6.43,46.78,53.22,27.49,28.89,40.35,3.5127,-1.3417,1.0421,-0.1183,2026-05-31 16:00
波动状态,常态波动,1,1437,强,33.05,33.47,66.53,3.06,0.0,32.22,-0.2955,-1.4781,0.9328,-0.1848,2026-05-14 04:00
波动状态,常态波动,3,1437,中强,23.45,38.27,61.73,9.46,5.22,35.56,-0.445,-2.0891,0.9764,-0.139,2026-05-14 04:00
波动状态,常态波动,5,1437,中强,18.72,40.64,59.36,15.52,17.54,37.02,0.4443,-2.3123,0.9958,-0.1363,2026-05-14 04:00
波动状态,常态波动,10,1437,中强,16.08,41.96,58.04,24.36,30.62,34.59,1.7816,-3.2174,0.9841,-0.1654,2026-05-14 04:00
波动状态,低波动启动,1,1973,弱,5.12,47.44,52.56,6.13,0.0,47.03,1.3767,-0.2187,1.1365,-0.0324,2026-06-02 04:00
波动状态,低波动启动,3,1972,弱,4.46,52.23,47.77,18.31,2.79,42.29,3.2315,0.3885,1.0634,-0.0829,2026-06-02 00:00
波动状态,低波动启动,5,1971,弱,4.41,52.21,47.79,25.27,10.71,39.88,4.4986,0.6046,1.0382,-0.1061,2026-06-01 16:00
波动状态,低波动启动,10,1966,中,9.66,54.83,45.17,34.79,21.62,37.84,7.5587,1.9255,1.0061,-0.1263,2026-05-31 20:00
波动状态,高波动扩张,1,1036,中,11.39,44.31,55.69,6.47,0.29,45.27,1.0345,-0.7813,1.1116,-0.0485,2026-02-07 04:00
波动状态,高波动扩张,3,1036,中,12.16,43.92,56.08,16.02,7.43,36.49,1.8018,-1.3323,0.9982,-0.1537,2026-02-07 04:00
波动状态,高波动扩张,5,1036,中,12.36,43.82,56.18,19.88,20.37,34.94,1.8688,-1.8752,0.9739,-0.1513,2026-02-07 04:00
波动状态,高波动扩张,10,1036,中强,24.71,37.64,62.36,23.84,36.49,30.79,0.4597,-4.9687,0.9382,-0.207,2026-02-07 04:00
波动状态,高波动冷却,1,1195,强,48.28,25.86,74.14,2.51,0.17,23.77,-1.1709,-2.3969,0.8242,-0.274,2026-03-03 00:00
波动状态,高波动冷却,3,1195,强,48.95,25.52,74.48,7.03,15.4,26.95,-2.8682,-4.8833,0.8624,-0.2532,2026-03-03 00:00
波动状态,高波动冷却,5,1195,强,46.44,26.78,73.22,8.28,34.98,26.28,-4.4972,-6.8371,0.8728,-0.2476,2026-03-03 00:00
波动状态,高波动冷却,10,1195,强,51.46,24.27,75.73,11.72,51.63,31.46,-7.0343,-10.3646,0.9146,-0.2093,2026-03-03 00:00
短ATR状态,短ATR降温,1,2855,强,40.53,29.74,70.26,2.73,0.04,27.74,-0.6796,-1.8148,0.8821,-0.235,2026-05-30 20:00
短ATR状态,短ATR降温,3,2855,强,32.61,33.7,66.3,9.77,8.37,32.71,-0.8042,-3.144,0.9527,-0.1851,2026-05-30 20:00
短ATR状态,短ATR降温,5,2855,强,26.51,36.74,63.26,14.43,22.91,34.71,-0.3701,-3.6685,0.9718,-0.1694,2026-05-30 20:00
短ATR状态,短ATR降温,10,2855,中强,16.01,42.0,58.0,23.61,32.57,36.99,1.565,-3.6917,1.0019,-0.141,2026-05-30 20:00
短ATR状态,短ATR升温,1,1878,弱,1.81,49.09,50.91,7.03,0.21,48.67,1.4821,-0.1201,1.1579,-0.0135,2026-06-02 04:00
短ATR状态,短ATR升温,3,1877,弱,5.17,52.58,47.42,19.66,3.62,42.62,3.3048,0.4831,1.0605,-0.078,2026-06-02 00:00
短ATR状态,短ATR升温,5,1875,弱,4.21,52.11,47.89,26.08,13.01,40.11,4.305,0.6753,1.0262,-0.1036,2026-06-01 16:00
短ATR状态,短ATR升温,10,1870,弱,1.6,49.2,50.8,31.82,27.06,35.24,4.957,-0.3124,0.9791,-0.1701,2026-05-31 12:00
