date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 08:00,0.0,波动状态,低波动启动,83.51,1,1044,弱,5.56,47.22,52.78,7.18,0.0,48.66,1.3367,-0.2835,1.1345,-0.0155
2026-06-02 08:00,0.0,波动状态,低波动启动,83.51,3,1042,弱,3.84,51.92,48.08,19.39,3.65,43.67,3.381,0.4847,1.0998,-0.0758
2026-06-02 08:00,0.0,波动状态,低波动启动,83.51,5,1040,弱,6.92,53.46,46.54,27.12,12.79,40.1,5.0422,1.6256,1.0527,-0.113
2026-06-02 08:00,0.0,波动状态,低波动启动,83.51,10,1037,中,14.75,57.38,42.62,38.28,21.79,40.89,8.8432,3.7185,1.0357,-0.1109
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,1,869,弱,2.88,51.44,48.56,8.98,0.12,49.71,1.6356,0.0786,1.1779,-0.0036
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,3,869,中,8.63,54.32,45.68,21.75,6.33,42.35,3.5777,1.0704,1.0754,-0.0908
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,5,869,中,10.24,55.12,44.88,27.62,15.19,37.63,4.6424,1.9993,1.0261,-0.1292
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,10,869,弱,2.88,51.44,48.56,35.9,26.47,34.64,6.4676,0.9589,0.9799,-0.1716
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,80.83,1,811,弱,6.78,53.39,46.61,10.48,0.12,54.5,2.2208,0.1825,1.236,0.0513
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,80.83,3,811,中,11.96,55.98,44.02,24.04,3.82,44.88,4.3787,1.6578,1.118,-0.0672
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,80.83,5,810,中,10.37,55.19,44.81,29.14,13.7,37.28,5.2014,2.0922,1.0131,-0.1252
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,80.83,10,809,弱,7.05,53.52,46.48,38.07,23.98,39.06,8.1135,1.9843,1.0108,-0.1425
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,1,1425,强,38.53,30.74,69.26,4.49,0.07,29.54,-0.4477,-2.1539,0.8999,-0.2084
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,3,1425,强,38.67,30.67,69.33,10.11,13.68,30.32,-1.3219,-4.0468,0.904,-0.2039
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,5,1425,强,40.35,29.82,70.18,14.11,31.37,30.11,-1.9928,-5.6818,0.9055,-0.209
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,10,1424,强,34.97,32.51,67.49,18.82,45.86,32.44,-3.4934,-8.3545,0.9283,-0.1808
2026-06-02 08:00,0.0,量能状态,放量,8.76,1,623,中,8.83,54.41,45.59,11.4,0.0,56.82,2.4602,0.3718,1.2975,0.0881
2026-06-02 08:00,0.0,量能状态,放量,8.76,3,623,中强,20.06,60.03,39.97,27.45,2.57,46.87,5.4521,2.6073,1.1311,-0.0519
2026-06-02 08:00,0.0,量能状态,放量,8.76,5,622,中强,20.26,60.13,39.87,33.12,11.74,39.39,6.7971,4.0328,1.0412,-0.1153
2026-06-02 08:00,0.0,量能状态,放量,8.76,10,621,中,13.37,56.68,43.32,40.26,21.74,38.49,9.8333,3.5156,1.0295,-0.1385
