component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,352,强,38.07,30.97,69.03,2.84,0,23.86,-1.0064,-1.7023,0.8334,-0.2661,2026-05-26
波动状态,波动压缩,3,352,强,28.41,35.8,64.2,11.93,13.35,33.52,-0.6898,-3.1496,0.9219,-0.1777,2026-05-26
波动状态,波动压缩,5,351,强,27.07,36.47,63.53,17.09,25.07,34.19,-1.0904,-4.6265,0.9429,-0.1676,2026-05-21
波动状态,波动压缩,10,349,中强,19.2,40.4,59.6,26.07,34.38,38.4,0.4816,-3.6913,1,-0.1305,2026-05-19
波动状态,常态波动,1,298,中,8.72,45.64,54.36,4.03,0.34,26.17,-0.4108,-0.6692,0.8654,-0.2281,2026-05-28
波动状态,常态波动,3,297,中强,23.91,38.05,61.95,13.13,13.8,24.92,-0.2959,-2.3936,0.8492,-0.2442,2026-05-25
波动状态,常态波动,5,296,中强,23.65,38.18,61.82,16.89,25.34,28.72,-0.9678,-2.7367,0.8786,-0.2353,2026-05-23
波动状态,常态波动,10,295,强,30.85,34.58,65.42,16.61,40,30.85,-3.771,-6.392,0.8714,-0.1926,2026-05-17
波动状态,低波动启动,1,512,中,12.89,56.45,43.55,10.74,1.95,52.93,1.8776,1.3213,1.146,0.0275,2026-05-27
波动状态,低波动启动,3,511,中,9.98,54.99,45.01,24.85,6.26,47.16,3.6184,0.9996,1.1072,-0.0362,2026-05-24
波动状态,低波动启动,5,511,中强,18.2,59.1,40.9,30.53,10.76,44.62,5.9817,2.7186,1.0784,-0.062,2026-05-24
波动状态,低波动启动,10,509,中强,23.77,61.89,38.11,44.4,15.72,39.88,10.3742,7.3903,1.0382,-0.1314,2026-05-14
波动状态,高波动扩张,1,123,弱,2.44,48.78,51.22,20.33,15.45,38.21,0.4905,-0.7754,1.0314,-0.1219,2026-02-05
波动状态,高波动扩张,3,123,中,12.2,43.9,56.1,19.51,25.2,30.89,-0.1161,-2.1116,0.9081,-0.2033,2026-02-05
波动状态,高波动扩张,5,123,强,31.71,34.15,65.85,21.14,35.77,31.71,-0.7561,-5.5832,0.8526,-0.2404,2026-02-05
波动状态,高波动扩张,10,123,强,43.09,28.46,71.54,20.33,49.59,26.83,-4.9747,-9.9604,0.8239,-0.2551,2026-02-05
波动状态,高波动冷却,1,193,强,36.79,31.61,68.39,1.04,2.07,16.06,-1.8429,-2.198,0.6987,-0.3617,2026-02-23
波动状态,高波动冷却,3,193,强,61.66,19.17,80.83,7.25,27.46,19.69,-5.0454,-7.1912,0.737,-0.35,2026-02-23
波动状态,高波动冷却,5,193,强,63.73,18.13,81.87,10.36,49.74,18.65,-7.3405,-9.8537,0.7651,-0.3018,2026-02-23
波动状态,高波动冷却,10,193,强,57.51,21.24,78.76,15.03,60.62,24.35,-10.1191,-15.3419,0.8092,-0.2918,2026-02-23
短ATR状态,短ATR降温,1,749,中强,24.17,37.92,62.08,3.34,0.67,25.37,-0.8172,-1.2859,0.8372,-0.2716,2026-05-26
短ATR状态,短ATR降温,3,749,强,33.24,33.38,66.62,12.95,16.29,29.64,-1.3668,-3.7482,0.8842,-0.2294,2026-05-26
短ATR状态,短ATR降温,5,748,强,30.75,34.63,65.37,17.25,30.48,31.82,-1.8113,-5.0756,0.9229,-0.2046,2026-05-21
短ATR状态,短ATR降温,10,747,中强,24.77,37.62,62.38,24.36,38.29,34.4,-1.3222,-5.6489,0.9446,-0.1727,2026-05-04
短ATR状态,短ATR升温,1,296,中,10.81,55.41,44.59,16.89,6.08,56.42,2.2266,1.3488,1.2426,0.0951,2026-05-15
短ATR状态,短ATR升温,3,296,中强,21.62,60.81,39.19,28.72,8.11,50.34,4.5603,2.2761,1.1417,0.005,2026-05-15
短ATR状态,短ATR升温,5,296,中强,20.27,60.14,39.86,33.11,12.5,45.95,6.2999,3.8628,1.0956,-0.0691,2026-05-15
短ATR状态,短ATR升温,10,296,中强,17.57,58.78,41.22,43.92,20.61,38.51,8.9057,6.287,0.9836,-0.1473,2026-05-15
短ATR状态,短ATR中性,1,433,弱,4.39,47.81,52.19,6.7,2.54,35.57,0.3286,-0.4032,0.9347,-0.1728,2026-05-28
短ATR状态,短ATR中性,3,431,中强,16.01,42,58,14.85,13.46,32.02,0.4736,-1.6703,0.9192,-0.2022,2026-05-25
短ATR状态,短ATR中性,5,430,中,14.88,42.56,57.44,19.77,21.63,31.16,0.8555,-2.4878,0.8837,-0.203,2026-05-24
短ATR状态,短ATR中性,10,426,中强,15.96,42.02,57.98,25.35,34.98,32.16,0.2883,-3.1414,0.9279,-0.2112,2026-05-19
量能状态,放量,1,245,弱,5.31,52.65,47.35,17.14,6.12,60.41,1.6872,0.6014,1.2906,0.132,2026-05-08
量能状态,放量,3,245,中,11.84,55.92,44.08,24.9,9.8,45.71,2.9895,0.8263,1.0888,-0.0544,2026-05-08
量能状态,放量,5,245,中,12.65,56.33,43.67,27.35,13.06,47.76,4.729,2.0216,1.0708,-0.0346,2026-05-08
量能状态,放量,10,245,中,11.84,55.92,44.08,39.18,21.22,40.82,7.6507,3.2857,1.0025,-0.1254,2026-05-08
量能状态,量能正常,1,570,弱,4.21,47.89,52.11,7.19,1.75,35.79,0.6456,-0.3621,0.9492,-0.1639,2026-05-22
量能状态,量能正常,3,570,中,13.68,43.16,56.84,17.72,11.23,38.25,1.1904,-1.211,0.9849,-0.1479,2026-05-22
量能状态,量能正常,5,570,中,9.82,45.09,54.91,25.09,20.7,36.32,1.9962,-1.7155,0.9737,-0.1635,2026-05-22
量能状态,量能正常,10,569,中,10.72,44.64,55.36,29.35,31.28,34.8,2.2612,-2.2615,0.9549,-0.1806,2026-05-10
量能状态,缩量,1,663,中强,23.68,38.16,61.84,3.17,1.36,23.98,-0.893,-1.3509,0.8182,-0.2767,2026-05-28
量能状态,缩量,3,661,强,31.01,34.49,65.51,12.71,17.55,27.08,-1.3324,-4.057,0.8597,-0.2367,2026-05-26
量能状态,缩量,5,659,强,31.71,34.14,65.86,15.48,31.56,27.92,-2.1528,-5.4399,0.8759,-0.2315,2026-05-24
量能状态,缩量,10,655,强,25.8,37.1,62.9,23.97,40.61,32.06,-2.1219,-5.6639,0.9207,-0.1959,2026-05-19
趋势状态,强趋势上行,1,400,弱,1.5,49.25,50.75,9.25,4,61.5,0.6153,-0.1059,1.2298,0.1053,2026-05-14
趋势状态,强趋势上行,3,400,中强,19.5,59.75,40.25,25,6.25,55.25,3.9167,2.0533,1.1581,0.0499,2026-05-14
趋势状态,强趋势上行,5,400,强,28.5,64.25,35.75,32.75,6.25,52.25,6.9966,4.6853,1.1182,0.025,2026-05-14
趋势状态,强趋势上行,10,400,强,34,67,33,49.25,11.75,43.5,11.3562,9.4414,1.0501,-0.1005,2026-05-14
趋势状态,强趋势下行,1,817,中强,15.3,42.35,57.65,6.49,1.84,21.91,-0.0476,-0.9352,0.8001,-0.2824,2026-05-28
趋势状态,强趋势下行,3,815,强,34.72,32.64,67.36,12.88,18.28,23.68,-1.6011,-4.0225,0.8263,-0.2681,2026-05-26
趋势状态,强趋势下行,5,814,强,38.33,30.84,69.16,15.11,34.4,25.31,-2.9258,-6.468,0.8618,-0.2605,2026-05-23
趋势状态,强趋势下行,10,811,强,39.33,30.33,69.67,18.74,47.6,29.35,-4.6677,-8.7196,0.8956,-0.2351,2026-04-06
趋势状态,趋势不明,1,63,样本偏少,17.46,41.27,58.73,7.94,1.59,28.57,-0.3759,-1.7283,0.961,-0.1929,2026-05-16
趋势状态,趋势不明,3,63,样本偏少,14.29,42.86,57.14,19.05,12.7,33.33,1.931,-1.209,1.0067,-0.1676,2026-05-16
趋势状态,趋势不明,5,63,样本偏少,11.11,44.44,55.56,25.4,19.05,38.1,2.8321,-2.5053,0.9498,-0.176,2026-05-16
趋势状态,趋势不明,10,63,样本偏少,1.59,50.79,49.21,31.75,20.63,36.51,6.5945,0.1049,0.954,-0.1306,2026-05-16
趋势状态,弱趋势混合,1,153,中,12.42,43.79,56.21,3.27,1.31,35.95,-0.259,-1.0723,0.9617,-0.1386,2026-05-24
趋势状态,弱趋势混合,3,153,中强,21.57,39.22,60.78,13.07,11.11,37.91,0.5453,-2.4279,0.9798,-0.1121,2026-05-24
趋势状态,弱趋势混合,5,153,中强,16.34,41.83,58.17,21.57,20.26,37.25,1.0512,-2.5944,0.9599,-0.124,2026-05-24
趋势状态,弱趋势混合,10,151,中强,15.23,42.38,57.62,24.5,24.5,39.74,2.666,-2.2187,0.9605,-0.1271,2026-05-19
趋势状态,弱趋势上行,1,19,样本偏少,5.26,52.63,47.37,15.79,0,31.58,2.0461,0.1948,1.0699,-0.1526,2026-05-25
趋势状态,弱趋势上行,3,19,样本偏少,15.79,42.11,57.89,26.32,15.79,26.32,2.5736,-1.623,0.9482,-0.2684,2026-05-25
趋势状态,弱趋势上行,5,18,样本偏少,11.11,55.56,44.44,27.78,33.33,22.22,3.5946,0.8145,0.8731,-0.1812,2026-04-30
趋势状态,弱趋势上行,10,18,样本偏少,0,50,50,33.33,38.89,22.22,1.5889,-1.0042,0.9099,-0.1903,2026-04-30
趋势状态,弱趋势下行,1,26,样本偏少,30.77,34.62,65.38,3.85,0,26.92,0.2496,-1.3774,1.0035,-0.169,2026-04-13
