date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,0.0,波动状态,低波动启动,60.98,1,507,弱,4.54,47.73,52.27,8.88,0.0,53.45,1.5982,-0.4281,1.172,0.0326
2026-06-01,0.0,波动状态,低波动启动,60.98,3,507,中,8.09,54.04,45.96,23.67,7.1,47.93,4.1225,1.2457,1.1129,-0.028
2026-06-01,0.0,波动状态,低波动启动,60.98,5,507,中,12.43,56.21,43.79,34.52,14.79,45.96,7.04,2.9856,1.1008,-0.0379
2026-06-01,0.0,波动状态,低波动启动,60.98,10,505,强,26.34,63.17,36.83,44.95,19.01,40.4,11.9714,6.5446,1.0542,-0.1287
2026-06-01,0.0,短ATR状态,短ATR中性,98.13,1,426,中强,22.07,38.97,61.03,5.63,0.7,34.74,-0.1042,-1.6492,0.9301,-0.1749
2026-06-01,0.0,短ATR状态,短ATR中性,98.13,3,426,中强,16.9,41.55,58.45,15.02,13.85,31.69,0.7847,-1.9274,0.9284,-0.2027
2026-06-01,0.0,短ATR状态,短ATR中性,98.13,5,425,中,12.94,43.53,56.47,20.24,25.41,31.29,1.7085,-2.2681,0.8955,-0.2033
2026-06-01,0.0,短ATR状态,短ATR中性,98.13,10,421,中强,18.76,40.62,59.38,25.42,38.0,32.3,1.0058,-3.895,0.9406,-0.2063
2026-06-01,0.0,波动超额状态,振幅已超ATR,38.93,1,311,弱,0.96,50.48,49.52,10.93,0.64,56.59,1.9354,0.1747,1.2431,0.084
2026-06-01,0.0,波动超额状态,振幅已超ATR,38.93,3,311,中,11.25,55.63,44.37,27.01,8.36,45.02,4.7389,2.2576,1.0862,-0.0496
2026-06-01,0.0,波动超额状态,振幅已超ATR,38.93,5,311,中,11.9,55.95,44.05,36.01,16.72,44.05,7.3963,2.4029,1.0438,-0.1058
2026-06-01,0.0,波动超额状态,振幅已超ATR,38.93,10,310,中强,23.87,61.94,38.06,45.48,20.65,37.74,11.1953,6.5217,1.0204,-0.1603
2026-06-01,0.0,趋势状态,强趋势下行,100.0,1,821,强,37.15,31.43,68.57,5.85,0.49,21.44,-0.7851,-2.625,0.8019,-0.2846
2026-06-01,0.0,趋势状态,强趋势下行,100.0,3,819,强,41.15,29.43,70.57,10.26,21.98,23.2,-2.5348,-5.0375,0.8215,-0.2699
2026-06-01,0.0,趋势状态,强趋势下行,100.0,5,817,强,43.7,28.15,71.85,13.46,39.53,24.97,-3.8398,-7.0101,0.8577,-0.2666
2026-06-01,0.0,趋势状态,强趋势下行,100.0,10,814,强,42.75,28.62,71.38,17.57,50.25,29.12,-5.4789,-10.1128,0.8985,-0.2364
2026-06-01,0.0,量能状态,量能正常,59.12,1,571,中强,19.44,40.28,59.72,6.65,0.18,35.55,0.2722,-1.3576,0.956,-0.1676
2026-06-01,0.0,量能状态,量能正常,59.12,3,570,中,11.58,44.21,55.79,18.07,14.56,38.07,1.2171,-1.4076,0.9825,-0.1473
2026-06-01,0.0,量能状态,量能正常,59.12,5,570,中,10.88,44.56,55.44,24.74,25.96,36.14,1.7495,-1.8186,0.973,-0.1596
2026-06-01,0.0,量能状态,量能正常,59.12,10,570,中,10.53,44.74,55.26,28.95,35.26,34.74,2.114,-2.9008,0.9529,-0.1791
