date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,0,波动状态,常态波动,67.69,1,2,样本偏少,0,50,50,50,0,0,1.9736,1.9736,0.3331,-0.6669
2026-05-17,0,波动状态,常态波动,67.69,3,1,样本偏少,100,0,100,0,100,0,-25.5984,-25.5984,0.6549,-0.3451
2026-05-17,0,波动状态,常态波动,67.69,5,0,,,,,,,,,,,
2026-05-17,0,波动状态,常态波动,67.69,10,0,,,,,,,,,,,
2026-05-17,0,短ATR状态,短ATR降温,100,1,9,样本偏少,11.11,44.44,55.56,22.22,22.22,11.11,-3.0026,-6.433,0.4794,-0.6507
2026-05-17,0,短ATR状态,短ATR降温,100,3,7,样本偏少,71.43,14.29,85.71,0,57.14,14.29,-14.5839,-12.9746,0.5354,-0.5317
2026-05-17,0,短ATR状态,短ATR降温,100,5,5,样本偏少,100,0,100,0,100,20,-27.1011,-26.4548,0.6017,-0.4644
2026-05-17,0,短ATR状态,短ATR降温,100,10,0,,,,,,,,,,,
2026-05-17,0,余动能状态,余动能不足,54.22,1,8,样本偏少,0,50,50,25,12.5,12.5,-0.1642,-0.6643,0.4575,-0.6638
2026-05-17,0,余动能状态,余动能不足,54.22,3,7,样本偏少,71.43,14.29,85.71,0,57.14,14.29,-14.5839,-12.9746,0.5354,-0.5317
2026-05-17,0,余动能状态,余动能不足,54.22,5,5,样本偏少,100,0,100,0,100,20,-27.1011,-26.4548,0.6017,-0.4644
2026-05-17,0,余动能状态,余动能不足,54.22,10,0,,,,,,,,,,,
2026-05-17,0,趋势状态,强趋势下行,100,1,9,样本偏少,11.11,44.44,55.56,22.22,22.22,11.11,-3.0026,-6.433,0.4794,-0.6507
2026-05-17,0,趋势状态,强趋势下行,100,3,7,样本偏少,71.43,14.29,85.71,0,57.14,14.29,-14.5839,-12.9746,0.5354,-0.5317
2026-05-17,0,趋势状态,强趋势下行,100,5,5,样本偏少,100,0,100,0,100,20,-27.1011,-26.4548,0.6017,-0.4644
2026-05-17,0,趋势状态,强趋势下行,100,10,0,,,,,,,,,,,
2026-05-17,0,量能状态,缩量,29.51,1,4,样本偏少,0,50,50,25,0,25,0.6847,-0.395,0.5337,-0.6304
2026-05-17,0,量能状态,缩量,29.51,3,4,样本偏少,100,0,100,0,50,0,-16.5522,-16.69,0.4175,-0.5912
2026-05-17,0,量能状态,缩量,29.51,5,3,样本偏少,100,0,100,0,100,33.33,-30.8492,-28.3506,0.7079,-0.3451
2026-05-17,0,量能状态,缩量,29.51,10,0,,,,,,,,,,,
