date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0.1,波动状态,低波动启动,97.2,1,741,中强,15.25,57.62,42.38,8.91,1.35,51.28,1.6052,0.9024,1.1623,0.0101
2026-05-29,0.1,波动状态,低波动启动,97.2,3,739,中,12.31,56.16,43.84,20.43,5.95,45.33,3.445,1.5157,1.0847,-0.0392
2026-05-29,0.1,波动状态,低波动启动,97.2,5,738,中强,16.8,58.4,41.6,28.73,11.92,43.5,5.4052,2.2477,1.0814,-0.063
2026-05-29,0.1,波动状态,低波动启动,97.2,10,736,中强,18.75,59.38,40.63,37.64,18.48,39.95,8.5201,4.0816,1.05,-0.1066
2026-05-29,0.1,短ATR状态,短ATR升温,100,1,551,中,11.43,55.72,44.28,15.43,8.35,54.99,1.7627,1.0081,1.2665,0.0561
2026-05-29,0.1,短ATR状态,短ATR升温,100,3,549,中强,16.21,58.11,41.89,23.68,10.02,45.9,3.8706,2.0846,1.1488,-0.0357
2026-05-29,0.1,短ATR状态,短ATR升温,100,5,549,中强,22.04,61.02,38.98,30.6,12.2,42.99,5.5332,2.9603,1.1215,-0.0692
2026-05-29,0.1,短ATR状态,短ATR升温,100,10,549,中强,15.48,57.74,42.26,40.07,23.32,38.07,7.0504,4.1583,1.0502,-0.1387
2026-05-29,0.1,余动能状态,动能已超ATR,100,1,524,中,11.07,55.53,44.47,17.75,8.97,60.88,1.8002,1.3567,1.3246,0.1375
2026-05-29,0.1,余动能状态,动能已超ATR,100,3,522,中强,16.86,58.43,41.57,24.33,10.73,46.17,4.1689,2.2203,1.1332,-0.0256
2026-05-29,0.1,余动能状态,动能已超ATR,100,5,522,中强,19.54,59.77,40.23,31.23,13.41,41.57,5.867,3.0751,1.1004,-0.0846
2026-05-29,0.1,余动能状态,动能已超ATR,100,10,521,中强,23.22,61.61,38.39,38.77,19.77,38,8.4866,4.5369,1.0317,-0.1324
2026-05-29,0.1,趋势状态,强趋势上行,100,1,709,弱,1.83,49.08,50.92,9.17,4.94,55.29,0.6581,-0.1729,1.2296,0.0718
2026-05-29,0.1,趋势状态,强趋势上行,100,3,709,中,13.4,56.7,43.3,23.13,7.05,48.52,3.521,1.5917,1.1725,-0.0077
2026-05-29,0.1,趋势状态,强趋势上行,100,5,709,中强,19.32,59.66,40.34,31.59,11.85,44.85,5.5208,2.4983,1.1271,-0.052
2026-05-29,0.1,趋势状态,强趋势上行,100,10,709,中强,19.61,59.8,40.2,41.75,20.31,41.04,8.0142,5.3472,1.0572,-0.0984
2026-05-29,0.1,量能状态,放量,100,1,409,弱,0.24,50.12,49.88,13.94,6.85,62.59,1.2311,0.0067,1.3393,0.1634
2026-05-29,0.1,量能状态,放量,100,3,407,中,13.02,56.51,43.49,24.32,9.09,49.63,4.0147,2.056,1.1775,-0.0024
2026-05-29,0.1,量能状态,放量,100,5,407,中强,21.87,60.93,39.07,32.68,12.04,43,6.1428,3.3838,1.1088,-0.0646
2026-05-29,0.1,量能状态,放量,100,10,407,强,31.2,65.6,34.4,44.72,16.71,41.03,9.9944,7.7594,1.0665,-0.0968
