component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,4679,强,26.27,36.87,63.13,4.23,0.11,38.83,0.144,-1.0305,1.0008,-0.1128,2026-06-02 04:00
波动超额状态,接近一倍ATR,3,4678,中强,16.46,41.77,58.23,12.12,4.55,39.18,0.623,-1.6408,1.0096,-0.1162,2026-06-01 12:00
波动超额状态,接近一倍ATR,5,4678,中,13.55,43.22,56.78,18.02,16.31,38.95,1.184,-1.8784,0.9975,-0.1154,2026-06-01 12:00
波动超额状态,接近一倍ATR,10,4675,中,9.13,45.43,54.57,26.25,30.18,35.96,2.4379,-1.9318,0.9802,-0.1456,2026-05-31 08:00
波动超额状态,振幅未满ATR,1,6417,强,46.17,26.91,73.09,2.12,0.05,25.67,3.6148314032187e+16,-2.0904,0.8107,-0.2562,2026-06-02 08:00
波动超额状态,振幅未满ATR,3,6416,强,39.87,30.07,69.93,7.73,14.56,29.47,9.4622167544959e+16,-3.8838,0.857,-0.2204,2026-06-02 00:00
波动超额状态,振幅未满ATR,5,6414,强,35.89,32.05,67.95,12.57,28.42,31.81,1.3670850059918976e+17,-5.0434,0.8891,-0.199,2026-06-01 16:00
波动超额状态,振幅未满ATR,10,6412,强,28.23,35.89,64.11,19.46,41.3,35.76,1.942057813124457e+17,-6.5143,0.9305,-0.1569,2026-05-31 20:00
波动超额状态,振幅已超ATR,1,3373,弱,1.39,50.7,49.3,7.8,0.06,52.45,1.769,0.0534,1.1829,0.0267,2026-05-31 12:00
波动超额状态,振幅已超ATR,3,3373,弱,7.74,53.87,46.13,20.46,2.58,44.74,3.6891,0.802,1.083,-0.0537,2026-05-31 12:00
波动超额状态,振幅已超ATR,5,3373,弱,5.48,52.74,47.26,26.33,10.94,40.65,4.7721,0.8814,1.0393,-0.0975,2026-05-31 12:00
波动超额状态,振幅已超ATR,10,3373,弱,5.78,52.89,47.11,33.23,24.37,37.33,6.5175,1.1873,0.986,-0.134,2026-05-31 12:00
波动状态,波动压缩,1,2804,强,45.08,27.46,72.54,2.32,0.0,26.93,8.27260096806505e+16,-2.0088,0.7766,-0.26,2026-05-28 08:00
波动状态,波动压缩,3,2804,强,36.66,31.67,68.33,7.81,18.94,29.74,2.1651063729260234e+17,-3.5387,0.8119,-0.2183,2026-05-28 08:00
波动状态,波动压缩,5,2804,强,29.89,35.06,64.94,13.37,28.71,32.13,3.1271338189843194e+17,-4.5242,0.8441,-0.2014,2026-05-28 08:00
波动状态,波动压缩,10,2804,中强,17.76,41.12,58.88,22.25,38.52,36.45,4.440968151838095e+17,-4.2615,0.8904,-0.1427,2026-05-28 08:00
波动状态,常态波动,1,3383,强,37.92,31.04,68.96,2.87,0.0,31.39,-0.4322,-1.575,0.9198,-0.1874,2026-06-02 04:00
波动状态,常态波动,3,3382,强,27.74,36.13,63.87,10.41,5.56,34.92,-0.4291,-2.6431,0.9636,-0.1562,2026-06-01 12:00
