component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,564,中强,23.4,38.3,61.7,5.67,0.0,37.06,0.3365,-1.3287,0.9895,-0.1164,2026-05-31
波动超额状态,接近一倍ATR,3,563,中,14.03,42.98,57.02,14.92,10.83,38.01,0.7859,-1.7215,0.9793,-0.1252,2026-05-28
波动超额状态,接近一倍ATR,5,562,中,8.9,45.55,54.45,21.0,20.11,37.37,1.6288,-1.2974,0.9846,-0.1306,2026-05-24
波动超额状态,接近一倍ATR,10,561,弱,0.18,49.91,50.09,28.52,31.55,39.22,3.384,-0.0003,0.9928,-0.1366,2026-05-21
波动超额状态,振幅未满ATR,1,719,强,36.3,31.85,68.15,3.48,0.28,22.11,-0.8993,-2.1941,0.8122,-0.2714,2026-05-30
波动超额状态,振幅未满ATR,3,718,强,37.05,31.48,68.52,9.47,15.88,27.3,-1.8144,-3.7449,0.8863,-0.216,2026-05-29
波动超额状态,振幅未满ATR,5,717,强,37.8,31.1,68.9,13.11,32.08,28.73,-2.671,-5.9991,0.896,-0.2164,2026-05-25
波动超额状态,振幅未满ATR,10,715,强,33.15,33.43,66.57,18.6,47.83,31.19,-3.2594,-8.9672,0.9373,-0.162,2026-05-20
波动超额状态,振幅已超ATR,1,333,弱,3.3,51.65,48.35,12.31,0.3,59.46,2.2253,0.1946,1.2711,0.0697,2026-05-27
波动超额状态,振幅已超ATR,3,333,中,12.91,56.46,43.54,29.13,4.2,46.85,5.523,2.098,1.1287,-0.0279,2026-05-27
波动超额状态,振幅已超ATR,5,333,强,26.73,63.36,36.64,34.53,11.41,44.74,8.3333,3.7318,1.0993,-0.0362,2026-05-27
波动超额状态,振幅已超ATR,10,331,强,28.1,64.05,35.95,46.22,21.45,35.65,12.9174,7.7472,0.9863,-0.1475,2026-05-22
波动状态,波动压缩,1,397,强,37.03,31.49,68.51,3.27,0.0,27.46,-0.6031,-2.0157,0.8611,-0.2248,2026-05-02
波动状态,波动压缩,3,397,强,32.49,33.75,66.25,10.58,10.58,30.73,-0.9364,-3.2817,0.9327,-0.1672,2026-05-02
波动状态,波动压缩,5,397,强,29.97,35.01,64.99,15.11,25.94,35.01,-0.9555,-4.9561,0.9496,-0.135,2026-05-02
波动状态,波动压缩,10,397,中强,21.41,39.29,60.71,21.16,38.04,36.27,0.2067,-5.2139,0.9705,-0.1132,2026-05-02
波动状态,常态波动,1,267,强,31.09,34.46,65.54,4.87,0.0,26.22,-0.5709,-1.9951,0.8896,-0.2065,2026-05-28
波动状态,常态波动,3,267,强,27.34,36.33,63.67,14.98,18.35,36.7,-0.1775,-2.8136,0.9874,-0.1132,2026-05-28
波动状态,常态波动,5,266,中强,24.81,37.59,62.41,17.29,26.69,31.95,-0.4431,-4.5098,0.9435,-0.1601,2026-05-25
波动状态,常态波动,10,265,中强,19.25,40.38,59.62,25.66,42.64,35.09,-0.5044,-7.1025,0.9424,-0.1465,2026-05-18
波动状态,低波动启动,1,639,中,10.49,44.76,55.24,8.45,0.0,50.08,1.3968,-0.6889,1.1293,0.0002,2026-05-31
波动状态,低波动启动,3,638,弱,3.45,51.72,48.28,21.63,5.49,44.36,3.344,0.4277,1.0585,-0.0457,2026-05-26
波动状态,低波动启动,5,638,中,13.79,56.9,43.1,29.31,12.54,43.57,5.5999,1.7583,1.0677,-0.0651,2026-05-26
波动状态,低波动启动,10,636,中强,22.64,61.32,38.68,37.89,21.54,39.78,9.7084,4.558,1.0259,-0.1079,2026-05-21
波动状态,高波动扩张,1,113,样本偏少,20.35,39.82,60.18,10.62,0.88,36.28,0.3685,-2.4918,1.108,-0.0789,2026-05-27
波动状态,高波动扩张,3,113,样本偏少,25.66,37.17,62.83,15.93,17.7,27.43,0.1264,-3.3879,0.9719,-0.1975,2026-05-27
波动状态,高波动扩张,5,113,样本偏少,22.12,38.94,61.06,19.47,31.86,27.43,0.0951,-4.1121,0.909,-0.2361,2026-05-27
波动状态,高波动扩张,10,112,样本偏少,32.14,33.93,66.07,25.89,48.21,28.57,-1.1746,-8.2899,0.887,-0.2443,2026-05-22
波动状态,高波动冷却,1,200,强,31.0,34.5,65.5,3.0,1.0,13.0,-1.2905,-2.1903,0.6953,-0.3794,2026-05-30
波动状态,高波动冷却,3,199,强,46.73,26.63,73.37,5.53,21.61,16.08,-3.7678,-4.7898,0.7263,-0.3618,2026-05-29
波动状态,高波动冷却,5,198,强,55.56,22.22,77.78,6.06,45.96,16.16,-6.6211,-9.2238,0.7572,-0.3447,2026-05-23
波动状态,高波动冷却,10,197,强,59.39,20.3,79.7,12.18,68.53,19.8,-10.9027,-16.0579,0.8463,-0.2854,2026-05-20
短ATR状态,短ATR降温,1,750,强,39.47,30.27,69.73,3.87,0.13,24.0,-0.8919,-2.2502,0.8432,-0.2492,2026-05-03
短ATR状态,短ATR降温,3,750,强,42.13,28.93,71.07,10.27,16.27,28.67,-2.0075,-4.2691,0.8914,-0.2147,2026-05-03
短ATR状态,短ATR降温,5,750,强,41.6,29.2,70.8,13.2,32.0,31.07,-2.6667,-5.9702,0.9305,-0.1753,2026-05-03
