component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1,样本偏少,100,100,0,100,0,100,16.4011,16.4011,2.4,1.4,2026-04-26
波动状态,波动压缩,3,1,样本偏少,100,100,0,0,0,0,4.3283,4.3283,0.4749,-0.5251,2026-04-26
波动状态,常态波动,1,10,样本偏少,40,30,70,20,30,10,-2.1276,-5.3773,0.4857,-0.5884,2026-04-12
波动状态,常态波动,3,10,样本偏少,20,40,60,20,50,20,-9.2951,-10.1121,0.7887,-0.5544,2026-04-12
波动状态,常态波动,5,10,样本偏少,40,30,70,30,50,10,-9.5112,-12.1019,0.5612,-0.5799,2026-04-12
波动状态,常态波动,10,7,样本偏少,14.29,42.86,57.14,42.86,28.57,14.29,-0.6499,-1.7812,0.7768,-0.5067,2026-03-08
波动状态,低波动启动,1,4,样本偏少,50,75,25,75,25,50,17.1348,22.074,1.0079,0.0629,2026-05-10
波动状态,低波动启动,3,2,样本偏少,100,100,0,100,0,0,66.6334,66.6334,0.3931,-0.6069,2026-01-18
波动状态,低波动启动,5,2,样本偏少,100,100,0,100,0,0,86.3311,86.3311,0.6269,-0.3731,2026-01-18
波动状态,低波动启动,10,2,样本偏少,100,100,0,100,0,0,35.4081,35.4081,0.5913,-0.4087,2026-01-18
波动状态,高波动扩张,1,5,样本偏少,20,60,40,40,40,40,-6.1444,2.3907,1.6453,-0.0766,2026-02-01
波动状态,高波动扩张,3,5,样本偏少,60,80,20,60,0,20,11.9713,10.1353,0.7247,-0.3096,2026-02-01
波动状态,高波动扩张,5,5,样本偏少,60,80,20,80,20,0,13.5565,15.2384,0.4183,-0.5514,2026-02-01
波动状态,高波动扩张,10,5,样本偏少,20,60,40,40,20,20,0.3938,8.3355,0.6766,-0.5727,2026-02-01
波动状态,高波动冷却,1,10,样本偏少,20,40,60,10,0,10,0.3062,-1.8132,0.5665,-0.5073,2026-04-19
波动状态,高波动冷却,3,10,样本偏少,80,10,90,10,60,20,-8.5662,-10.5252,0.6585,-0.4717,2026-04-19
波动状态,高波动冷却,5,9,样本偏少,55.56,22.22,77.78,11.11,66.67,22.22,-8.9298,-13.9169,0.7744,-0.5091,2026-03-29
波动状态,高波动冷却,10,7,样本偏少,42.86,28.57,71.43,14.29,42.86,14.29,-14.1232,-5.3748,0.5415,-0.659,2026-03-01
短ATR状态,短ATR降温,1,21,样本偏少,23.81,38.1,61.9,19.05,23.81,19.05,-2.0941,-3.79,0.6974,-0.5091,2026-05-03
短ATR状态,短ATR降温,3,20,样本偏少,30,35,65,20,50,20,-5.3928,-8.9064,0.7486,-0.5171,2026-04-26
短ATR状态,短ATR降温,5,18,样本偏少,33.33,33.33,66.67,33.33,61.11,11.11,-4.5108,-13.5183,0.6049,-0.5616,2026-04-12
短ATR状态,短ATR降温,10,13,样本偏少,69.23,15.38,84.62,15.38,46.15,15.38,-13.7532,-6.0224,0.6237,-0.536,2026-03-08
短ATR状态,短ATR升温,1,5,样本偏少,20,60,40,60,20,40,7.9744,10.5926,0.9566,-0.508,2025-11-30
短ATR状态,短ATR升温,3,5,样本偏少,100,100,0,80,0,0,29.0727,15.1296,0.4266,-0.5514,2025-11-30
短ATR状态,短ATR升温,5,5,样本偏少,60,80,20,60,0,0,32.9138,15.2384,0.4297,-0.5514,2025-11-30
短ATR状态,短ATR升温,10,5,样本偏少,100,100,0,80,0,20,22.3853,19.4868,0.8454,-0.2056,2025-11-30
