component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,676,强,36.09,31.95,68.05,1.33,0,31.36,-0.5017,-1.1559,0.9167,-0.1773,2026-05-04 16:00
波动状态,波动压缩,3,676,中强,24.85,37.57,62.43,7.54,4.29,35.95,0.134,-2.0889,0.9765,-0.1291,2026-05-04 16:00
波动状态,波动压缩,5,676,中强,18.93,40.53,59.47,12.72,11.83,41.42,1.4444,-1.8902,1.023,-0.0804,2026-05-04 16:00
波动状态,波动压缩,10,676,中,13.02,43.49,56.51,22.63,25.3,42.6,3.9439,-1.8615,1.0414,-0.0791,2026-05-04 16:00
波动状态,常态波动,1,608,弱,6.25,46.88,53.13,2.47,0,42.43,0.3441,-0.374,1.0201,-0.0816,2026-05-26 16:00
波动状态,常态波动,3,608,弱,7.24,46.38,53.62,12.83,4.28,39.97,0.9965,-0.6661,1.006,-0.1208,2026-05-26 16:00
波动状态,常态波动,5,608,中,9.54,45.23,54.77,17.11,13.49,39.97,1.5295,-0.9445,1.0142,-0.1181,2026-05-26 16:00
波动状态,常态波动,10,608,弱,4.93,47.53,52.47,26.15,24.18,40.3,3.0989,-0.8932,1.0023,-0.1119,2026-05-26 16:00
波动状态,低波动启动,1,780,弱,7.95,53.97,46.03,4.49,0,48.46,1.2568,0.4332,1.1158,-0.015,2026-05-06 16:00
波动状态,低波动启动,3,780,弱,5.13,52.56,47.44,13.72,1.41,45.26,2.8258,0.4572,1.0679,-0.0388,2026-05-06 16:00
波动状态,低波动启动,5,780,弱,5.38,52.69,47.31,21.15,7.18,42.31,4.255,0.7024,1.049,-0.0661,2026-05-06 16:00
波动状态,低波动启动,10,780,中强,15.13,57.56,42.44,31.92,15.13,40.26,8.3809,3.412,1.0475,-0.0856,2026-05-06 16:00
波动状态,高波动扩张,1,754,弱,7.16,53.58,46.42,6.76,1.86,45.62,0.9225,0.6147,1.1011,-0.0507,2026-05-29 16:00
波动状态,高波动扩张,3,754,弱,3.18,51.59,48.41,16.71,6.76,42.44,2.1107,0.3541,1.0519,-0.0882,2026-05-29 16:00
波动状态,高波动扩张,5,752,弱,1.06,50.53,49.47,21.28,13.96,36.84,2.5752,0.064,1.0081,-0.1244,2026-05-28 16:00
波动状态,高波动扩张,10,749,弱,7.88,46.06,53.94,27.5,27.77,34.18,2.4956,-1.2935,0.9594,-0.161,2026-05-27 08:00
波动状态,高波动冷却,1,948,强,38.61,30.7,69.3,0.95,0,23.52,-1.1044,-1.5992,0.8252,-0.2399,2026-05-30 08:00
波动状态,高波动冷却,3,946,强,47.78,26.11,73.89,4.44,9.62,27.06,-2.7698,-4.0075,0.8704,-0.2141,2026-05-29 00:00
波动状态,高波动冷却,5,946,强,49.68,25.16,74.84,7.93,27.06,30.13,-3.8857,-5.6844,0.8832,-0.1976,2026-05-29 00:00
波动状态,高波动冷却,10,944,强,50.85,24.58,75.42,12.18,45.23,33.05,-5.5912,-8.6482,0.9199,-0.1657,2026-05-25 00:00
短ATR状态,短ATR降温,1,1356,强,32.15,33.92,66.08,1.4,0,28.39,-0.6886,-1.3281,0.8746,-0.2089,2026-05-25 00:00
短ATR状态,短ATR降温,3,1356,强,34.22,32.89,67.11,6.56,6.78,31.71,-1.4359,-2.9576,0.9138,-0.1832,2026-05-25 00:00
短ATR状态,短ATR降温,5,1356,强,33.63,33.19,66.81,10.32,18.95,35.1,-1.5923,-4.0231,0.9503,-0.1485,2026-05-25 00:00
短ATR状态,短ATR降温,10,1356,强,31.27,34.37,65.63,17.99,34.29,37.54,-1.0468,-5.5732,0.981,-0.1256,2026-05-25 00:00
短ATR状态,短ATR升温,1,984,中,12.4,56.2,43.8,6.61,1.02,52.34,1.4926,0.6784,1.1649,0.0233,2026-05-29 16:00
短ATR状态,短ATR升温,3,984,中,11.59,55.79,44.21,17.38,3.86,47.15,3.235,1.2694,1.0901,-0.0263,2026-05-29 16:00
短ATR状态,短ATR升温,5,982,中,13.85,56.92,43.08,24.34,10.69,40.94,4.2833,1.3601,1.0428,-0.0874,2026-05-29 00:00
短ATR状态,短ATR升温,10,977,中,9.11,54.55,45.45,32.96,20.16,37.46,6.4849,2.2971,1.008,-0.1316,2026-05-27 08:00
短ATR状态,短ATR中性,1,1426,中强,15.29,42.36,57.64,2.45,0.28,36.12,-0.0252,-0.6621,0.9751,-0.1269,2026-05-30 08:00
短ATR状态,短ATR中性,3,1424,中强,17.56,41.22,58.78,10.11,5.48,36.59,0.4464,-1.465,0.9898,-0.127,2026-05-26 16:00
短ATR状态,短ATR中性,5,1424,中强,20.08,39.96,60.04,14.82,15.24,37.71,1.0104,-1.9651,0.9883,-0.129,2026-05-26 16:00
短ATR状态,短ATR中性,10,1424,中,14.33,42.84,57.16,22.19,28.72,37.92,1.9397,-2.5974,0.9849,-0.1144,2026-05-26 16:00
量能状态,放量,1,606,中,9.24,54.62,45.38,8.75,1.82,58.25,1.8206,0.5746,1.255,0.0894,2026-05-28 00:00
量能状态,放量,3,606,中强,21.45,60.73,39.27,21.12,3.47,50.33,4.5281,2.058,1.1324,0.0043,2026-05-28 00:00
量能状态,放量,5,606,中强,21.78,60.89,39.11,26.9,7.59,42.74,5.8241,2.2168,1.053,-0.0833,2026-05-28 00:00
量能状态,放量,10,605,中强,17.69,58.84,41.16,35.87,17.52,37.19,9.946,4.2427,1.0354,-0.1362,2026-05-27 08:00
量能状态,量能正常,1,1679,中,10.3,44.85,55.15,2.32,0.06,37.46,0.1556,-0.4361,0.9778,-0.1203,2026-05-29 08:00
量能状态,量能正常,3,1679,中,13.76,43.12,56.88,10.07,4.41,38.48,0.4019,-1.277,0.9932,-0.1221,2026-05-29 08:00
量能状态,量能正常,5,1678,中,13.47,43.27,56.73,15.61,15.08,37.66,0.9637,-1.4725,0.9923,-0.123,2026-05-29 00:00
量能状态,量能正常,10,1675,中,12,44,56,24.06,26.99,39.22,1.8097,-1.8616,0.9978,-0.1118,2026-05-26 16:00
量能状态,缩量,1,1481,强,28.02,35.99,64.01,1.82,0.14,29.24,-0.5845,-1.2644,0.8916,-0.211,2026-05-30 08:00
量能状态,缩量,3,1479,强,33.74,33.13,66.87,7.23,7.64,31.37,-1.046,-2.86,0.9246,-0.1712,2026-05-29 16:00
量能状态,缩量,5,1478,强,34.64,32.68,67.32,11.16,18.94,35.45,-1.1235,-3.7278,0.9585,-0.1492,2026-05-28 08:00
