date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,0.15,波动状态,低波动启动,54.68,1,495,弱,3.03,48.48,51.52,8.69,0.2,52.32,1.4024,-0.1914,1.1596,0.0167
2026-06-01,0.15,波动状态,低波动启动,54.68,3,494,中,13.77,56.88,43.12,22.87,7.49,49.8,3.9373,2.0718,1.1167,-0.0049
2026-06-01,0.15,波动状态,低波动启动,54.68,5,492,中强,21.54,60.77,39.23,31.71,11.59,44.92,5.7371,2.7124,1.0833,-0.0534
2026-06-01,0.15,波动状态,低波动启动,54.68,10,489,强,27.2,63.6,36.4,41.51,16.56,44.17,9.6534,5.6311,1.0708,-0.069
2026-06-01,0.15,短ATR状态,短ATR中性,94.92,1,442,中强,15.38,42.31,57.69,7.24,0.45,37.1,0.5794,-1.1624,0.9764,-0.1377
2026-06-01,0.15,短ATR状态,短ATR中性,94.92,3,440,弱,6.82,46.59,53.41,17.05,13.18,36.36,1.4815,-1.2508,0.9696,-0.139
2026-06-01,0.15,短ATR状态,短ATR中性,94.92,5,438,弱,3.2,48.4,51.6,24.43,22.37,33.56,1.9537,-0.8667,0.9546,-0.1692
2026-06-01,0.15,短ATR状态,短ATR中性,94.92,10,434,弱,5.99,47.0,53.0,29.26,31.34,36.41,3.0493,-1.7875,0.9657,-0.142
2026-06-01,0.15,波动超额状态,振幅已超ATR,25.94,1,331,弱,2.11,48.94,51.06,9.06,0.6,53.17,1.1746,-0.1545,1.1559,0.0384
2026-06-01,0.15,波动超额状态,振幅已超ATR,25.94,3,331,中,10.57,55.29,44.71,20.85,11.48,42.6,2.8846,1.3793,1.0591,-0.073
2026-06-01,0.15,波动超额状态,振幅已超ATR,25.94,5,331,中,10.57,55.29,44.71,29.0,15.11,43.2,4.449,1.4618,1.0673,-0.0608
2026-06-01,0.15,波动超额状态,振幅已超ATR,25.94,10,330,中强,15.76,57.88,42.12,38.79,21.21,40.3,7.1005,3.1136,1.01,-0.1024
2026-06-01,0.15,趋势状态,强趋势下行,100.0,1,682,强,32.26,33.87,66.13,6.74,0.73,24.63,-0.5228,-2.5414,0.8429,-0.2472
2026-06-01,0.15,趋势状态,强趋势下行,100.0,3,680,强,38.24,30.88,69.12,11.91,22.94,26.62,-1.8991,-4.4311,0.8645,-0.2411
2026-06-01,0.15,趋势状态,强趋势下行,100.0,5,678,强,39.23,30.38,69.62,15.93,35.69,28.32,-2.7543,-6.3782,0.8794,-0.23
2026-06-01,0.15,趋势状态,强趋势下行,100.0,10,674,强,40.36,29.82,70.18,18.25,47.77,31.75,-4.5461,-9.0858,0.9137,-0.2005
2026-06-01,0.15,量能状态,缩量,35.19,1,691,强,30.82,34.59,65.41,5.5,0.58,25.04,-0.54,-2.2009,0.8529,-0.2343
2026-06-01,0.15,量能状态,缩量,35.19,3,689,强,29.17,35.41,64.59,12.48,19.59,30.33,-1.2929,-3.5313,0.9027,-0.2091
2026-06-01,0.15,量能状态,缩量,35.19,5,687,强,27.22,36.39,63.61,14.99,29.99,32.02,-1.6966,-4.3457,0.9267,-0.1876
2026-06-01,0.15,量能状态,缩量,35.19,10,682,中强,24.05,37.98,62.02,20.82,39.44,31.82,-2.0838,-6.0294,0.952,-0.1571
