date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,0.16,波动状态,常态波动,66.96,1,3,样本偏少,33.33,33.33,66.67,0,66.67,0,-9.0436,-14.4259,0.4518,-0.6481
2026-05-17,0.16,波动状态,常态波动,66.96,3,1,样本偏少,100,0,100,0,100,0,-24.5174,-24.5174,0.6775,-0.3225
2026-05-17,0.16,波动状态,常态波动,66.96,5,0,,,,,,,,,,,
2026-05-17,0.16,波动状态,常态波动,66.96,10,0,,,,,,,,,,,
2026-05-17,0.16,短ATR状态,短ATR降温,100,1,4,样本偏少,0,50,50,0,50,0,-5.9089,-6.1795,0.4746,-0.5526
2026-05-17,0.16,短ATR状态,短ATR降温,100,3,2,样本偏少,100,0,100,0,50,0,-17.0608,-17.0608,0.5147,-0.4853
2026-05-17,0.16,短ATR状态,短ATR降温,100,5,0,,,,,,,,,,,
2026-05-17,0.16,短ATR状态,短ATR降温,100,10,0,,,,,,,,,,,
2026-05-17,0.16,余动能状态,余动能不足,54,1,4,样本偏少,0,50,50,0,50,0,-5.9089,-6.1795,0.4746,-0.5526
2026-05-17,0.16,余动能状态,余动能不足,54,3,2,样本偏少,100,0,100,0,50,0,-17.0608,-17.0608,0.5147,-0.4853
2026-05-17,0.16,余动能状态,余动能不足,54,5,0,,,,,,,,,,,
2026-05-17,0.16,余动能状态,余动能不足,54,10,0,,,,,,,,,,,
2026-05-17,0.16,趋势状态,弱趋势混合,75,1,2,样本偏少,0,50,50,0,50,0,-6.1795,-6.1795,0.5147,-0.4853
2026-05-17,0.16,趋势状态,弱趋势混合,75,3,0,,,,,,,,,,,
2026-05-17,0.16,趋势状态,弱趋势混合,75,5,0,,,,,,,,,,,
2026-05-17,0.16,趋势状态,弱趋势混合,75,10,0,,,,,,,,,,,
2026-05-17,0.16,量能状态,缩量,40.37,1,2,样本偏少,0,50,50,0,50,0,-5.4653,-5.4653,0.6102,-0.3898
2026-05-17,0.16,量能状态,缩量,40.37,3,1,样本偏少,100,0,100,0,0,0,-9.6043,-9.6043,0.3519,-0.6481
2026-05-17,0.16,量能状态,缩量,40.37,5,0,,,,,,,,,,,
2026-05-17,0.16,量能状态,缩量,40.37,10,0,,,,,,,,,,,
