component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,3313,中强,22.49,38.76,61.24,3.92,0,37.97,0.1274,-1.0602,0.9938,-0.1218,2026-05-31 12:00
波动超额状态,接近一倍ATR,3,3313,中强,16.09,41.96,58.04,12.68,3.89,38.97,0.617,-1.4938,1.0067,-0.1161,2026-05-31 12:00
波动超额状态,接近一倍ATR,5,3313,中,13.49,43.25,56.75,17.6,13.91,37.97,1.2852,-1.6676,0.9902,-0.124,2026-05-31 12:00
波动超额状态,接近一倍ATR,10,3312,中,8.57,45.71,54.29,25.15,27.45,35.69,2.2688,-1.6658,0.9715,-0.1443,2026-05-29 16:00
波动超额状态,振幅未满ATR,1,4195,强,38.59,30.7,69.3,2.43,0.02,29.49,-0.6594,-1.721,0.8876,-0.2106,2026-06-01 12:00
波动超额状态,振幅未满ATR,3,4193,强,33.13,33.44,66.56,8.25,6.7,32.03,-1.0636,-2.9788,0.9263,-0.1801,2026-05-31 16:00
波动超额状态,振幅未满ATR,5,4193,强,29.5,35.25,64.75,13.83,20.92,35.06,-1.078,-3.6078,0.9655,-0.1617,2026-05-31 16:00
波动超额状态,振幅未满ATR,10,4190,中强,20.62,39.69,60.31,20.98,34.44,38.09,-0.4597,-4.4869,0.9945,-0.1202,2026-05-31 00:00
波动超额状态,振幅已超ATR,1,2275,弱,4.79,47.6,52.4,6.95,0,48.92,1.5467,-0.2319,1.1362,-0.0103,2026-06-01 04:00
波动超额状态,振幅已超ATR,3,2275,弱,1.54,50.77,49.23,17.67,2.99,42.73,2.9378,0.1848,1.0458,-0.0867,2026-06-01 04:00
波动超额状态,振幅已超ATR,5,2273,弱,1.01,49.49,50.51,22.79,12.45,38.58,3.4893,-0.118,0.9975,-0.1139,2026-05-31 20:00
波动超额状态,振幅已超ATR,10,2272,弱,2.99,51.5,48.5,31.25,23.33,36.31,4.8438,0.6163,0.9715,-0.1491,2026-05-30 00:00
波动状态,波动压缩,1,2638,强,33.28,33.36,66.64,2.88,0,31.61,-0.3704,-1.4606,0.9189,-0.1858,2026-06-01 12:00
波动状态,波动压缩,3,2636,强,25.8,37.1,62.9,9.83,4.82,35.02,-0.143,-2.2302,0.9591,-0.1527,2026-05-31 16:00
波动状态,波动压缩,5,2636,中强,18.21,40.9,59.1,17.68,16.43,38.09,0.6293,-2.4378,1.008,-0.1306,2026-05-31 16:00
波动状态,波动压缩,10,2633,弱,1.63,49.18,50.82,27.35,25.22,41.17,3.2028,-0.3587,1.044,-0.0898,2026-05-31 00:00
波动状态,常态波动,1,1979,强,31.38,34.31,65.69,2.78,0,34.26,-0.3721,-1.4236,0.9439,-0.1602,2026-05-30 08:00
波动状态,常态波动,3,1979,中强,24.61,37.7,62.3,10.66,4.24,37.8,-0.1733,-1.9853,0.9853,-0.1312,2026-05-30 08:00
波动状态,常态波动,5,1979,中强,21.48,39.26,60.74,15.46,14.91,37.54,0.2124,-2.3139,0.9711,-0.1316,2026-05-30 08:00
波动状态,常态波动,10,1979,中强,18.44,40.78,59.22,21.83,30.77,37.54,0.453,-3.7466,0.9692,-0.1273,2026-05-30 08:00
波动状态,低波动启动,1,2976,弱,7.06,46.47,53.53,6.01,0,46.88,1.2016,-0.3032,1.1087,-0.035,2026-06-01 04:00
波动状态,低波动启动,3,2976,弱,2.55,51.28,48.72,16.97,1.95,42.51,2.691,0.2769,1.0528,-0.0847,2026-06-01 04:00
波动状态,低波动启动,5,2974,弱,1.41,50.71,49.29,22.19,9.72,39.91,3.6418,0.1505,1.0205,-0.0989,2026-05-31 20:00
波动状态,低波动启动,10,2972,中,11.04,55.52,44.48,32.77,19.48,37.89,6.2577,2.0793,0.996,-0.1358,2026-05-30 00:00
波动状态,高波动扩张,1,983,中强,20.24,39.88,60.12,5.9,0,40.49,0.675,-1.0678,1.0226,-0.1031,2026-05-17 20:00
波动状态,高波动扩张,3,983,中强,19.84,40.08,59.92,13.43,7.53,37.13,0.6489,-2.1035,0.9773,-0.1457,2026-05-17 20:00
波动状态,高波动扩张,5,983,中强,22.08,38.96,61.04,16.79,22.79,33.57,0.1709,-3.0595,0.9335,-0.1574,2026-05-17 20:00
波动状态,高波动扩张,10,983,强,31.84,34.08,65.92,18.82,39.37,27.47,-1.8841,-6.6401,0.8809,-0.2133,2026-05-17 20:00
波动状态,高波动冷却,1,1207,强,46.81,26.59,73.41,1.82,0.08,25.1,-1.1199,-2.1571,0.8321,-0.2546,2026-05-18 08:00
波动状态,高波动冷却,3,1207,强,49.79,25.1,74.9,5.05,11.18,25.27,-3.0308,-4.4669,0.8505,-0.2373,2026-05-18 08:00
波动状态,高波动冷却,5,1207,强,51.95,24.03,75.97,6.96,31.48,28.25,-4.4814,-6.3654,0.8823,-0.2153,2026-05-18 08:00
波动状态,高波动冷却,10,1207,强,56.92,21.54,78.46,9.2,53.27,31.48,-7.856,-10.8957,0.9107,-0.1835,2026-05-18 08:00
短ATR状态,短ATR降温,1,3461,强,36.78,31.61,68.39,2.63,0,28.95,-0.5872,-1.6663,0.8961,-0.2051,2026-05-31 20:00
短ATR状态,短ATR降温,3,3461,强,30.37,34.82,65.18,9.62,6.01,34.44,-0.7108,-2.8472,0.9564,-0.155,2026-05-31 20:00
短ATR状态,短ATR降温,5,3461,强,26.73,36.64,63.36,14.94,19.85,35.37,-0.442,-3.4672,0.9697,-0.153,2026-05-31 20:00
短ATR状态,短ATR降温,10,3456,中,12.91,43.55,56.45,24.05,32.26,38.89,1.3862,-3.0603,1.012,-0.1139,2026-05-31 00:00
短ATR状态,短ATR升温,1,2539,中,11.3,44.35,55.65,6.07,0,45.81,1.1464,-0.5439,1.0945,-0.0495,2026-05-30 00:00
短ATR状态,短ATR升温,3,2539,弱,3.9,48.05,51.95,16.38,3.47,41.91,2.4236,-0.3478,1.0317,-0.0938,2026-05-30 00:00
短ATR状态,短ATR升温,5,2539,弱,1.77,49.11,50.89,21.98,11.89,39.98,3.1228,-0.1594,1.0028,-0.1098,2026-05-30 00:00
短ATR状态,短ATR升温,10,2539,弱,2.4,48.8,51.2,29.42,24.66,35.72,3.6586,-0.4728,0.9649,-0.1457,2026-05-30 00:00
短ATR状态,短ATR中性,1,3783,中强,24.13,37.93,62.07,3.83,0.03,38.14,0.0783,-1.12,0.9836,-0.1288,2026-06-01 12:00
短ATR状态,短ATR中性,3,3781,中强,19.49,40.25,59.75,11.08,4.81,35.7,0.152,-1.8157,0.9703,-0.1488,2026-06-01 04:00
短ATR状态,短ATR中性,5,3779,中强,19.5,40.25,59.75,16.04,16.72,36.15,0.336,-2.3307,0.9775,-0.1391,2026-05-30 12:00
短ATR状态,短ATR中性,10,3779,中强,15.16,42.42,57.58,22.33,30.19,35.78,0.665,-3.2639,0.9644,-0.1498,2026-05-30 12:00
量能状态,放量,1,1742,弱,0.23,49.89,50.11,7.29,0,50,1.7532,-0.0063,1.1527,0.0001,2026-06-01 12:00
量能状态,放量,3,1741,弱,6.84,53.42,46.58,19.13,2.01,44.51,3.5419,0.706,1.0751,-0.0583,2026-06-01 00:00
量能状态,放量,5,1740,弱,3.56,51.78,48.22,24.6,9.89,39.54,4.1913,0.5638,1.0113,-0.1062,2026-05-30 00:00
量能状态,放量,10,1740,中,10.23,55.11,44.89,33.45,19.77,36.21,6.0592,1.8652,0.9779,-0.1454,2026-05-30 00:00
量能状态,量能正常,1,3410,中强,22.87,38.56,61.44,4.11,0,38.86,0.2028,-1.0425,0.9995,-0.1166,2026-06-01 08:00
