date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01 16:00,0.16,波动状态,低波动启动,80.6,1,2976,弱,7.06,46.47,53.53,6.01,0,46.88,1.2016,-0.3032,1.1087,-0.035
2026-06-01 16:00,0.16,波动状态,低波动启动,80.6,3,2976,弱,2.55,51.28,48.72,16.97,1.95,42.51,2.691,0.2769,1.0528,-0.0847
2026-06-01 16:00,0.16,波动状态,低波动启动,80.6,5,2974,弱,1.41,50.71,49.29,22.19,9.72,39.91,3.6418,0.1505,1.0205,-0.0989
2026-06-01 16:00,0.16,波动状态,低波动启动,80.6,10,2972,中,11.04,55.52,44.48,32.77,19.48,37.89,6.2577,2.0793,0.996,-0.1358
2026-06-01 16:00,0.16,短ATR状态,短ATR升温,65.75,1,2539,中,11.3,44.35,55.65,6.07,0,45.81,1.1464,-0.5439,1.0945,-0.0495
2026-06-01 16:00,0.16,短ATR状态,短ATR升温,65.75,3,2539,弱,3.9,48.05,51.95,16.38,3.47,41.91,2.4236,-0.3478,1.0317,-0.0938
2026-06-01 16:00,0.16,短ATR状态,短ATR升温,65.75,5,2539,弱,1.77,49.11,50.89,21.98,11.89,39.98,3.1228,-0.1594,1.0028,-0.1098
2026-06-01 16:00,0.16,短ATR状态,短ATR升温,65.75,10,2539,弱,2.4,48.8,51.2,29.42,24.66,35.72,3.6586,-0.4728,0.9649,-0.1457
2026-06-01 16:00,0.16,波动超额状态,振幅已超ATR,70.47,1,2275,弱,4.79,47.6,52.4,6.95,0,48.92,1.5467,-0.2319,1.1362,-0.0103
2026-06-01 16:00,0.16,波动超额状态,振幅已超ATR,70.47,3,2275,弱,1.54,50.77,49.23,17.67,2.99,42.73,2.9378,0.1848,1.0458,-0.0867
2026-06-01 16:00,0.16,波动超额状态,振幅已超ATR,70.47,5,2273,弱,1.01,49.49,50.51,22.79,12.45,38.58,3.4893,-0.118,0.9975,-0.1139
2026-06-01 16:00,0.16,波动超额状态,振幅已超ATR,70.47,10,2272,弱,2.99,51.5,48.5,31.25,23.33,36.31,4.8438,0.6163,0.9715,-0.1491
2026-06-01 16:00,0.16,趋势状态,趋势不明,60.37,1,1371,强,30.71,34.65,65.35,3.06,0,34.28,-0.2464,-1.2696,0.9314,-0.1728
2026-06-01 16:00,0.16,趋势状态,趋势不明,60.37,3,1371,中强,24.73,37.64,62.36,10.21,4.3,35.59,-0.0734,-2.1178,0.9781,-0.1511
2026-06-01 16:00,0.16,趋势状态,趋势不明,60.37,5,1371,中强,21.52,39.24,60.76,15.1,16.63,36.32,0.147,-2.6231,0.9783,-0.1362
2026-06-01 16:00,0.16,趋势状态,趋势不明,60.37,10,1369,中,11.18,44.41,55.59,23.89,29.36,39.23,1.572,-2.4832,1.0037,-0.1247
2026-06-01 16:00,0.16,量能状态,放量,6,1,1742,弱,0.23,49.89,50.11,7.29,0,50,1.7532,-0.0063,1.1527,0.0001
2026-06-01 16:00,0.16,量能状态,放量,6,3,1741,弱,6.84,53.42,46.58,19.13,2.01,44.51,3.5419,0.706,1.0751,-0.0583
2026-06-01 16:00,0.16,量能状态,放量,6,5,1740,弱,3.56,51.78,48.22,24.6,9.89,39.54,4.1913,0.5638,1.0113,-0.1062
2026-06-01 16:00,0.16,量能状态,放量,6,10,1740,中,10.23,55.11,44.89,33.45,19.77,36.21,6.0592,1.8652,0.9779,-0.1454
