component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,181,中强,17.13,41.44,58.56,3.87,0,34.81,0.035,-0.8467,0.95,-0.1355,2026-05-09
波动状态,波动压缩,3,181,中强,16.02,41.99,58.01,18.78,7.73,40.88,1.4556,-1.6533,1.063,-0.0988,2026-05-09
波动状态,波动压缩,5,181,中,11.6,44.2,55.8,21.55,20.44,41.44,1.7175,-2.4459,1.0201,-0.1169,2026-05-09
波动状态,波动压缩,10,181,弱,0.55,49.72,50.28,29.83,29.28,37.57,4.0859,-0.4922,0.9919,-0.1169,2026-05-09
波动状态,常态波动,1,97,样本偏少,7.22,53.61,46.39,3.09,1.03,28.87,0.32,0.1648,0.935,-0.1878,2026-05-26
波动状态,常态波动,3,97,样本偏少,27.84,36.08,63.92,14.43,12.37,34.02,0.4656,-2.4097,0.924,-0.1493,2026-05-26
波动状态,常态波动,5,96,样本偏少,20.83,39.58,60.42,19.79,20.83,36.46,0.3745,-2.6414,0.9821,-0.1142,2026-05-20
波动状态,常态波动,10,95,样本偏少,20,40,60,17.89,34.74,36.84,-2.2106,-4.059,0.9533,-0.1334,2026-05-19
波动状态,低波动启动,1,207,中强,16.91,58.45,41.55,10.63,3.86,53.14,1.4985,1.1863,1.1548,0.0425,2026-05-27
波动状态,低波动启动,3,206,中,8.74,54.37,45.63,24.27,9.22,48.06,3.7752,0.6355,1.0658,-0.0364,2026-05-25
波动状态,低波动启动,5,205,中,10.24,55.12,44.88,32.68,11.22,43.41,6.6618,2.0434,1.0783,-0.0701,2026-05-24
波动状态,低波动启动,10,201,强,34.33,67.16,32.84,45.27,14.43,43.78,11.4838,8.5725,1.078,-0.0747,2026-05-18
波动状态,高波动扩张,1,63,样本偏少,7.94,46.03,53.97,22.22,17.46,34.92,0.6287,-0.8275,0.9107,-0.1843,2026-05-28
波动状态,高波动扩张,3,62,样本偏少,32.26,33.87,66.13,11.29,29.03,20.97,-2.8225,-4.4428,0.8281,-0.2126,2026-02-20
波动状态,高波动扩张,5,62,样本偏少,41.94,29.03,70.97,17.74,41.94,22.58,-3.8289,-6.1513,0.7858,-0.3061,2026-02-20
波动状态,高波动扩张,10,62,样本偏少,29.03,35.48,64.52,20.97,41.94,22.58,-4.0699,-6.2127,0.8584,-0.2369,2026-02-20
波动状态,高波动冷却,1,132,强,34.85,32.58,67.42,0,0.76,18.18,-1.614,-1.9564,0.7422,-0.319,2026-03-03
波动状态,高波动冷却,3,132,强,42.42,28.79,71.21,11.36,25,21.21,-2.4272,-4.9459,0.7762,-0.3255,2026-03-03
波动状态,高波动冷却,5,132,强,43.94,28.03,71.97,15.15,33.33,24.24,-4.057,-7.0017,0.7895,-0.3113,2026-03-03
波动状态,高波动冷却,10,132,强,43.94,28.03,71.97,17.42,55.3,28.03,-6.8837,-12.3716,0.8143,-0.3029,2026-03-03
