date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,6.79,波动状态,低波动启动,9.66,1,207,弱,0.48,49.76,50.24,9.18,0.0,55.07,1.8833,-0.0786,1.1572,0.0628
2026-06-01,6.79,波动状态,低波动启动,9.66,3,205,中,11.22,55.61,44.39,23.9,5.85,49.76,4.4188,1.9426,1.085,-0.0076
2026-06-01,6.79,波动状态,低波动启动,9.66,5,203,中强,15.27,57.64,42.36,32.51,6.4,44.83,8.0178,2.7119,1.078,-0.0634
2026-06-01,6.79,波动状态,低波动启动,9.66,10,199,强,32.66,66.33,33.67,47.24,13.07,45.73,13.357,8.2473,1.0925,-0.0592
2026-06-01,6.79,短ATR状态,短ATR升温,100.0,1,147,弱,2.04,51.02,48.98,10.2,0.0,48.98,1.3328,0.1504,1.1058,-0.0176
2026-06-01,6.79,短ATR状态,短ATR升温,100.0,3,145,弱,7.59,46.21,53.79,20.0,7.59,48.28,2.2901,-0.5283,1.0503,-0.0467
2026-06-01,6.79,短ATR状态,短ATR升温,100.0,5,143,弱,0.7,49.65,50.35,25.87,9.79,43.36,3.3933,-0.2343,1.0505,-0.0671
2026-06-01,6.79,短ATR状态,短ATR升温,100.0,10,138,中,13.04,56.52,43.48,37.68,23.91,38.41,5.2999,3.4571,1.03,-0.104
2026-06-01,6.79,波动超额状态,接近一倍ATR,74.44,1,219,中强,21.46,39.27,60.73,9.13,0.0,36.53,0.9078,-2.011,1.008,-0.128
2026-06-01,6.79,波动超额状态,接近一倍ATR,74.44,3,217,中强,17.05,41.47,58.53,19.82,12.9,40.09,1.1209,-2.2883,1.0014,-0.1184
2026-06-01,6.79,波动超额状态,接近一倍ATR,74.44,5,217,中,13.36,43.32,56.68,23.04,17.51,41.01,2.4005,-2.0056,0.9902,-0.1051
2026-06-01,6.79,波动超额状态,接近一倍ATR,74.44,10,214,弱,2.8,51.4,48.6,32.24,28.5,38.32,2.6858,0.2653,0.9615,-0.1261
2026-06-01,6.79,趋势状态,强趋势上行,100.0,1,224,弱,0.0,50.0,50.0,9.82,0.0,56.25,1.4002,-0.0077,1.1648,0.07
2026-06-01,6.79,趋势状态,强趋势上行,100.0,3,222,中,13.51,56.76,43.24,26.13,1.8,55.86,4.5797,1.8842,1.1488,0.0602
2026-06-01,6.79,趋势状态,强趋势上行,100.0,5,220,强,27.27,63.64,36.36,33.64,2.27,54.09,7.7397,4.016,1.165,0.0513
2026-06-01,6.79,趋势状态,强趋势上行,100.0,10,215,强,51.63,75.81,24.19,53.02,8.37,43.26,13.1268,11.3249,1.0827,-0.0669
2026-06-01,6.79,量能状态,量能正常,53.29,1,312,中强,18.59,40.71,59.29,6.41,0.0,37.82,0.2401,-1.6121,0.9834,-0.1348
2026-06-01,6.79,量能状态,量能正常,53.29,3,310,中强,17.42,41.29,58.71,19.03,13.23,39.35,1.4566,-1.7801,1.0166,-0.156
2026-06-01,6.79,量能状态,量能正常,53.29,5,310,弱,5.81,47.1,52.9,24.84,17.1,35.48,2.6892,-1.4965,0.9687,-0.1342
2026-06-01,6.79,量能状态,量能正常,53.29,10,308,弱,1.3,49.35,50.65,33.44,27.92,37.01,4.7104,-0.4354,0.9818,-0.1338
