component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,1872,中强,22.76,38.62,61.38,3.85,0.0,39.42,0.1944,-0.8773,1.0048,-0.1016,2026-06-02 08:00
波动超额状态,接近一倍ATR,3,1870,中强,16.9,41.55,58.45,11.71,3.58,38.61,0.5957,-1.2837,0.9885,-0.1144,2026-06-01 08:00
波动超额状态,接近一倍ATR,5,1870,中,14.65,42.67,57.33,16.52,12.03,39.47,1.1986,-1.4646,0.9928,-0.0995,2026-06-01 08:00
波动超额状态,接近一倍ATR,10,1867,中,10.55,44.72,55.28,24.8,25.82,37.23,2.5103,-2.0732,0.9667,-0.1309,2026-05-31 20:00
波动超额状态,振幅未满ATR,1,2124,强,40.3,29.85,70.15,1.74,0.0,28.34,-0.7871,-1.7299,0.8733,-0.2076,2026-05-31 16:00
波动超额状态,振幅未满ATR,3,2124,强,30.98,34.51,65.49,7.06,7.44,34.93,-1.108,-2.8054,0.949,-0.1578,2026-05-31 16:00
波动超额状态,振幅未满ATR,5,2124,强,28.44,35.78,64.22,11.86,21.09,34.32,-1.1044,-3.4513,0.9542,-0.1609,2026-05-31 16:00
波动超额状态,振幅未满ATR,10,2124,中强,21.19,39.41,60.59,19.3,33.62,40.49,-0.325,-3.8815,1.0137,-0.0925,2026-05-31 16:00
波动超额状态,振幅已超ATR,1,1263,弱,0.55,49.72,50.28,6.18,0.0,51.94,1.5703,-0.0691,1.1406,0.0228,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,1263,弱,1.98,50.99,49.01,16.55,2.93,41.96,2.9454,0.2388,1.0369,-0.079,2026-06-02 00:00
波动超额状态,振幅已超ATR,5,1261,弱,2.78,51.39,48.61,23.0,10.94,41.71,3.576,0.2386,1.0215,-0.0867,2026-06-01 16:00
波动超额状态,振幅已超ATR,10,1259,弱,3.1,51.55,48.45,30.02,21.6,34.55,4.4903,0.4578,0.9595,-0.152,2026-05-31 12:00
波动状态,波动压缩,1,1422,强,32.91,33.54,66.46,2.32,0.0,31.93,-0.344,-1.2599,0.9297,-0.1641,2026-05-10 08:00
波动状态,波动压缩,3,1422,中强,19.27,40.37,59.63,8.51,3.87,39.1,0.2798,-1.5242,1.0029,-0.1054,2026-05-10 08:00
