date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,6.59,波动状态,高波动扩张,38.39,1,282,弱,3.55,51.77,48.23,10.64,4.61,45.74,0.7743,0.5682,1.0356,-0.0462
2026-05-30 16:00,6.59,波动状态,高波动扩张,38.39,3,280,中,10,45,55,16.79,14.29,35.71,0.8021,-1.3456,0.9629,-0.1517
2026-05-30 16:00,6.59,波动状态,高波动扩张,38.39,5,278,中强,19.42,40.29,59.71,19.06,22.3,30.94,-0.0845,-2.6986,0.8917,-0.1905
2026-05-30 16:00,6.59,波动状态,高波动扩张,38.39,10,274,强,31.39,34.31,65.69,17.15,39.05,28.83,-4.3048,-5.466,0.8784,-0.2297
2026-05-30 16:00,6.59,短ATR状态,短ATR升温,100,1,651,弱,3.53,51.77,48.23,8.91,2.15,49.16,1.2548,0.1933,1.1176,-0.0069
2026-05-30 16:00,6.59,短ATR状态,短ATR升温,100,3,649,弱,2.62,51.31,48.69,18.95,8.32,41.76,2.7168,0.3831,1.0302,-0.0812
2026-05-30 16:00,6.59,短ATR状态,短ATR升温,100,5,647,弱,2.01,51,49,23.18,13.45,40.49,3.1239,0.305,0.9933,-0.0994
2026-05-30 16:00,6.59,短ATR状态,短ATR升温,100,10,644,弱,4.66,52.33,47.67,28.42,23.76,37.73,3.7792,1.0675,0.9743,-0.119
2026-05-30 16:00,6.59,余动能状态,接近正常动能,62.56,1,888,弱,4.5,47.75,52.25,3.27,0.11,39.75,0.3018,-0.2219,1.0014,-0.1109
2026-05-30 16:00,6.59,余动能状态,接近正常动能,62.56,3,888,中,10.36,44.82,55.18,12.73,6.31,39.19,1.0147,-0.817,1.0066,-0.0948
2026-05-30 16:00,6.59,余动能状态,接近正常动能,62.56,5,887,中,11.16,44.42,55.58,19.28,16.23,37.32,2.2186,-1.6921,0.9965,-0.127
2026-05-30 16:00,6.59,余动能状态,接近正常动能,62.56,10,885,弱,5.31,47.34,52.66,27.68,28.59,38.42,3.4956,-0.9495,0.9861,-0.1131
2026-05-30 16:00,6.59,趋势状态,强趋势上行,100,1,818,中强,15.16,42.42,57.58,3.42,0.73,48.17,0.0237,-0.599,1.0891,-0.0224
2026-05-30 16:00,6.59,趋势状态,强趋势上行,100,3,816,弱,0.98,49.51,50.49,14.46,3.68,47.55,1.7846,-0.0387,1.0705,-0.0272
2026-05-30 16:00,6.59,趋势状态,强趋势上行,100,5,814,弱,6.14,53.07,46.93,22.24,8.11,46.68,3.4848,0.6927,1.0632,-0.0384
2026-05-30 16:00,6.59,趋势状态,强趋势上行,100,10,810,中强,23.46,61.73,38.27,36.3,14.81,43.21,7.6426,4.3229,1.0401,-0.0628
2026-05-30 16:00,6.59,量能状态,量能正常,84.46,1,978,中,12.68,43.66,56.34,3.07,0.41,39.37,0.2477,-0.4814,0.9985,-0.0978
2026-05-30 16:00,6.59,量能状态,量能正常,84.46,3,977,中,13,43.5,56.5,11.36,6.76,39,0.739,-1.257,0.9902,-0.1052
2026-05-30 16:00,6.59,量能状态,量能正常,84.46,5,977,中强,17.3,41.35,58.65,17.2,16.27,38.59,1.1745,-1.9206,0.9789,-0.1262
2026-05-30 16:00,6.59,量能状态,量能正常,84.46,10,977,弱,6.45,46.78,53.22,27.43,29.58,38.89,2.8297,-1.6372,0.9876,-0.1031
