component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,211,中强,20.38,39.81,60.19,9.0,0.47,37.44,0.5331,-1.2786,0.9831,-0.117,2026-05-31
波动超额状态,接近一倍ATR,3,210,中,8.57,45.71,54.29,18.57,10.0,33.81,1.9548,-0.711,0.9792,-0.1467,2026-05-28
波动超额状态,接近一倍ATR,5,209,弱,4.31,47.85,52.15,23.92,18.18,35.41,3.0278,-0.9679,0.9704,-0.143,2026-05-26
波动超额状态,接近一倍ATR,10,206,弱,5.83,52.91,47.09,32.04,26.21,39.81,3.9595,0.9238,1.01,-0.1081,2026-05-21
波动超额状态,振幅未满ATR,1,269,强,27.88,36.06,63.94,4.09,0.74,22.68,-0.813,-2.6019,0.8326,-0.241,2026-05-30
波动超额状态,振幅未满ATR,3,268,中强,23.88,38.06,61.94,14.18,22.01,31.34,-1.6072,-3.1885,0.9019,-0.1744,2026-05-29
波动超额状态,振幅未满ATR,5,267,强,25.84,37.08,62.92,14.98,31.84,33.33,-2.6212,-3.5506,0.9203,-0.181,2026-05-24
波动超额状态,振幅未满ATR,10,266,强,30.83,34.59,65.41,20.3,39.47,30.83,-3.1458,-6.6159,0.9005,-0.166,2026-05-20
波动超额状态,振幅已超ATR,1,141,弱,7.8,53.9,46.1,13.48,0.71,58.87,1.9346,0.6435,1.1897,0.0938,2026-05-27
波动超额状态,振幅已超ATR,3,141,中,14.89,57.45,42.55,21.28,7.8,47.52,3.6657,1.8553,1.0584,-0.0115,2026-05-27
波动超额状态,振幅已超ATR,5,141,中强,23.4,61.7,38.3,34.04,12.06,41.84,6.21,4.4355,1.0362,-0.1061,2026-05-27
波动超额状态,振幅已超ATR,10,140,强,37.14,68.57,31.43,47.86,15.71,40.0,11.3014,9.0773,1.008,-0.1442,2026-05-22
波动状态,波动压缩,1,140,中强,22.86,38.57,61.43,5.0,0.0,33.57,-0.0863,-1.6846,0.9306,-0.1448,2026-05-30
波动状态,波动压缩,3,139,中,9.35,45.32,54.68,14.39,10.79,38.85,0.3105,-1.1903,0.9782,-0.1066,2026-05-24
波动状态,波动压缩,5,139,中,13.67,43.17,56.83,13.67,21.58,40.29,0.5342,-1.4685,1.0398,-0.1187,2026-05-24
波动状态,波动压缩,10,138,中,14.49,42.75,57.25,30.43,21.74,42.03,4.6849,-2.6594,1.0055,-0.0962,2026-05-20
波动状态,常态波动,1,126,强,25.4,37.3,62.7,7.14,0.0,28.57,-0.6706,-2.2788,0.8881,-0.235,2026-05-31
波动状态,常态波动,3,125,中强,16.8,41.6,58.4,21.6,14.4,36.0,0.5106,-2.738,0.9547,-0.1615,2026-05-29
波动状态,常态波动,5,123,中强,15.45,42.28,57.72,21.14,23.58,35.77,-0.2553,-1.7713,0.9202,-0.1678,2026-05-26
波动状态,常态波动,10,121,中,9.09,45.45,54.55,25.62,33.88,33.88,-0.9506,-2.6947,0.9577,-0.1603,2026-05-17
波动状态,低波动启动,1,206,弱,4.85,47.57,52.43,10.68,0.0,53.4,1.7855,-0.1498,1.1446,0.0271,2026-05-23
波动状态,低波动启动,3,206,中,11.65,55.83,44.17,20.39,4.37,47.09,4.2252,1.1396,1.0914,-0.0289,2026-05-23
波动状态,低波动启动,5,206,中强,19.42,59.71,40.29,32.04,7.77,44.17,7.0512,3.9502,1.0505,-0.0505,2026-05-23
波动状态,低波动启动,10,205,强,36.59,68.29,31.71,43.9,12.68,42.44,11.7901,6.336,1.0485,-0.0736,2026-05-22
波动状态,高波动扩张,1,44,样本偏少,13.64,43.18,56.82,15.91,4.55,43.18,1.2372,-1.9668,1.0769,-0.1423,2026-05-27
波动状态,高波动扩张,3,44,样本偏少,13.64,43.18,56.82,15.91,22.73,22.73,-0.0577,-2.2744,0.8384,-0.2942,2026-05-27
波动状态,高波动扩张,5,44,样本偏少,0.0,50.0,50.0,29.55,27.27,27.27,-0.0202,-0.2345,0.8945,-0.2964,2026-05-27
波动状态,高波动扩张,10,43,样本偏少,2.33,48.84,51.16,37.21,44.19,30.23,-0.3184,-2.9763,0.8422,-0.2791,2026-02-14
波动状态,高波动冷却,1,105,样本偏少,25.71,37.14,62.86,3.81,1.9,10.48,-1.5153,-2.9266,0.7027,-0.3441,2026-02-23
波动状态,高波动冷却,3,105,样本偏少,42.86,28.57,71.43,10.48,37.14,15.24,-4.5544,-6.764,0.7575,-0.3206,2026-02-23
波动状态,高波动冷却,5,105,样本偏少,44.76,27.62,72.38,13.33,50.48,18.1,-6.5327,-10.1852,0.7729,-0.2961,2026-02-23
