component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,788,中强,24.87,37.56,62.44,4.57,0.0,41.88,0.1901,-1.1539,1.0075,-0.0987,2026-06-01 00:00
波动超额状态,接近一倍ATR,3,788,中,10.91,44.54,55.46,12.44,5.96,40.23,0.8951,-1.1201,0.9888,-0.121,2026-06-01 00:00
波动超额状态,接近一倍ATR,5,787,中,8.77,45.62,54.38,18.17,16.26,40.91,1.7681,-1.1047,0.9955,-0.0945,2026-05-30 00:00
波动超额状态,接近一倍ATR,10,787,弱,6.99,46.51,53.49,27.06,26.81,39.14,2.2565,-1.557,0.9664,-0.1147,2026-05-30 00:00
波动超额状态,振幅未满ATR,1,969,强,38.29,30.86,69.14,2.06,0.0,30.13,-0.7928,-1.9177,0.8652,-0.204,2026-05-31 08:00
波动超额状态,振幅未满ATR,3,969,强,34.98,32.51,67.49,7.84,11.56,33.13,-1.5795,-3.3923,0.9146,-0.1676,2026-05-31 08:00
波动超额状态,振幅未满ATR,5,969,强,30.24,34.88,65.12,11.35,22.5,37.67,-1.8404,-3.9482,0.9534,-0.1383,2026-05-31 08:00
波动超额状态,振幅未满ATR,10,965,强,28.91,35.54,64.46,21.24,34.2,41.14,-1.1951,-5.3413,0.9831,-0.1077,2026-05-29 00:00
波动超额状态,振幅已超ATR,1,569,中,8.61,45.69,54.31,6.68,0.0,52.2,1.52,-0.3423,1.1232,0.0231,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,567,弱,6.88,53.44,46.56,19.05,4.06,49.38,3.1033,0.9081,1.0656,-0.0039,2026-06-01 08:00
波动超额状态,振幅已超ATR,5,566,弱,2.47,51.24,48.76,24.73,13.96,40.64,3.6739,0.5152,0.9896,-0.1124,2026-05-31 16:00
波动超额状态,振幅已超ATR,10,565,弱,0.88,50.44,49.56,33.45,24.07,37.52,4.7853,0.2468,0.9818,-0.1391,2026-05-29 08:00
波动状态,波动压缩,1,685,强,33.14,33.43,66.57,2.19,0.0,34.74,-0.4931,-1.6478,0.9055,-0.1656,2026-05-31 08:00
波动状态,波动压缩,3,685,中强,20.58,39.71,60.29,9.34,6.42,37.23,-0.0698,-1.8365,0.9628,-0.1211,2026-05-31 08:00
波动状态,波动压缩,5,685,中强,15.62,42.19,57.81,12.41,14.74,41.75,0.5627,-1.9695,0.9987,-0.0813,2026-05-31 08:00
波动状态,波动压缩,10,681,中,12.19,43.91,56.09,23.94,21.59,46.4,2.8437,-2.6977,1.0356,-0.0333,2026-05-26 00:00
波动状态,常态波动,1,335,强,31.94,34.03,65.97,4.78,0.0,39.4,-0.0549,-1.7299,0.968,-0.1445,2026-05-30 00:00
波动状态,常态波动,3,335,中强,22.99,38.51,61.49,10.75,8.06,36.12,-0.2663,-2.6271,0.9252,-0.1353,2026-05-30 00:00
波动状态,常态波动,5,335,强,25.37,37.31,62.69,17.01,20.6,38.81,-0.3087,-3.5492,0.9472,-0.1353,2026-05-30 00:00
波动状态,常态波动,10,335,中强,23.58,38.21,61.79,24.48,30.75,39.1,-0.2582,-4.5523,0.9573,-0.1246,2026-05-30 00:00
波动状态,低波动启动,1,799,中,9.89,45.06,54.94,4.88,0.0,51.81,1.2103,-0.376,1.1093,0.0118,2026-06-02 00:00
波动状态,低波动启动,3,797,中,8.91,54.45,45.55,17.44,2.01,50.69,2.7947,0.9156,1.0847,0.0044,2026-06-01 08:00
波动状态,低波动启动,5,795,中,9.69,54.84,45.16,24.65,11.07,46.79,4.3588,1.2574,1.0532,-0.0333,2026-05-31 16:00
波动状态,低波动启动,10,794,中,14.11,57.05,42.95,36.15,19.02,40.81,6.8661,2.6992,1.0085,-0.1119,2026-05-29 08:00
波动状态,高波动扩张,1,197,强,26.9,36.55,63.45,8.63,0.0,39.09,0.3141,-1.6322,1.0011,-0.1148,2026-05-28 08:00
