date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,0.19,波动状态,波动压缩,33.86,1,681,强,25.4,37.3,62.7,0.73,0,34.51,-0.4815,-1.1059,0.9093,-0.1703
2026-05-30 16:00,0.19,波动状态,波动压缩,33.86,3,680,中强,21.76,39.12,60.88,8.82,6.91,37.06,-0.2088,-1.8834,0.9592,-0.1205
2026-05-30 16:00,0.19,波动状态,波动压缩,33.86,5,680,中,13.82,43.09,56.91,13.38,14.56,41.03,0.6303,-1.5908,0.9926,-0.0892
2026-05-30 16:00,0.19,波动状态,波动压缩,33.86,10,680,中,8.53,45.74,54.26,23.97,21.03,47.35,2.9709,-1.9218,1.0439,-0.0236
2026-05-30 16:00,0.19,短ATR状态,短ATR降温,100,1,852,强,30.05,34.98,65.02,0.94,0.12,30.52,-0.7998,-1.4021,0.8752,-0.202
2026-05-30 16:00,0.19,短ATR状态,短ATR降温,100,3,851,强,31.14,34.43,65.57,7.17,8.23,36.19,-1.4131,-2.6728,0.937,-0.1457
2026-05-30 16:00,0.19,短ATR状态,短ATR降温,100,5,851,强,29.49,35.25,64.75,12.22,21.27,38.78,-1.3888,-3.6005,0.9674,-0.1204
2026-05-30 16:00,0.19,短ATR状态,短ATR降温,100,10,850,中强,23.53,38.24,61.76,20.71,32.71,42.59,-1.0069,-4.8384,1.0056,-0.0795
2026-05-30 16:00,0.19,余动能状态,余动能不足,37.2,1,966,强,31.68,34.16,65.84,0.41,0,30.12,-0.8766,-1.3744,0.8651,-0.2035
2026-05-30 16:00,0.19,余动能状态,余动能不足,37.2,3,965,强,33.89,33.06,66.94,6.74,9.74,32.95,-1.6455,-3.021,0.9138,-0.1682
2026-05-30 16:00,0.19,余动能状态,余动能不足,37.2,5,965,强,30.36,34.82,65.18,11.4,21.97,37.41,-1.7961,-3.9229,0.9515,-0.1393
2026-05-30 16:00,0.19,余动能状态,余动能不足,37.2,10,963,强,28.56,35.72,64.28,20.35,33.75,41.02,-1.1061,-5.275,0.9827,-0.1088
2026-05-30 16:00,0.19,趋势状态,强趋势下行,100,1,906,中,10.6,44.7,55.3,3.42,0.77,32.56,0.3278,-0.4985,0.9004,-0.2004
2026-05-30 16:00,0.19,趋势状态,强趋势下行,100,3,904,强,26.77,36.62,63.38,10.51,11.5,33.52,-0.5268,-2.5736,0.9041,-0.1827
2026-05-30 16:00,0.19,趋势状态,强趋势下行,100,5,902,强,32.37,33.81,66.19,12.2,26.39,31.37,-1.434,-4.8304,0.9035,-0.196
2026-05-30 16:00,0.19,趋势状态,强趋势下行,100,10,897,强,38.24,30.88,69.12,16.28,41.03,37.12,-3.7613,-7.0795,0.9449,-0.1412
2026-05-30 16:00,0.19,量能状态,缩量,59.94,1,1068,强,25.09,37.45,62.55,0.66,0.28,29.4,-0.7211,-1.203,0.8663,-0.2223
2026-05-30 16:00,0.19,量能状态,缩量,59.94,3,1067,强,29.9,35.05,64.95,6.94,9.84,33.18,-1.3224,-2.7701,0.9135,-0.1771
2026-05-30 16:00,0.19,量能状态,缩量,59.94,5,1067,强,26.71,36.64,63.36,12.37,22.02,37.58,-1.3088,-3.7307,0.9562,-0.1318
2026-05-30 16:00,0.19,量能状态,缩量,59.94,10,1066,强,26.45,36.77,63.23,20.26,33.96,39.4,-1.4637,-5.1519,0.9587,-0.1198
