date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0.32,波动状态,波动压缩,66.45,1,214,强,27.1,36.45,63.55,2.8,0,36.45,-0.3211,-1.1906,0.928,-0.1619
2026-05-29,0.32,波动状态,波动压缩,66.45,3,213,中强,21.13,39.44,60.56,12.68,7.04,37.56,1.1465,-1.8069,0.9767,-0.1329
2026-05-29,0.32,波动状态,波动压缩,66.45,5,211,中,9.95,45.02,54.98,19.43,17.06,41.71,1.7282,-1.3102,1.0183,-0.0834
2026-05-29,0.32,波动状态,波动压缩,66.45,10,208,弱,6.73,46.63,53.37,30.29,27.88,40.87,3.5839,-0.6228,1.0081,-0.1278
2026-05-29,0.32,短ATR状态,短ATR降温,100,1,506,中强,20.55,39.72,60.28,3.75,0.4,27.67,-0.522,-1.1332,0.8618,-0.2142
2026-05-29,0.32,短ATR状态,短ATR降温,100,3,505,强,26.34,36.83,63.17,9.9,16.04,29.5,-1.6297,-3.1029,0.8743,-0.1954
2026-05-29,0.32,短ATR状态,短ATR降温,100,5,503,强,28.83,35.59,64.41,13.32,29.03,33.6,-2.291,-3.5284,0.913,-0.1773
2026-05-29,0.32,短ATR状态,短ATR降温,100,10,498,中强,22.49,38.76,61.24,22.29,36.55,38.15,-2.2837,-5.1737,0.9608,-0.1387
2026-05-29,0.32,余动能状态,余动能不足,44.4,1,494,强,25.51,37.25,62.75,2.23,0,27.33,-0.8305,-1.3511,0.8457,-0.2599
2026-05-29,0.32,余动能状态,余动能不足,44.4,3,493,强,29.01,35.5,64.5,12.58,17.24,30.63,-0.8154,-3.1471,0.911,-0.1966
2026-05-29,0.32,余动能状态,余动能不足,44.4,5,491,中强,24.24,37.88,62.12,16.5,28.92,33.4,-1.465,-3.4385,0.9262,-0.1696
2026-05-29,0.32,余动能状态,余动能不足,44.4,10,488,中强,24.18,37.91,62.09,23.16,40.37,37.7,-2.2276,-5.2077,0.9594,-0.1601
2026-05-29,0.32,趋势状态,强趋势下行,100,1,527,弱,7.78,46.11,53.89,6.83,1.9,25.05,0.4187,-0.4952,0.8457,-0.2661
2026-05-29,0.32,趋势状态,强趋势下行,100,3,525,强,27.62,36.19,63.81,11.62,18.48,27.81,-0.9246,-3.1185,0.8647,-0.2303
2026-05-29,0.32,趋势状态,强趋势下行,100,5,523,强,28.49,35.76,64.24,13.77,32.5,29.45,-2.3957,-4.258,0.8812,-0.2079
2026-05-29,0.32,趋势状态,强趋势下行,100,10,518,强,34.75,32.63,67.37,18.92,45.95,29.92,-4.505,-8.1771,0.9002,-0.1987
2026-05-29,0.32,量能状态,缩量,68.16,1,506,中强,21.34,39.33,60.67,2.96,0.79,25.89,-0.7549,-1.2722,0.8316,-0.2686
2026-05-29,0.32,量能状态,缩量,68.16,3,504,强,30.16,34.92,65.08,11.11,17.26,28.57,-0.9178,-3.2051,0.8924,-0.2051
2026-05-29,0.32,量能状态,缩量,68.16,5,502,强,25.9,37.05,62.95,16.14,30.88,34.46,-1.5333,-3.6841,0.9412,-0.1624
2026-05-29,0.32,量能状态,缩量,68.16,10,497,强,27.97,36.02,63.98,19.92,39.84,35.61,-2.6799,-5.9253,0.9146,-0.1683
