date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01 16:00,0.33,波动状态,低波动启动,81.85,1,1932,弱,5.59,47.2,52.8,5.49,0,48.19,1.2235,-0.259,1.1224,-0.0246
2026-06-01 16:00,0.33,波动状态,低波动启动,81.85,3,1931,弱,6.37,53.18,46.82,17.04,2.38,44.17,2.8233,0.441,1.0753,-0.0588
2026-06-01 16:00,0.33,波动状态,低波动启动,81.85,5,1929,弱,6.58,53.29,46.71,21.98,8.04,42.77,3.9062,0.757,1.0383,-0.0831
2026-06-01 16:00,0.33,波动状态,低波动启动,81.85,10,1927,中,14.69,57.34,42.66,34.25,16.5,38.66,6.957,2.9413,1.0034,-0.1094
2026-06-01 16:00,0.33,短ATR状态,短ATR升温,57.39,1,2106,弱,6.74,46.63,53.37,5.56,0,47.53,1.1593,-0.2828,1.1086,-0.0234
2026-06-01 16:00,0.33,短ATR状态,短ATR升温,57.39,3,2106,弱,1.52,49.24,50.76,15.62,3.61,41.74,2.3561,-0.1962,1.0322,-0.0829
2026-06-01 16:00,0.33,短ATR状态,短ATR升温,57.39,5,2106,弱,3.23,48.39,51.61,20.8,12.01,41.07,2.9685,-0.2887,1.0129,-0.0942
2026-06-01 16:00,0.33,短ATR状态,短ATR升温,57.39,10,2106,弱,1.42,49.29,50.71,27.78,24.5,36.56,3.4128,-0.2577,0.9748,-0.1368
2026-06-01 16:00,0.33,波动超额状态,振幅已超ATR,46.42,1,1931,弱,1.19,49.4,50.6,6.06,0,51.94,1.4836,-0.0716,1.1596,0.024
2026-06-01 16:00,0.33,波动超额状态,振幅已超ATR,46.42,3,1931,弱,3.68,51.84,48.16,17.4,3.21,41.95,2.9155,0.2937,1.053,-0.0752
2026-06-01 16:00,0.33,波动超额状态,振幅已超ATR,46.42,5,1929,弱,1.61,50.8,49.2,21.72,11.72,40.28,3.3932,0.18,1.0029,-0.1067
2026-06-01 16:00,0.33,波动超额状态,振幅已超ATR,46.42,10,1928,弱,2.28,51.14,48.86,30.45,22.3,36.2,4.4916,0.5961,0.9756,-0.141
2026-06-01 16:00,0.33,趋势状态,弱趋势上行,60.32,1,532,中强,15.04,42.48,57.52,4.32,0,44.92,0.6034,-0.5747,1.059,-0.0533
2026-06-01 16:00,0.33,趋势状态,弱趋势上行,60.32,3,532,中,8.65,45.68,54.32,12.22,2.63,40.23,1.1687,-0.6069,1.0141,-0.1192
2026-06-01 16:00,0.33,趋势状态,弱趋势上行,60.32,5,531,弱,1.32,50.66,49.34,17.14,10.92,40.87,2.2069,0.1694,1.0217,-0.1143
2026-06-01 16:00,0.33,趋势状态,弱趋势上行,60.32,10,530,弱,6.04,53.02,46.98,26.98,19.62,38.68,4.1561,1.2754,0.9974,-0.1279
2026-06-01 16:00,0.33,量能状态,量能正常,91.52,1,2839,中强,20.04,39.98,60.02,4.44,0,40.19,0.445,-0.9073,1.0176,-0.1007
2026-06-01 16:00,0.33,量能状态,量能正常,91.52,3,2839,中,10.32,44.84,55.16,12.93,4.4,39.52,1.1954,-0.9526,1.011,-0.1094
2026-06-01 16:00,0.33,量能状态,量能正常,91.52,5,2839,中,10.11,44.95,55.05,18.39,14.09,37.48,1.6854,-1.2841,0.9897,-0.1258
2026-06-01 16:00,0.33,量能状态,量能正常,91.52,10,2836,弱,7.05,46.47,53.53,27.01,25.95,36.25,2.6412,-1.5166,0.9621,-0.1451
