date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,9.2,波动状态,波动压缩,17.49,1,788,中强,23.1,38.45,61.55,2.41,0.25,33.38,-0.3301,-1.157,0.9193,-0.1986
2026-05-29,9.2,波动状态,波动压缩,17.49,3,787,中强,23.51,38.25,61.75,13.34,8.01,41.55,0.1628,-1.9289,1.0181,-0.0976
2026-05-29,9.2,波动状态,波动压缩,17.49,5,785,中强,20.25,39.87,60.13,17.2,20.51,39.11,0.4522,-3.2812,1.0002,-0.1225
2026-05-29,9.2,波动状态,波动压缩,17.49,10,784,中,12.5,43.75,56.25,26.02,31.63,41.33,2.6212,-2.8342,1.0425,-0.0856
2026-05-29,9.2,短ATR状态,短ATR中性,95.2,1,934,弱,5.57,47.22,52.78,5.46,3,37.47,0.124,-0.3148,0.9839,-0.1417
2026-05-29,9.2,短ATR状态,短ATR中性,95.2,3,932,中强,18.45,40.77,59.23,13.63,14.27,37.23,0.3125,-1.5736,0.9867,-0.1358
2026-05-29,9.2,短ATR状态,短ATR中性,95.2,5,930,中强,19.35,40.32,59.68,19.25,23.23,37.96,1.0497,-3.0332,0.9985,-0.136
2026-05-29,9.2,短ATR状态,短ATR中性,95.2,10,928,中,14.01,43,57,27.26,35.56,40.41,2.7251,-4.0388,1.0116,-0.1209
2026-05-29,9.2,余动能状态,接近正常动能,41.81,1,898,弱,0.45,50.22,49.78,4.45,3.01,38.31,0.2457,0.0459,0.9864,-0.1259
2026-05-29,9.2,余动能状态,接近正常动能,41.81,3,898,中,14.25,42.87,57.13,14.81,12.81,36.86,0.8211,-1.5537,0.9775,-0.1384
2026-05-29,9.2,余动能状态,接近正常动能,41.81,5,898,中,12.25,43.88,56.12,20.27,21.83,39.98,1.5606,-1.5959,1.0026,-0.1104
2026-05-29,9.2,余动能状态,接近正常动能,41.81,10,895,中,11.28,44.36,55.64,27.82,34.53,39.66,2.5446,-2.8055,1.0064,-0.1213
2026-05-29,9.2,趋势状态,强趋势下行,100,1,1020,中,8.43,45.78,54.22,7.65,2.94,25.69,0.564,-0.5937,0.8493,-0.2545
2026-05-29,9.2,趋势状态,强趋势下行,100,3,1018,强,30.06,34.97,65.03,13.26,20.04,25.54,-0.8805,-3.3887,0.8469,-0.2441
2026-05-29,9.2,趋势状态,强趋势下行,100,5,1017,强,38.25,30.88,69.12,13.57,36.28,26.94,-2.612,-6.7928,0.8602,-0.233
2026-05-29,9.2,趋势状态,强趋势下行,100,10,1017,强,47.1,26.45,73.55,16.52,53.2,30.58,-6.0597,-11.0984,0.9073,-0.2069
2026-05-29,9.2,量能状态,缩量,25.19,1,1124,中强,24.56,37.72,62.28,3.38,1.69,26.25,-0.7667,-1.5263,0.8414,-0.2589
2026-05-29,9.2,量能状态,缩量,25.19,3,1123,强,31.79,34.11,65.89,11.49,17.63,30.81,-1.503,-3.5483,0.9042,-0.2023
2026-05-29,9.2,量能状态,缩量,25.19,5,1123,强,33.57,33.21,66.79,12.91,30.72,32.59,-2.5401,-5.4421,0.9241,-0.1951
2026-05-29,9.2,量能状态,缩量,25.19,10,1121,强,33.81,33.1,66.9,19.09,45.05,35.77,-3.5012,-8.0861,0.974,-0.1492
