date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-24,9.1,波动状态,波动压缩,31.07,1,37,样本偏少,8.11,45.95,54.05,18.92,13.51,18.92,1.8624,-0.9373,0.8549,-0.2647
2026-05-24,9.1,波动状态,波动压缩,31.07,3,36,样本偏少,11.11,44.44,55.56,33.33,33.33,36.11,3.6725,-4.5449,1.0215,-0.1454
2026-05-24,9.1,波动状态,波动压缩,31.07,5,35,样本偏少,8.57,45.71,54.29,37.14,31.43,31.43,4.3194,-0.5358,1.0142,-0.1704
2026-05-24,9.1,波动状态,波动压缩,31.07,10,33,样本偏少,33.33,33.33,66.67,27.27,39.39,30.3,3.1779,-7.0904,0.9624,-0.1704
2026-05-24,9.1,短ATR状态,短ATR降温,100.0,1,114,样本偏少,31.58,34.21,65.79,10.53,25.44,16.67,-2.1884,-4.2087,0.7493,-0.3288
2026-05-24,9.1,短ATR状态,短ATR降温,100.0,3,112,样本偏少,39.29,30.36,69.64,16.07,40.18,18.75,-5.4756,-7.3941,0.764,-0.3103
2026-05-24,9.1,短ATR状态,短ATR降温,100.0,5,110,样本偏少,52.73,23.64,76.36,15.45,54.55,21.82,-9.3093,-12.8588,0.842,-0.3002
2026-05-24,9.1,短ATR状态,短ATR降温,100.0,10,105,样本偏少,67.62,16.19,83.81,6.67,63.81,30.48,-17.227,-17.1025,0.932,-0.2803
2026-05-24,9.1,波动超额状态,振幅未满ATR,35.56,1,106,样本偏少,26.42,36.79,63.21,10.38,25.47,12.26,-1.8399,-3.6911,0.7197,-0.3516
2026-05-24,9.1,波动超额状态,振幅未满ATR,35.56,3,104,样本偏少,28.85,35.58,64.42,21.15,38.46,22.12,-2.4631,-5.3952,0.8013,-0.3101
2026-05-24,9.1,波动超额状态,振幅未满ATR,35.56,5,103,样本偏少,43.69,28.16,71.84,22.33,52.43,18.45,-5.6441,-11.3231,0.7862,-0.3255
2026-05-24,9.1,波动超额状态,振幅未满ATR,35.56,10,98,样本偏少,46.94,26.53,73.47,13.27,51.02,23.47,-10.2589,-10.1357,0.8389,-0.2838
2026-05-24,9.1,趋势状态,弱趋势混合,75.0,1,32,样本偏少,31.25,65.63,34.38,15.63,6.25,12.5,2.4465,2.8933,0.7916,-0.2808
2026-05-24,9.1,趋势状态,弱趋势混合,75.0,3,30,样本偏少,13.33,56.67,43.33,20.0,6.67,23.33,1.9348,2.1806,0.7627,-0.32
2026-05-24,9.1,趋势状态,弱趋势混合,75.0,5,30,样本偏少,20.0,40.0,60.0,26.67,30.0,20.0,-0.3582,-1.1541,0.9105,-0.2664
2026-05-24,9.1,趋势状态,弱趋势混合,75.0,10,30,样本偏少,53.33,23.33,76.67,20.0,50.0,43.33,-10.2625,-10.0159,0.9459,-0.1124
2026-05-24,9.1,量能状态,缩量,24.34,1,102,样本偏少,25.49,37.25,62.75,13.73,26.47,16.67,-1.6808,-4.1448,0.7391,-0.3431
2026-05-24,9.1,量能状态,缩量,24.34,3,102,样本偏少,31.37,34.31,65.69,22.55,43.14,22.55,-3.9608,-6.7179,0.7828,-0.3089
2026-05-24,9.1,量能状态,缩量,24.34,5,101,样本偏少,44.55,27.72,72.28,21.78,58.42,20.79,-7.8575,-13.0925,0.8005,-0.2929
2026-05-24,9.1,量能状态,缩量,24.34,10,97,样本偏少,42.27,28.87,71.13,15.46,56.7,34.02,-13.8086,-15.8802,0.9861,-0.1966
