date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-31 00:00,9.26,波动状态,波动压缩,30.66,1,1409,强,32.86,33.57,66.43,2.84,0,32.86,-0.2894,-1.32,0.9402,-0.1783
2026-05-31 00:00,9.26,波动状态,波动压缩,30.66,3,1407,中强,17.7,41.15,58.85,10.8,5.12,36.46,0.2284,-1.705,0.9918,-0.1326
2026-05-31 00:00,9.26,波动状态,波动压缩,30.66,5,1405,弱,4.91,47.54,52.46,19.15,16.37,38.29,1.4331,-0.8134,1.0243,-0.1231
2026-05-31 00:00,9.26,波动状态,波动压缩,30.66,10,1404,中,11.25,55.63,44.37,31.91,21.72,43.09,4.6946,2.0685,1.0839,-0.0761
2026-05-31 00:00,9.26,短ATR状态,短ATR降温,100,1,2511,强,39.78,30.11,69.89,1.83,0,28.2,-0.7569,-1.6155,0.8832,-0.2231
2026-05-31 00:00,9.26,短ATR状态,短ATR降温,100,3,2509,强,30.17,34.91,65.09,9.61,7.49,33.88,-0.9659,-3.1279,0.958,-0.1754
2026-05-31 00:00,9.26,短ATR状态,短ATR降温,100,5,2509,中强,23.16,38.42,61.58,14.95,23.52,34.79,-1.0044,-3.6119,0.9662,-0.1607
2026-05-31 00:00,9.26,短ATR状态,短ATR降温,100,10,2509,中,10.48,44.76,55.24,25.03,30.29,38.5,0.9128,-2.3212,1.0156,-0.1156
2026-05-31 00:00,9.26,余动能状态,余动能不足,21.14,1,3299,强,40.28,29.86,70.14,1.82,0,28.98,-0.707,-1.5722,0.889,-0.2137
2026-05-31 00:00,9.26,余动能状态,余动能不足,21.14,3,3297,强,28.78,35.61,64.39,8.86,7.64,33.79,-1.0376,-2.9888,0.9461,-0.1749
2026-05-31 00:00,9.26,余动能状态,余动能不足,21.14,5,3295,中强,22.12,38.94,61.06,14.29,22.79,34.6,-0.7807,-3.3051,0.9667,-0.1612
2026-05-31 00:00,9.26,余动能状态,余动能不足,21.14,10,3294,中强,15.97,42.02,57.98,22.43,33.09,38.89,0.0032,-3.4763,1.0092,-0.1154
2026-05-31 00:00,9.26,趋势状态,趋势不明,63.54,1,1596,强,27.32,36.34,63.66,3.07,0,34.21,-0.1374,-1.1736,0.9561,-0.1643
2026-05-31 00:00,9.26,趋势状态,趋势不明,63.54,3,1595,中强,23.39,38.31,61.69,9.97,5.27,34.04,-0.0297,-2.1584,0.9749,-0.1601
2026-05-31 00:00,9.26,趋势状态,趋势不明,63.54,5,1593,中强,17.39,41.31,58.69,15.51,18.9,37.48,0.7605,-2.4235,1.008,-0.1327
2026-05-31 00:00,9.26,趋势状态,趋势不明,63.54,10,1591,弱,6.6,46.7,53.3,25.96,28.47,36.39,2.6439,-1.2642,1.0038,-0.1362
2026-05-31 00:00,9.26,量能状态,缩量,67.7,1,3548,强,39.01,30.5,69.5,1.86,0,28.33,-0.7632,-1.571,0.8835,-0.2168
2026-05-31 00:00,9.26,量能状态,缩量,67.7,3,3546,强,29.72,35.14,64.86,8.8,8.26,33.47,-1.0757,-2.9306,0.9447,-0.1754
2026-05-31 00:00,9.26,量能状态,缩量,67.7,5,3544,中强,23.14,38.43,61.57,13.54,22.12,35.81,-1.0222,-3.215,0.9685,-0.1535
2026-05-31 00:00,9.26,量能状态,缩量,67.7,10,3542,中强,17.05,41.47,58.53,21.34,33.85,38.71,-0.169,-3.5708,1.0101,-0.1184
