component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,667,强,30.73,34.63,65.37,1.8,0,33.28,-0.2682,-1.2709,0.9354,-0.1795,2026-05-30 08:00
波动状态,波动压缩,3,666,中强,16.82,41.59,58.41,11.71,5.71,38.44,0.3139,-1.5987,0.9827,-0.1369,2026-05-29 16:00
波动状态,波动压缩,5,665,弱,3.46,48.27,51.73,16.84,13.23,43.91,1.7862,-0.415,1.0612,-0.0644,2026-05-29 00:00
波动状态,波动压缩,10,663,中,8.6,54.3,45.7,29.56,19.46,42.99,5.4298,1.6192,1.0612,-0.0594,2026-05-27 08:00
波动状态,常态波动,1,653,中,14.24,42.88,57.12,2.76,0,42.27,0.2266,-0.5202,1.0211,-0.0617,2026-05-28 16:00
波动状态,常态波动,3,653,弱,5.97,47.01,52.99,12.25,3.83,39.82,1.1765,-0.6151,1.0096,-0.1123,2026-05-28 16:00
波动状态,常态波动,5,653,中,9.34,45.33,54.67,18.84,12.4,39.51,1.5373,-1.232,0.9986,-0.083,2026-05-28 16:00
波动状态,常态波动,10,652,弱,4.6,47.7,52.3,27.15,25.15,39.88,2.7751,-0.8951,1.0087,-0.1145,2026-05-24 16:00
波动状态,低波动启动,1,769,中,9.75,54.88,45.12,5.85,0,49.15,1.4038,0.514,1.1329,-0.0096,2026-05-30 00:00
波动状态,低波动启动,3,768,中强,17.71,58.85,41.15,14.45,2.99,47.4,3.2648,1.1643,1.103,-0.0229,2026-05-29 08:00
波动状态,低波动启动,5,767,中强,19.95,59.97,40.03,22.56,7.82,42.11,5.1679,2.2023,1.042,-0.0833,2026-05-28 00:00
波动状态,低波动启动,10,765,中强,21.57,60.78,39.22,34.12,15.29,41.57,8.7411,4.6336,1.0417,-0.0935,2026-05-26 08:00
波动状态,高波动扩张,1,756,弱,5.82,52.91,47.09,5.56,1.59,42.2,0.66,0.4225,1.046,-0.0713,2026-03-04 08:00
波动状态,高波动扩张,3,756,中,11.38,44.31,55.69,14.15,8.47,36.77,1.083,-1.1697,0.9834,-0.118,2026-03-04 08:00
波动状态,高波动扩张,5,756,中,14.02,42.99,57.01,17.86,18.78,34.52,0.679,-2.1551,0.9444,-0.1414,2026-03-04 08:00
波动状态,高波动扩张,10,756,中强,21.69,39.15,60.85,21.03,34.39,34.79,-0.7322,-4.367,0.9307,-0.1573,2026-03-04 08:00
波动状态,高波动冷却,1,921,强,41.37,29.32,70.68,1.3,0,26.6,-1.1738,-1.7932,0.8426,-0.2493,2026-03-07 00:00
波动状态,高波动冷却,3,921,强,42.67,28.66,71.34,5.1,12.92,30.51,-2.7442,-4.122,0.8935,-0.201,2026-03-07 00:00
波动状态,高波动冷却,5,921,强,45.93,27.04,72.96,8.58,29.21,33.12,-3.6876,-5.9123,0.9285,-0.1777,2026-03-07 00:00
波动状态,高波动冷却,10,921,强,45.93,27.04,72.96,13.79,46.04,33.98,-5.1855,-8.8728,0.9358,-0.1538,2026-03-07 00:00
短ATR状态,短ATR降温,1,1256,强,33.76,33.12,66.88,2.07,0,31.93,-0.5958,-1.3366,0.9051,-0.1995,2026-05-30 08:00
短ATR状态,短ATR降温,3,1255,强,26.69,36.65,63.35,8.76,8.61,35.62,-0.9268,-2.4355,0.9539,-0.1551,2026-05-29 00:00
短ATR状态,短ATR降温,5,1255,中强,23.51,38.25,61.75,13.47,19.36,39.2,-0.6744,-2.6187,0.9955,-0.1276,2026-05-29 00:00
短ATR状态,短ATR降温,10,1254,中强,19.3,40.35,59.65,22.17,32.46,39.47,-0.1756,-4.0244,1.0001,-0.1162,2026-05-27 08:00
短ATR状态,短ATR升温,1,1059,弱,2.36,51.18,48.82,5.76,0.94,46.55,0.9708,0.1138,1.0991,-0.0297,2026-05-28 00:00
短ATR状态,短ATR升温,3,1059,弱,3.31,51.65,48.35,14.92,5.85,41.55,1.9796,0.4116,1.0288,-0.0668,2026-05-28 00:00
短ATR状态,短ATR升温,5,1059,弱,3.87,51.94,48.06,19.74,12.75,40.42,2.3498,0.3006,1.0034,-0.1038,2026-05-28 00:00
短ATR状态,短ATR升温,10,1058,弱,2.27,51.13,48.87,28.64,24.67,39.7,3.6278,0.5461,1.0014,-0.1007,2026-05-24 08:00
短ATR状态,短ATR中性,1,1451,中,11.1,44.45,55.55,2.89,0.14,37.63,0.1287,-0.5898,0.9841,-0.1252,2026-05-30 00:00
短ATR状态,短ATR中性,3,1450,中,13.38,43.31,56.69,10.69,6.83,38.07,0.5812,-1.2807,0.9934,-0.1265,2026-05-29 16:00
短ATR状态,短ATR中性,5,1448,中,14.23,42.89,57.11,16.85,18.09,35.84,1.1261,-1.9947,0.9766,-0.1385,2026-05-28 16:00
短ATR状态,短ATR中性,10,1445,中,12.25,43.88,56.12,23.46,29.48,36.26,2.1791,-2.453,0.9758,-0.1385,2026-05-26 08:00
量能状态,放量,1,659,弱,7.13,53.57,46.43,7.13,1.21,50.53,1.391,0.5311,1.1621,0.0086,2026-05-28 00:00
量能状态,放量,3,659,中,14.72,57.36,42.64,16.39,4.25,47.65,3.0119,1.5316,1.0856,-0.0229,2026-05-28 00:00
量能状态,放量,5,659,中,13.81,56.9,43.1,23.67,10.47,40.97,4.0471,1.8503,1.0263,-0.0814,2026-05-28 00:00
量能状态,放量,10,658,中,10.64,55.32,44.68,31.61,19,40.58,5.8726,1.8835,1.0027,-0.1091,2026-05-26 08:00
量能状态,量能正常,1,1507,弱,7.37,46.32,53.68,3.45,0.27,40.74,0.376,-0.3172,1.0156,-0.0859,2026-05-30 00:00
量能状态,量能正常,3,1506,弱,7.44,46.28,53.72,11.82,5.71,37.92,0.9942,-0.6958,0.9966,-0.1197,2026-05-29 08:00
量能状态,量能正常,5,1505,中,8.04,45.98,54.02,16.61,15.55,37.48,1.349,-1.0604,0.9835,-0.1267,2026-05-28 08:00
量能状态,量能正常,10,1503,弱,7.25,46.37,53.63,26.68,28.61,37.79,2.463,-1.2793,0.9965,-0.1245,2026-05-27 08:00
量能状态,缩量,1,1600,强,31,34.5,65.5,1.88,0,30.81,-0.6355,-1.435,0.8953,-0.2068,2026-05-30 08:00
量能状态,缩量,3,1599,强,29.96,35.02,64.98,8.57,9.69,34.65,-1.0669,-2.7917,0.9449,-0.1632,2026-05-29 16:00
量能状态,缩量,5,1598,强,26.91,36.55,63.45,13.52,21.09,37.86,-0.8916,-3.4125,0.9822,-0.129,2026-05-29 00:00
量能状态,缩量,10,1596,中强,22.31,38.85,61.15,19.49,33.77,37.84,-0.5007,-4.3263,0.9813,-0.1227,2026-05-27 00:00
趋势状态,强趋势上行,1,1167,弱,7.28,46.36,53.64,3.51,0.43,48.5,0.2882,-0.4354,1.1077,-0.0113,2026-05-14 16:00
趋势状态,强趋势上行,3,1167,中,10.03,55.01,44.99,12.34,2.06,46.96,1.9308,0.8343,1.0759,-0.0233,2026-05-14 16:00
趋势状态,强趋势上行,5,1167,中强,17.74,58.87,41.13,21.08,7.54,45.67,3.4115,1.8143,1.0657,-0.0401,2026-05-14 16:00
趋势状态,强趋势上行,10,1167,强,25.11,62.55,37.45,35.99,13.8,44.39,6.6739,4.3343,1.0429,-0.053,2026-05-14 16:00
趋势状态,强趋势下行,1,1164,中,8.08,45.96,54.04,4.73,0.26,33.85,0.5891,-0.3527,0.9477,-0.1679,2026-05-29 16:00
