date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,47.84,波动状态,低波动启动,100.0,1,881,弱,5.79,47.11,52.89,8.74,0.0,48.01,1.6025,-0.4209,1.1444,-0.0133
2026-06-01,47.84,波动状态,低波动启动,100.0,3,880,弱,4.32,52.16,47.84,21.48,4.77,46.7,3.8966,0.4456,1.0982,-0.0415
2026-06-01,47.84,波动状态,低波动启动,100.0,5,880,弱,6.59,53.3,46.7,30.34,12.61,43.75,6.3122,1.2754,1.0825,-0.0636
2026-06-01,47.84,波动状态,低波动启动,100.0,10,878,中强,15.03,57.52,42.48,38.27,19.82,40.43,11.117,3.806,1.0424,-0.0791
2026-06-01,47.84,短ATR状态,短ATR升温,94.24,1,754,弱,4.51,47.75,52.25,10.08,0.27,51.86,1.8463,-0.3333,1.1715,0.0222
2026-06-01,47.84,短ATR状态,短ATR升温,94.24,3,754,弱,5.31,52.65,47.35,24.67,7.82,47.21,4.6658,0.7026,1.1092,-0.0275
2026-06-01,47.84,短ATR状态,短ATR升温,94.24,5,754,弱,7.43,53.71,46.29,32.49,16.45,40.58,7.0747,1.4558,1.0418,-0.0973
2026-06-01,47.84,短ATR状态,短ATR升温,94.24,10,754,中,10.08,55.04,44.96,36.6,24.27,37.53,9.8175,2.5615,0.9886,-0.1215
2026-06-01,47.84,波动超额状态,振幅已超ATR,87.04,1,659,弱,1.37,49.32,50.68,11.38,0.0,54.02,2.2283,-0.1226,1.2103,0.0444
2026-06-01,47.84,波动超额状态,振幅已超ATR,87.04,3,658,弱,6.69,53.34,46.66,23.56,7.6,46.81,4.2503,0.6874,1.0916,-0.042
2026-06-01,47.84,波动超额状态,振幅已超ATR,87.04,5,658,弱,5.78,52.89,47.11,31.46,15.81,38.3,6.4921,1.5448,1.0311,-0.1111
2026-06-01,47.84,波动超额状态,振幅已超ATR,87.04,10,657,中,9.89,54.95,45.05,38.2,23.29,35.92,10.4346,2.9889,1.0002,-0.1207
2026-06-01,47.84,趋势状态,强趋势下行,100.0,1,1023,强,45.06,27.47,72.53,6.45,0.49,23.85,-0.7019,-2.6533,0.851,-0.263
2026-06-01,47.84,趋势状态,强趋势下行,100.0,3,1021,强,43.98,28.01,71.99,10.77,22.82,25.37,-2.1206,-5.4223,0.8551,-0.2609
2026-06-01,47.84,趋势状态,强趋势下行,100.0,5,1019,强,47.99,26.01,73.99,13.25,42.1,26.59,-3.3478,-8.2587,0.861,-0.2476
2026-06-01,47.84,趋势状态,强趋势下行,100.0,10,1014,强,49.31,25.35,74.65,15.19,55.52,28.7,-5.7582,-12.2866,0.8906,-0.2132
2026-06-01,47.84,量能状态,量能正常,87.43,1,1224,强,26.31,36.85,63.15,5.88,0.08,36.93,0.2564,-1.5514,0.9912,-0.1081
2026-06-01,47.84,量能状态,量能正常,87.43,3,1223,中强,19.22,40.39,59.61,15.04,8.5,38.76,0.8389,-2.3207,1.0017,-0.114
2026-06-01,47.84,量能状态,量能正常,87.43,5,1222,中强,22.42,38.79,61.21,19.72,22.01,35.76,1.6727,-2.5974,0.9965,-0.1321
2026-06-01,47.84,量能状态,量能正常,87.43,10,1221,中强,15.15,42.42,57.58,26.21,32.76,38.0,2.9602,-3.5658,1.0006,-0.114
