component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,52,样本偏少,38.46,30.77,69.23,3.85,0,15.38,-1.3578,-2.327,0.7494,-0.3615,2026-05-10
波动状态,波动压缩,3,50,样本偏少,24,38,62,18,30,34,-1.7817,-4.9438,1.0202,-0.2433,2026-04-26
波动状态,波动压缩,5,48,样本偏少,29.17,35.42,64.58,27.08,47.92,27.08,-1.0601,-8.8809,1.0267,-0.1439,2026-04-12
波动状态,波动压缩,10,45,样本偏少,2.22,48.89,51.11,35.56,37.78,28.89,1.0507,-0.4929,0.9921,-0.2017,2026-01-04
波动状态,常态波动,1,44,样本偏少,18.18,40.91,59.09,9.09,9.09,15.91,-0.6129,-0.5488,0.7097,-0.4172,2026-02-22
波动状态,常态波动,3,44,样本偏少,22.73,38.64,61.36,11.36,34.09,11.36,-3.0517,-5.7578,0.7294,-0.3855,2026-02-22
波动状态,常态波动,5,44,样本偏少,50,25,75,15.91,50,11.36,-5.3336,-10.0343,0.7001,-0.353,2026-02-22
波动状态,常态波动,10,44,样本偏少,45.45,27.27,72.73,15.91,68.18,25,-12.289,-19.4464,0.8595,-0.2422,2026-02-22
波动状态,低波动启动,1,89,样本偏少,7.87,53.93,46.07,28.09,19.1,48.31,2.0976,1.0535,1.2146,-0.0157,2026-01-25
波动状态,低波动启动,3,89,样本偏少,3.37,51.69,48.31,34.83,14.61,38.2,5.0119,1.4334,1.0451,-0.1094,2026-01-25
波动状态,低波动启动,5,89,样本偏少,30.34,65.17,34.83,42.7,17.98,40.45,7.3619,6.5051,1.0541,-0.1349,2026-01-25
波动状态,低波动启动,10,89,样本偏少,34.83,67.42,32.58,50.56,21.35,34.83,11.1186,11.0222,0.9993,-0.1699,2026-01-25
波动状态,高波动扩张,1,2,样本偏少,100,100,0,50,0,0,16.4595,16.4595,0.3971,-0.6029,2026-02-01
波动状态,高波动扩张,3,2,样本偏少,0,50,50,50,0,0,13.651,13.651,0.5401,-0.4599,2026-02-01
波动状态,高波动扩张,5,2,样本偏少,0,50,50,50,0,0,21.3714,21.3714,0.4729,-0.5271,2026-02-01
波动状态,高波动扩张,10,2,样本偏少,0,50,50,50,50,0,-7.258,-7.258,0.456,-0.5439,2026-02-01
波动状态,高波动冷却,1,27,样本偏少,62.96,18.52,81.48,3.7,7.41,0,-3.11,-3.4645,0.5303,-0.4883,2026-03-22
波动状态,高波动冷却,3,27,样本偏少,55.56,22.22,77.78,11.11,48.15,7.41,-5.6758,-9.5497,0.5693,-0.4937,2026-03-22
波动状态,高波动冷却,5,27,样本偏少,48.15,25.93,74.07,11.11,62.96,11.11,-10.1526,-14.1792,0.5757,-0.5238,2026-03-22
波动状态,高波动冷却,10,25,样本偏少,52,24,76,20,72,8,-16.4566,-23.7457,0.6169,-0.4883,2026-03-08
短ATR状态,短ATR降温,1,121,强,32.23,33.88,66.12,8.26,5.79,16.53,-1.0919,-2.2669,0.7538,-0.3269,2026-05-10
短ATR状态,短ATR降温,3,119,样本偏少,24.37,37.82,62.18,18.49,32.77,22.69,-1.5317,-4.6104,0.8768,-0.284,2026-04-26
