component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,820,强,38.05,30.98,69.02,2.32,0,31.22,-0.5108,-1.6235,0.9153,-0.2132,2026-05-30 08:00
波动状态,波动压缩,3,818,中强,22.74,38.63,61.37,9.78,6.97,38.51,-0.2863,-2.2416,0.9905,-0.1329,2026-05-29 16:00
波动状态,波动压缩,5,817,中,11.87,44.06,55.94,18.48,15.54,43.57,0.9566,-1.1832,1.056,-0.088,2026-05-29 00:00
波动状态,波动压缩,10,814,弱,0.49,50.25,49.75,29.12,23.71,42.63,4.6108,0.1343,1.0557,-0.0978,2026-05-27 00:00
波动状态,常态波动,1,595,强,26.05,36.97,63.03,2.69,0,35.97,-0.2867,-1.055,0.951,-0.1515,2026-05-19 08:00
波动状态,常态波动,3,595,中强,23.7,38.15,61.85,9.75,5.55,35.46,-0.2516,-2.2863,0.962,-0.1617,2026-05-19 08:00
波动状态,常态波动,5,595,中强,22.02,38.99,61.01,15.13,22.02,34.79,-0.4677,-2.8354,0.9432,-0.1886,2026-05-19 08:00
波动状态,常态波动,10,595,中强,19.33,40.34,59.66,22.18,33.78,38.32,0.256,-2.799,0.9792,-0.1478,2026-05-19 08:00
波动状态,低波动启动,1,908,弱,6.61,53.3,46.7,5.51,0,48.79,1.3656,0.347,1.1281,-0.0209,2026-05-29 08:00
波动状态,低波动启动,3,908,弱,6.39,53.19,46.81,17.29,2.42,44.82,3.4662,0.5247,1.0878,-0.0723,2026-05-29 08:00
波动状态,低波动启动,5,907,中,13.12,56.56,43.44,24.48,11.58,40.46,5.3939,1.5398,1.0313,-0.1051,2026-05-28 00:00
波动状态,低波动启动,10,905,中,13.59,56.8,43.2,35.03,19.45,39.56,8.7706,2.5399,1.0143,-0.1167,2026-05-27 08:00
波动状态,高波动扩张,1,636,弱,0.31,49.84,50.16,7.7,0.63,42.3,1.0982,-0.0112,1.0747,-0.0843,2026-03-02 08:00
波动状态,高波动扩张,3,636,中,12.26,43.87,56.13,16.51,9.75,36.01,1.9134,-0.9344,0.9781,-0.1474,2026-03-02 08:00
波动状态,高波动扩张,5,636,中,13.84,43.08,56.92,19.65,19.81,34.43,1.7622,-2.2073,0.9521,-0.1741,2026-03-02 08:00
波动状态,高波动扩张,10,636,中强,20.75,39.62,60.38,22.48,35.06,31.76,0.4199,-3.4469,0.9363,-0.18,2026-03-02 08:00
波动状态,高波动冷却,1,807,强,44.73,27.63,72.37,1.73,0,25.65,-1.122,-1.9084,0.8468,-0.266,2026-03-03 00:00
波动状态,高波动冷却,3,807,强,44.24,27.88,72.12,6.82,14.99,28.13,-2.6276,-4.6114,0.8842,-0.2404,2026-03-03 00:00
波动状态,高波动冷却,5,807,强,44.24,27.88,72.12,11.03,34.7,29.74,-3.5845,-6.6074,0.9172,-0.197,2026-03-03 00:00
波动状态,高波动冷却,10,807,强,43.74,28.13,71.87,15.37,50.68,31.47,-5.2116,-10.2053,0.9263,-0.189,2026-03-03 00:00
短ATR状态,短ATR降温,1,1371,强,38.15,30.93,69.07,2.92,0,29.18,-0.5842,-1.5904,0.9015,-0.2282,2026-05-30 08:00
短ATR状态,短ATR降温,3,1369,强,30.02,34.99,65.01,9.93,9.93,34.84,-0.8557,-3.0196,0.9513,-0.1814,2026-05-27 08:00
短ATR状态,短ATR降温,5,1369,强,26.95,36.52,63.48,15.78,23.3,36.67,-0.6999,-3.4058,0.9714,-0.1598,2026-05-27 08:00
短ATR状态,短ATR降温,10,1369,中强,19.07,40.47,59.53,23.96,37.03,38.57,0.0972,-3.9265,1.0051,-0.1368,2026-05-27 08:00
短ATR状态,短ATR升温,1,1024,弱,5.27,52.64,47.36,7.32,0.29,48.24,1.4818,0.3392,1.1318,-0.0371,2026-05-23 16:00
