date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,52.46,波动状态,波动压缩,84.62,1,820,强,38.05,30.98,69.02,2.32,0,31.22,-0.5108,-1.6235,0.9153,-0.2132
2026-05-30 16:00,52.46,波动状态,波动压缩,84.62,3,818,中强,22.74,38.63,61.37,9.78,6.97,38.51,-0.2863,-2.2416,0.9905,-0.1329
2026-05-30 16:00,52.46,波动状态,波动压缩,84.62,5,817,中,11.87,44.06,55.94,18.48,15.54,43.57,0.9566,-1.1832,1.056,-0.088
2026-05-30 16:00,52.46,波动状态,波动压缩,84.62,10,814,弱,0.49,50.25,49.75,29.12,23.71,42.63,4.6108,0.1343,1.0557,-0.0978
2026-05-30 16:00,52.46,短ATR状态,短ATR降温,100,1,1371,强,38.15,30.93,69.07,2.92,0,29.18,-0.5842,-1.5904,0.9015,-0.2282
2026-05-30 16:00,52.46,短ATR状态,短ATR降温,100,3,1369,强,30.02,34.99,65.01,9.93,9.93,34.84,-0.8557,-3.0196,0.9513,-0.1814
2026-05-30 16:00,52.46,短ATR状态,短ATR降温,100,5,1369,强,26.95,36.52,63.48,15.78,23.3,36.67,-0.6999,-3.4058,0.9714,-0.1598
2026-05-30 16:00,52.46,短ATR状态,短ATR降温,100,10,1369,中强,19.07,40.47,59.53,23.96,37.03,38.57,0.0972,-3.9265,1.0051,-0.1368
2026-05-30 16:00,52.46,余动能状态,余动能不足,44.77,1,1651,强,42.94,28.53,71.47,1.88,0,27.62,-0.8737,-1.7463,0.8727,-0.2404
2026-05-30 16:00,52.46,余动能状态,余动能不足,44.77,3,1649,强,35.11,32.44,67.56,7.82,10.79,32.57,-1.6595,-3.533,0.9288,-0.1917
2026-05-30 16:00,52.46,余动能状态,余动能不足,44.77,5,1649,强,30.38,34.81,65.19,14.37,26.14,36.69,-1.4404,-3.9699,0.9898,-0.1486
2026-05-30 16:00,52.46,余动能状态,余动能不足,44.77,10,1648,中强,22.94,38.53,61.47,22.45,37.92,37.2,-0.3263,-5.0735,0.9907,-0.1513
2026-05-30 16:00,52.46,趋势状态,趋势不明,86.93,1,749,强,33.24,33.38,66.62,3.07,0,30.04,-0.3795,-1.4536,0.9212,-0.2027
2026-05-30 16:00,52.46,趋势状态,趋势不明,86.93,3,747,强,31.73,34.14,65.86,9.24,8.84,32.66,-0.7659,-2.7408,0.9369,-0.189
2026-05-30 16:00,52.46,趋势状态,趋势不明,86.93,5,747,强,25.84,37.08,62.92,14.73,22.49,33.73,-0.5492,-3.7938,0.9727,-0.152
2026-05-30 16:00,52.46,趋势状态,趋势不明,86.93,10,747,中强,20.75,39.63,60.37,22.22,32.4,38.69,0.8012,-3.3168,1.0045,-0.1179
2026-05-30 16:00,52.46,量能状态,缩量,27.97,1,1717,强,41.76,29.12,70.88,1.81,0.12,27.72,-0.8987,-1.7404,0.8741,-0.2402
2026-05-30 16:00,52.46,量能状态,缩量,27.97,3,1717,强,32.67,33.66,66.34,8.44,11.24,31.97,-1.4262,-3.1682,0.9303,-0.1884
2026-05-30 16:00,52.46,量能状态,缩量,27.97,5,1716,强,27.97,36.01,63.99,14.63,24.94,36.89,-1.3385,-3.7768,0.9809,-0.1529
2026-05-30 16:00,52.46,量能状态,缩量,27.97,10,1716,中强,20.98,39.51,60.49,21.91,37.24,36.42,-0.2059,-4.2823,0.9791,-0.151
