component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,603,强,28.69,35.66,64.34,6.63,0.33,35.16,-0.1221,-1.69,1.0007,-0.1241,2026-05-31
波动超额状态,接近一倍ATR,3,602,中强,21.59,39.2,60.8,14.78,14.45,35.88,0.4596,-2.3113,0.9795,-0.1324,2026-05-17
波动超额状态,接近一倍ATR,5,602,中,14.29,42.86,57.14,20.27,22.59,37.54,1.1966,-2.3337,1.001,-0.1228,2026-05-17
波动超额状态,接近一倍ATR,10,602,中,9.63,45.18,54.82,31.89,32.56,37.87,3.1334,-2.3866,1.0123,-0.1209,2026-05-17
波动超额状态,振幅未满ATR,1,759,强,29.64,35.18,64.82,5.8,1.45,25.82,-0.568,-1.9724,0.8435,-0.2466,2026-05-30
波动超额状态,振幅未满ATR,3,758,强,30.61,34.7,65.3,13.46,20.18,30.08,-1.1238,-3.3949,0.9223,-0.211,2026-05-09
波动超额状态,振幅未满ATR,5,758,强,33.51,33.25,66.75,16.36,32.45,29.02,-1.8457,-5.7242,0.8965,-0.2023,2026-05-09
波动超额状态,振幅未满ATR,10,758,强,30.61,34.7,65.3,21.24,44.2,33.38,-3.0212,-7.7997,0.9279,-0.1679,2026-05-09
波动超额状态,振幅已超ATR,1,413,弱,4.12,52.06,47.94,10.41,0.48,57.14,2.1274,0.2993,1.2402,0.1094,2026-05-29
波动超额状态,振幅已超ATR,3,413,中强,16.71,58.35,41.65,23.73,5.57,47.94,4.426,2.3544,1.1244,-0.0133,2026-05-29
波动超额状态,振幅已超ATR,5,411,中强,19.22,59.61,40.39,35.52,10.46,47.2,6.9534,3.8145,1.1384,-0.0299,2026-05-27
波动超额状态,振幅已超ATR,10,406,强,28.08,64.04,35.96,45.57,19.46,38.92,11.3286,7.7248,1.0652,-0.102,2026-05-22
波动状态,波动压缩,1,533,强,30.58,34.71,65.29,6.0,0.0,30.21,-0.2121,-1.8002,0.8986,-0.1869,2026-05-09
波动状态,波动压缩,3,533,强,26.08,36.96,63.04,14.63,12.76,35.46,0.006,-2.9406,0.9899,-0.1476,2026-05-09
波动状态,波动压缩,5,533,强,26.08,36.96,63.04,17.82,25.89,34.9,-0.256,-4.073,0.9711,-0.137,2026-05-09
波动状态,波动压缩,10,533,中强,17.07,41.46,58.54,26.83,34.52,37.34,0.9022,-4.1063,0.9898,-0.1166,2026-05-09
波动状态,常态波动,1,266,强,40.6,29.7,70.3,6.77,0.0,30.83,-0.5025,-2.413,0.9245,-0.1897,2026-05-31
波动状态,常态波动,3,265,中强,22.26,38.87,61.13,17.36,19.25,34.34,0.0386,-2.9509,0.9513,-0.1672,2026-03-13
波动状态,常态波动,5,265,中强,15.47,42.26,57.74,21.13,27.17,36.23,0.5275,-3.0185,0.9575,-0.1523,2026-03-13
波动状态,常态波动,10,265,中,14.72,42.64,57.36,26.42,36.6,37.36,1.0917,-2.9831,0.9836,-0.1311,2026-03-13
波动状态,低波动启动,1,636,弱,3.14,48.43,51.57,8.49,0.31,51.57,1.4023,-0.1679,1.1851,0.0344,2026-05-28
波动状态,低波动启动,3,636,弱,7.23,53.62,46.38,19.65,5.03,46.07,3.3601,1.0139,1.1088,-0.0309,2026-05-28
波动状态,低波动启动,5,635,中,12.13,56.06,43.94,31.34,9.92,46.61,6.0414,2.0579,1.1294,-0.0268,2026-05-27
波动状态,低波动启动,10,630,中强,23.81,61.9,38.1,45.08,19.05,42.86,10.8709,5.9236,1.0942,-0.0693,2026-05-22
波动状态,高波动扩张,1,99,样本偏少,17.17,41.41,58.59,13.13,1.01,33.33,1.2471,-1.338,0.9814,-0.1428,2026-05-29
波动状态,高波动扩张,3,99,样本偏少,21.21,39.39,60.61,20.2,22.22,22.22,2.2067,-3.4594,0.8234,-0.2184,2026-05-29
波动状态,高波动扩张,5,98,样本偏少,22.45,38.78,61.22,19.39,33.67,22.45,-0.1119,-4.9652,0.8027,-0.2955,2026-02-05
波动状态,高波动扩张,10,98,样本偏少,46.94,26.53,73.47,15.31,52.04,16.33,-5.9473,-10.4801,0.7864,-0.3302,2026-02-05
波动状态,高波动冷却,1,241,强,30.29,34.85,65.15,4.15,4.98,16.6,-1.6382,-3.0889,0.7472,-0.3203,2026-05-30
波动状态,高波动冷却,3,240,强,50.0,25.0,75.0,8.33,37.5,19.58,-4.6505,-6.6475,0.778,-0.3174,2026-02-11
波动状态,高波动冷却,5,240,强,56.67,21.67,78.33,9.58,49.58,16.67,-6.8729,-9.8944,0.762,-0.3059,2026-02-11
波动状态,高波动冷却,10,240,强,62.5,18.75,81.25,10.83,65.83,22.92,-11.835,-16.9077,0.7941,-0.2627,2026-02-11
短ATR状态,短ATR降温,1,736,强,39.13,30.43,69.57,4.89,0.54,25.68,-0.8581,-2.3903,0.8449,-0.2468,2026-05-04
短ATR状态,短ATR降温,3,736,强,36.14,31.93,68.07,10.6,21.47,27.72,-1.9458,-4.1196,0.8851,-0.2042,2026-05-04
短ATR状态,短ATR降温,5,736,强,37.5,31.25,68.75,13.59,33.7,28.94,-2.9448,-6.2211,0.892,-0.1986,2026-05-04
短ATR状态,短ATR降温,10,736,强,30.98,34.51,65.49,21.33,44.97,35.46,-2.7273,-8.0819,0.9699,-0.1422,2026-05-04
短ATR状态,短ATR升温,1,443,弱,7.9,53.95,46.05,11.29,1.35,54.63,2.1029,0.445,1.2471,0.0764,2026-05-31
短ATR状态,短ATR升温,3,441,中强,17.46,58.73,41.27,24.94,8.39,49.66,4.2964,2.319,1.1542,-0.0013,2026-05-29
短ATR状态,短ATR升温,5,439,中强,17.54,58.77,41.23,35.76,12.3,48.06,6.1608,4.1108,1.1304,-0.0347,2026-05-27
短ATR状态,短ATR升温,10,434,中强,23.04,61.52,38.48,46.08,21.43,41.71,10.1186,7.4393,1.0783,-0.0882,2026-05-22
短ATR状态,短ATR中性,1,596,中强,21.48,39.26,60.74,6.88,0.84,35.74,0.1238,-1.293,0.9757,-0.1183,2026-04-21
短ATR状态,短ATR中性,3,596,中强,17.45,41.28,58.72,16.95,11.41,36.74,1.3258,-1.9911,0.9945,-0.1285,2026-04-21
短ATR状态,短ATR中性,5,596,中,10.4,44.8,55.2,22.65,20.64,36.24,2.7549,-1.3759,1.0022,-0.1213,2026-04-21
短ATR状态,短ATR中性,10,596,中,8.05,45.97,54.03,30.37,31.21,33.05,3.0394,-2.1512,0.9453,-0.1543,2026-04-21
量能状态,放量,1,305,中,10.82,55.41,44.59,10.16,0.66,59.34,2.2571,0.6588,1.2868,0.1254,2026-05-29
量能状态,放量,3,305,强,25.25,62.62,37.38,25.57,3.93,50.49,4.9301,2.949,1.146,0.0043,2026-05-29
量能状态,放量,5,303,中强,22.77,61.39,38.61,38.28,7.26,50.5,7.9339,4.8644,1.1796,0.0043,2026-05-27
量能状态,放量,10,298,强,33.56,66.78,33.22,49.66,20.47,43.29,12.0213,9.7529,1.0982,-0.0604,2026-05-22
量能状态,量能正常,1,768,中强,24.22,37.89,62.11,7.55,0.26,37.76,0.3687,-1.3818,1.0129,-0.1098,2026-05-31
量能状态,量能正常,3,766,中强,16.19,41.91,58.09,15.67,12.53,36.42,1.0783,-1.5494,0.9988,-0.1291,2026-05-14
量能状态,量能正常,5,766,中,10.18,44.91,55.09,21.02,22.72,36.55,1.3946,-1.7694,0.9926,-0.1227,2026-05-14
量能状态,量能正常,10,766,中,10.97,44.52,55.48,30.68,34.2,36.68,3.1168,-2.5124,0.9999,-0.137,2026-05-14
量能状态,缩量,1,702,强,32.48,33.76,66.24,5.41,1.57,24.64,-0.8515,-2.3014,0.834,-0.2479,2026-05-17
量能状态,缩量,3,702,强,35.04,32.48,67.52,12.96,22.08,29.77,-1.5339,-4.0142,0.9096,-0.2094,2026-05-17
量能状态,缩量,5,702,强,35.9,32.05,67.95,16.38,32.62,29.49,-1.842,-5.7548,0.9007,-0.2074,2026-05-17
量能状态,缩量,10,702,强,27.35,36.32,63.68,22.08,40.88,32.62,-2.5274,-6.3134,0.9289,-0.1681,2026-05-17
趋势状态,强趋势上行,1,656,弱,3.96,48.02,51.98,8.23,0.3,53.81,1.3805,-0.298,1.1862,0.0442,2026-05-31
趋势状态,强趋势上行,3,654,中强,16.51,58.26,41.74,23.7,4.89,51.07,4.405,1.7432,1.1622,0.0155,2026-05-29
趋势状态,强趋势上行,5,652,中强,20.86,60.43,39.57,33.44,8.44,48.47,7.3567,3.9494,1.1449,-0.0113,2026-05-27
趋势状态,强趋势上行,10,647,强,29.21,64.61,35.39,46.99,16.54,44.67,11.7063,8.417,1.0884,-0.0648,2026-05-22
趋势状态,强趋势下行,1,767,强,39.24,30.38,69.62,5.87,0.91,22.56,-0.8091,-2.479,0.8304,-0.2648,2026-05-04
趋势状态,强趋势下行,3,767,强,44.72,27.64,72.36,10.3,24.12,24.64,-2.5824,-5.2751,0.8466,-0.2456,2026-05-04
趋势状态,强趋势下行,5,767,强,44.2,27.9,72.1,13.17,38.59,28.03,-3.688,-7.2909,0.887,-0.2189,2026-05-04
趋势状态,强趋势下行,10,767,强,42.11,28.94,71.06,17.86,50.85,30.77,-5.3908,-10.2011,0.9167,-0.1978,2026-05-04
趋势状态,趋势不明,1,85,样本偏少,20.0,40.0,60.0,7.06,0.0,31.76,0.14,-1.5729,0.9482,-0.125,2026-04-27
趋势状态,趋势不明,3,85,样本偏少,20.0,40.0,60.0,16.47,11.76,36.47,2.0382,-1.5131,0.9651,-0.16,2026-04-27
趋势状态,趋势不明,5,85,样本偏少,27.06,36.47,63.53,20.0,25.88,34.12,0.9626,-3.7794,0.8755,-0.2032,2026-04-27
趋势状态,趋势不明,10,85,样本偏少,1.18,49.41,50.59,32.94,27.06,36.47,10.5048,-0.2522,1.0713,-0.0909,2026-04-27
趋势状态,弱趋势混合,1,198,弱,7.07,46.46,53.54,7.58,3.03,33.33,0.3728,-0.6069,0.9753,-0.1429,2026-04-20
趋势状态,弱趋势混合,3,198,中强,17.17,41.41,58.59,14.14,13.13,32.83,0.2684,-2.0237,0.9603,-0.1428,2026-04-20
趋势状态,弱趋势混合,5,198,中,14.14,42.93,57.07,20.71,21.21,31.31,0.1691,-2.6962,0.9559,-0.1592,2026-04-20
趋势状态,弱趋势混合,10,198,中,13.13,43.43,56.57,26.26,35.86,31.31,-1.3572,-4.1785,0.9276,-0.1659,2026-04-20
趋势状态,弱趋势上行,1,15,样本偏少,20.0,40.0,60.0,13.33,0.0,46.67,0.9918,-3.2264,1.1561,-0.0005,2026-02-26
趋势状态,弱趋势上行,3,15,样本偏少,6.67,46.67,53.33,13.33,33.33,40.0,-0.6688,-1.9677,1.0887,-0.0318,2026-02-26
趋势状态,弱趋势上行,5,15,样本偏少,46.67,26.67,73.33,13.33,13.33,26.67,-1.5049,-1.3318,0.8135,-0.271,2026-02-26
趋势状态,弱趋势上行,10,15,样本偏少,20.0,40.0,60.0,26.67,20.0,33.33,2.7419,-2.3417,0.9196,-0.1469,2026-02-26
趋势状态,弱趋势下行,1,54,样本偏少,37.04,31.48,68.52,9.26,0.0,33.33,-0.218,-1.9722,0.9202,-0.2012,2026-04-28
趋势状态,弱趋势下行,3,54,样本偏少,11.11,44.44,55.56,20.37,9.26,31.48,2.524,-1.1665,1.0228,-0.1664,2026-04-28
趋势状态,弱趋势下行,5,54,样本偏少,0.0,50.0,50.0,24.07,14.81,25.93,2.1943,-0.0381,0.8762,-0.1871,2026-04-28
趋势状态,弱趋势下行,10,54,样本偏少,22.22,38.89,61.11,24.07,29.63,29.63,1.6871,-3.7764,0.915,-0.1705,2026-04-28
